"","keyword","video","parent_video","current_depth","title","width","height","duration","pubdate","channel","likes","dislikes","viewes","rating","reco_count","fetch_time","reco_list","elapsed","recoveredChannel","channel_title","Bias","positive","negative","sentiment","sentiment_ratio","lgpp","nrc_el","topic","Flesch","ARI","Flesch.Kincaid"
"1","Lindsey Graham","kLFvXLMwclQ","",0,"Axios On HBO: Senator Lindsey Graham on Trump’s Role in the Republican Party (Clip) | HBO - YouTube",1920,1080,144,"2021-03-08","UCVTQuK2CaWaTgSsoNkn5AiQ",636,696,139559,2.90991,5,"2021-06-10 15:38:57","qmKxPZP0Ghs,ZWk18BQQVhA,yEw7XKczB3U,pJ-34CbWJ5E,g9r5lBaz0-k",2.35309,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",19,9,"positive",2.11111111111111,"INSTITUTIONS","negative","military",-265.958370786517,175.833370786517,138.795505617978
"2","Lindsey Graham","qmKxPZP0Ghs","kLFvXLMwclQ",1,"AXIOS on HBO: Ted Cruz on U.S. Debt and Deficits (Clip) | HBO - YouTube",1920,1080,149,"2020-10-26","UCVTQuK2CaWaTgSsoNkn5AiQ",-1,88,182625,4.8048782,5,"2021-06-10 15:38:59","9-tMiRiIfY8,WDN95-JAbz4,8nY1jQTe3QI,d8BdFMOwB0s,jckO80jo4H0",2.456107,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",9,35,"negative",0.257142857142857,"ECONOMY","trust","economy",76.6758981214864,5.30045385986563,5.89200740436035
"3","Lindsey Graham","9-tMiRiIfY8","qmKxPZP0Ghs",2,"AXIOS on HBO: Senator Ted Cruz on President Trump and the National Debt (Promo) | HBO - YouTube",1920,1080,52,"2020-10-26","UCVTQuK2CaWaTgSsoNkn5AiQ",76,6,13764,4.7073169,5,"2021-06-10 15:39:02","WDN95-JAbz4,8nY1jQTe3QI,vXUGTI7wa0A,d8BdFMOwB0s,qmKxPZP0Ghs",2.325924,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",3,11,"negative",0.272727272727273,"INSTITUTIONS","sadness","military",79.9396666666667,3.68222222222222,4.79237037037037
"4","Lindsey Graham","WDN95-JAbz4","9-tMiRiIfY8",3,"AXIOS on HBO: U.S. Representative Ilhan Omar on the 2020 Presidential Election (Promo) | HBO - YouTube",1920,1080,42,"2020-10-23","UCVTQuK2CaWaTgSsoNkn5AiQ",80,77,6771,3.0382166,5,"2021-06-10 15:39:04","8nY1jQTe3QI,vXUGTI7wa0A,qOQdo_2dUrs,d8BdFMOwB0s,nRR_vFq7nYo",2.575627,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",2,0,"positive",0,"INSTITUTIONS","trust","military",44.4063333333334,11.1127333333333,11.206
"5","Lindsey Graham","8nY1jQTe3QI","WDN95-JAbz4",4,"AXIOS on HBO: Senator Kevin Cramer on Changing Demographics (Clip) | HBO - YouTube",1920,1080,181,"2020-10-12","UCVTQuK2CaWaTgSsoNkn5AiQ",5,1,1678,4.3333335,5,"2021-06-10 15:39:07","lgmdzqakrh0,dxZvEk60axU,g9r5lBaz0-k,d8BdFMOwB0s,7yxx7fWWfm8",2.264642,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",21,14,"positive",1.5,"INSTITUTIONS","trust","military",57.7096545031056,10.3241750776398,10.0489324534161
"6","Lindsey Graham","lgmdzqakrh0","8nY1jQTe3QI",5,"AXIOS on HBO: Senator Kevin Cramer on Masks (Promo) | HBO - YouTube",1920,1080,47,"2020-10-12","UCVTQuK2CaWaTgSsoNkn5AiQ",3,-1,1847,5,0,"2021-06-10 15:39:09","",2.379179,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",5,2,"positive",2.5,"INSTITUTIONS","trust","military",87.0873684210526,3.84866165413534,4.48390977443609
"7","Lindsey Graham","dxZvEk60axU","8nY1jQTe3QI",5,"AXIOS on HBO: BP CEO Bernard Looney (Promo) | HBO - YouTube",1920,1080,57,"2020-10-09","UCVTQuK2CaWaTgSsoNkn5AiQ",16,-1,4790,5,0,"2021-06-10 15:39:11","",2.308266,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",0,1,"negative",0,"INSTITUTIONS","trust","military",74.27,5.41,6.875
"8","Lindsey Graham","g9r5lBaz0-k","8nY1jQTe3QI",5,"AXIOS on HBO: Bob Woodward Full Interview (Pt. 1) | HBO - YouTube",1920,1080,317,"2020-09-28","UCVTQuK2CaWaTgSsoNkn5AiQ",385,27,29644,4.737864,0,"2021-06-10 15:39:14","",2.316829,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",28,26,"positive",1.07692307692308,"INSTITUTIONS","trust","military",76.2194189044284,6.10604640551208,6.50466154091853
"9","Lindsey Graham","7yxx7fWWfm8","8nY1jQTe3QI",5,"AXIOS on HBO: Bob Woodward Full Interview (Pt. 2) | HBO - YouTube",1920,1080,313,"2020-09-28","UCVTQuK2CaWaTgSsoNkn5AiQ",235,6,20839,4.9004149,0,"2021-06-10 15:39:18","",2.221487,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",30,14,"positive",2.14285714285714,"INSTITUTIONS","trust","military",72.3857016722747,7.46570268424115,7.60824904495662
"10","Lindsey Graham","vXUGTI7wa0A","WDN95-JAbz4",4,"AXIOS on HBO: Senator Kevin Cramer on COVID-19 (Clip) | HBO - YouTube",1920,1080,266,"2020-10-12","UCVTQuK2CaWaTgSsoNkn5AiQ",18,3,3081,4.4285712,5,"2021-06-10 15:39:21","lgmdzqakrh0,dxZvEk60axU,g9r5lBaz0-k,d8BdFMOwB0s,OpibllevpSk",2.482859,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",42,32,"positive",1.3125,"VALUES","negative","military",78.2829807692308,6.09177151844438,6.19583333333334
"11","Lindsey Graham","OpibllevpSk","vXUGTI7wa0A",5,"AXIOS on HBO: Acting Secretary of Homeland Security Chad Wolf (Full Interview) | HBO - YouTube",1920,1080,801,"2020-08-18","UCVTQuK2CaWaTgSsoNkn5AiQ",514,75,50922,4.4906621,0,"2021-06-10 15:39:34","",4.83415,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",63,88,"negative",0.715909090909091,"LAW_AND_ORDER","trust","military",58.495640084686,9.47125457111695,9.68289908256881
"12","Lindsey Graham","qOQdo_2dUrs","WDN95-JAbz4",4,"AXIOS on HBO: Bernard Looney on BP Spending (Clip) | HBO - YouTube",1920,1080,131,"2020-10-12","UCVTQuK2CaWaTgSsoNkn5AiQ",16,1,3009,4.7647057,5,"2021-06-10 15:39:37","lgmdzqakrh0,dxZvEk60axU,g9r5lBaz0-k,d8BdFMOwB0s,Vl_6uoY6Xyo",2.254217,"UCVTQuK2CaWaTgSsoNkn5AiQ","HBO","",14,5,"positive",2.8,"ECONOMY","trust","economy",67.4756944444444,9.35212962962963,8.87848765432099
