"","video","Bias","positive","negative","sentiment","lgpp","nrc_el","topic"
"1","--2yG9pbAzE","LC",NA,NA,NA,NA,NA,NA
"3","--5Sd_qieME","",NA,NA,NA,NA,NA,NA
"4","--AuxdQUdlo","LC",107,51,"positive","ECONOMY","surprise","economy"
"13","--Cv18I6gxw","",NA,NA,NA,NA,NA,NA
"14","--H8SY334Zw","",NA,NA,NA,NA,NA,NA
"15","--IPWq1bNcQ","",66,26,"positive","GROUPS","negative","diplomacy"
"16","--dOEtLdSaI","",NA,NA,NA,NA,NA,NA
"17","--fNM9CkdZY","LC",72,38,"positive","GROUPS","joy","society"
"18","--iuWzEOdKs","",114,56,"positive","CULTURE","joy","economy"
"19","--mY5ruEhqI","C",147,138,"positive","CULTURE","sadness","society"
"25","--oJxSNzWjk","LC",411,128,"positive","CULTURE","joy","society"
"34","--secsuooko","",325,80,"positive","RURAL","surprise","diplomacy"
"36","--x0vK2B4H0","",184,64,"positive","INSTITUTIONS","trust","politics"
"37","-00PZ3FaHV4","",NA,NA,NA,NA,NA,NA
"38","-01jhW_Yzhs","",NA,NA,NA,NA,NA,NA
"40","-02h94zVvsg","",86,70,"positive","VALUES","anger","politics"
"42","-08dWJb66J8","",26,6,"positive","ENVIRONMENT","sadness","society"
"45","-0Bg88S0jCM","",NA,NA,NA,NA,NA,NA
"47","-0EpEOfzpsY","",NA,NA,NA,NA,NA,NA
"48","-0HAAR-fc-Q","",NA,NA,NA,NA,NA,NA
"49","-0JdWfUJYYU","",NA,NA,NA,NA,NA,NA
"52","-0Md4wYKJDU","",95,14,"positive","RURAL","surprise","diplomacy"
"53","-0QyxtRSo8I","",88,36,"positive","LAW_AND_ORDER","negative","military"
"54","-0Sg67rF8E4","L",NA,NA,NA,NA,NA,NA
"55","-0Wy3clXuH0","",757,488,"positive","VALUES","fear","politics"
"61","-0Xb9rlFIBo","",NA,NA,NA,NA,NA,NA
"62","-0ZRlzDwJc0","C",NA,NA,NA,NA,NA,NA
"63","-0gCJzeT2Wo","",63,57,"positive","LAW_AND_ORDER","anger","society"
"64","-0hxYtkNOaw","",NA,NA,NA,NA,NA,NA
"68","-0n2kxkdJgM","",19,10,"positive","VALUES","joy","politics"
"69","-0oXa6X_ILU","C",NA,NA,NA,NA,NA,NA
"70","-0scqed76EY","",82,21,"positive","CULTURE","joy","society"
