"","channel","channel_title","channel_bias","n"
"1","UCsT0YIqwnpJCM-mx7-gSA4Q","TEDx Talks",NA,24401
"2","UC3XTzVzaHQEd30rQbuvCtTQ","LastWeekTonight","LC",21215
"3","UCXIJgqnII2ZOINSWNOGFThA","Fox News","R",19435
"4","UCaXkIU1QidjPwiAYu6GcHjg","MSNBC","L",13030
"5","UCMtFAi84ehTSYSE9XoHefig","The Late Show with Stephen Colbert","LC",12449
"6","UC8-Th83bH_thdKZDJCrn88g","The Tonight Show Starring Jimmy Fallon","L",11708
"7","UClgRkhTL3_hImCAmdLfDE4g","YouTube Movies",NA,9602
"8","UCVTyTA7-g9nopHeHbeuvpRA","Late Night with Seth Meyers","L",7858
"9","UCg40OxZ1GYh3u3jBntB6DLg","Forbes Breaking News","RC",5613
"10","UCvJJ_dzjViJCoLf5uKUTwoA","CNBC","LC",4746
"11","UCsooa4yRKGN_zEE8iknghZA","TED-Ed",NA,4653
"12","UCa6vGFO9ty8v5KZJXQxdhaw","Jimmy Kimmel Live","LC",4615
"13","UCkNJfjuNyIopt8UyC5ofhwg","Planned Parenthood",NA,3867
"14","UCJ0uqCI0Vqr2Rrt1HseGirg","The Late Late Show with James Corden","LC",3619
"15","UC6ZFN9Tx6xh-skXCuRHCDpQ","PBS NewsHour","LC",3461
"16","UCZaT_X_mc0BI-djXOlfhqWQ","VICE News","LC",3362
"17","UCeY0bbntWzzVIaj2z3QigXg","NBC News","LC",3333
"18","UC9MAhZQQd9egwWCxrwSIsJQ","HISTORY","LC",3180
"19","UCuFFtHWoLl5fauMMD5Ww2jA","CBC News","LC",3034
"20","UCgBg0aacyJnw4qUnb1FlfEQ","Institute of Human Anatomy",NA,2596
"21","UCqFzWxSCi39LnW1JKFR3efg","Saturday Night Live","L",2584
"22","UCupvZG-5ko_eiXAupbDfxWw","CNN","L",2435
"23","UClWCQNaggkMW7SDtS3BkEBg","Entertainment Weekly","LC",2310
"25","UCAuUUnT6oDeKwE6v1NGQxug","TED",NA,2281
"26","UC2pmfLm7iq6Ov1UwYrWYkZA","Vevo",NA,2140
"27","UCIYLOcEUX6TbBo7HQVF2PKA","9 News Australia","RC",2046
"28","UCX6b17PVsYBQ0ip5gyeme-Q","CrashCourse",NA,1948
"29","UCftwRNsjfRo08xYE31tkiyw","WIRED","LC",1942
"30","UCW39zufHfsuGgpLviKh297Q","DW Documentary","LC",1772
"31","UCG-iSMVtWbbwDDXgXXypARQ","MedCram - Medical Lectures Explained CLEARLY","R",1704
"32","UCudqVyQYnmi8NwWfd11Rmvw","Hillsdale College",NA,1704
"33","UCHnyfMqiRRG1u-2MsSQLbXA","Veritasium",NA,1681
"34","UCwWhs_6x42TyRM4Wstoq8HA","The Daily Show with Trevor Noah",NA,1681
"35","UC0L1suV8pVgO4pCAIBNGx5w","60 Minutes Australia","LC",1610
"36","UCO0akufu9MOzyz3nvGIXAAw","Sky News Australia","R",1530
"37","UCDGknzyQfNiThyt4vg4MlTQ","The Obama White House",NA,1363
"38","UCnLxFpGiCi-u3RLx9uF8bOg","Russell Howard","C",1327
"39","UC0k238zFx-Z8xFH0sxCrPJg","Architectural Digest",NA,1325
"40","UCEeA_eQkyeqtpnCXyrLSV0Q","Fynnpire",NA,1236
"41","UCoMdktPbSTixAyNGwb-UYkQ","Sky News","C",1201
"42","UCPWXiRWZ29zrxPFIQT7eHSA","The Hill","C",1199
"43","UCvlVuntLjdURVD3b3Hx7kxw","Dry Bar Comedy",NA,1197
"44","UCn8zNIfYAQNdrFRrr8oibKw","VICE","LC",1195
"45","UCCXoCcu9Rp7NPbTzIvogpZg","Fox Business","RC",1182
"46","UCWOA1ZGywLbqmigxE4Qlvuw","Netflix",NA,1154
"47","UCGbQJy-531_5vfphay-rChQ","People","L",1096
"48","UCbmNph6atAoGfqLoCL_duAg","Talks at Google","LC",1082
