channel,channel_title,Bias
UC__2_0RJ8XnHt2angfw6S1Q,KOMO News,
UC__xFO0FWdnDmmH98CrlGvA,I Dig Daytona,
UC_0XIhXRUwn5zncTwJdZ9BA,abcdzxywful,
UC_1H9v258pXiyLDaW0R5exw,NFL Media Originals,
UC_1k4rp7HVb_ss75ZgKSOsQ,Michael Frontera,
UC_1tSdT5U1Y2AL6kBFXw8Vw,StoryStreet,
UC_2irx_BQR7RsBKmUV9fePQ,ABN Telugu,
UC_3VXBpipPIEliq1RZGNfHQ,Rainfellow,
UC_5-6nxVl4wNmx0tzJCj5XA,Conan Fanatic,
UC_5oUVKKMmAy0KVK15KM61Q,Josip Đolo,
UC_5XQWWtrRyryGpXgZDFO_A,John F. Kennedy Jr. Forum,
UC_6o16b-JLbOUAavmdN7z7A,Boat Zone,
UC_6rzxuBzovndQjMOrSx0sQ,Manifest Reality,
UC_8NknAFiyhOUaZqHR3lq3Q,Quackity,
UC_9jrGtucVDQ9vc9qOIA4qA,Male Country Singer,
UC_aOteuWIY8ITg7DQQspG1g,History of the Earth,
UC_aP7p621ATY_yAa8jMqUVA,NASA Video,
UC_AU2Qikvw3wsomk1trw83g,West Angeles Church of God In Christ,
UC_b9CfN5Yeb_c2hQNRGKXUw,ESSENCE,
UC_BaxRhNREI_V0DVXjXDALA,Porsche,
UC_bbrKG3Jqj_zDxnkGNoNjQ,Edinburgh Television Festival,
UC_BmI7Xy58Fv2H-RDiOt_pg,SpecificDusty,
UC_bOoi0e3L3SJ1xx5TZWHPw,Heimler's History,
UC_CbZ4MLZ4EEXYxBwkSd2Sg,Evan's Backpacking Videos,
UC_cvTMeip9po2hZdF3aBXrA,BeckBroJack,
UC_DlTqJhRV-OafjHESJciNw,CCX Media,
UC_ENeA4t5t1tG12qY6DtLYg,Pepperdine Caruso School of Law,
UC_f7C43GUWhif5_yPsamdfA,Crimson Education,
UC_Ftxa2jwg8R4IWDw48uyBw,Battleship New Jersey,
UC_FXaeOkIWqwnyO_O4JStxQ,MIE - Topic,
UC_FXfSRzcrKYJPPEVHAi7GQ,The City of Prague Philharmonic Orchestra - Topic,
UC_FY6_2rME2A8cWKcZDBtRA,WWII ETO TOURS (281) 804-0434,
UC_g32e3JeECjEuRbk-loywg,Free High-Quality Documentaries,
UC_GDu2QH3kp6vJlgEYyqjUA,Kolanii,
UC_gSotrFVZ_PiAxo3fTQVuQ,Magnus Midtbø,
UC_gUM8rL-Lrg6O3adPW9K1g,WION,C
UC_hK9fOxyy_TM8FJGXIyG8Q,Dhar Mann,
UC_hu0tG_WJzjJA0SoOw-ajQ,The Millennial Perspective,
UC_HwfTAcjBESKZRJq6BTCpg,כאן חדשות,
UC_IpSl6O_-IRAA6fiNs05Gg,ABC,LC
UC_ITzPDl_0T3Nwvp4sXTr9w,Rising Woman,
UC_iuTGIGPWQBLGbd_TgwB-Q,Toute l'Histoire,
UC_JTRiaJLEY-bDLsTFBw0NA,IDP,
UC_k8KFBzEf0uQ8LRFSAgSUA,Avril Lavigne,
UC_kg1A_YPAa66hZWq7VPg7Q,Garden Answer,
UC_KljPH3WR0zSQ0AGpBnpgw,Patrick Tugwell,
UC_KlxwLBVa4UOdMuVwMGpCg,BigSpeak Speakers Bureau,
UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,
UC_LQrLv47K0Fd3k2MB1kBRQ,Espacio Fundación Telefónica Madrid,
UC_LYrLANqh3kfNvyuLO1Q_w,cpbdwbrbrs,
UC_MUro0cHXTQlHR5bP28ypw,Sawyer Ridge Farm,
UC_Myk4HwjyVCS35iUrvg_9A,Movie Splash,
UC_N6HkDIGEAl-7hP6uFPJvw,Lee Greenwood - Topic,
UC_nuJgOtxeg5AjAofuZ76tg,David Datunaishvili,
UC_NXdjDC3JuGFiPFjVeS2Dg,University of North Texas,
UC_NzYRcT5IroUsMU2472ViQ,Belinda Carr,
UC_o3zVYqmVHkaBb1RVKyjwA,Brooklyn College,
UC_OV1Y815k1t-7nAQ1Yodhw,Jody Thomas,
UC_PscE_7n8SiMspieMGMK_A,Paste Magazine,
UC_PXxlBAEnFUXy2Z240jcrQ,Stephen Curry,
UC_q-UNDJeEBSHqKzAP_8x_A,EricTheCarGuy,
UC_Q2k6wy2bS3dfAqTKOwMvQ,Flash Speed,
UC_Q9B0PpEtH92arLU8hUDHQ,Dillard University,
UC_qE-Obs2ocdmPXY0TIU-cw,Tips For Travellers,
UC_r-3nRot7wM0IrCJZ3LW2g,Global Ethics Solutions,
UC_RRSAK5BsitIw0tV2dg9gw,Frontline Club,
UC_SD8q_CLdAoeb1_uiJOvmA,ManOfAllCreation,
UC_SFqM6PCAh7N3A4NkCA0cw,Ovid,
UC_sXrcURB-Dh4az_FveeQ0Q,DOCUMENTARY TUBE,
UC_T38zJN4wshwAWpHH6Rbyw,Kevin Costner & Modern West - Topic,
UC_tCuH9uVrUP-BqN4lSRwyg,Slmccl,
UC_tKHpo6xYpwdIRC4uotmuQ,REVOLVER,
UC_u-JNRSUiPAXDtlGAT24WA,Patrick Bell,
UC_u0CLjE2CglTTAS_WX-zCg,Missy Elliott,
UC_uIEzavZ4uUrQ6gxe-hQSA,nslater72,
UC_UJdqZuFhRXfeYXYrhwgJA,Netflix Film Club,
UC_UJMlVY4PEI-mR8ze-sAAQ,Madonna Remixed Prayers,
UC_uqCor1EnxD5IB9T9y2S3g,Hobe,
UC_uVA9UVyecJK-IiqPEQ7jg,Charlie G.,
