keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Anthony Fauci,pzK3dg59TuY,,0,2019-07-26,-1,-1,-1.0,5,2021-12-22 18:00:23,"0k7jlbzaouQ,O3dQRJQtc-8,buh1UEM0kqs,SPjKJHYus6g,PtK3QsFpm6M",2.514637,2000000,0
Anthony Fauci,0k7jlbzaouQ,pzK3dg59TuY,1,2020-11-30,541,-1,-1.0,5,2021-12-22 18:00:25,"O3dQRJQtc-8,3_dFWU_5ZgI,PtK3QsFpm6M,buh1UEM0kqs,SPjKJHYus6g",2.258823,2010000,2000000
Anthony Fauci,O3dQRJQtc-8,0k7jlbzaouQ,2,2020-11-30,118,-1,-1.0,5,2021-12-22 18:00:28,"0k7jlbzaouQ,buh1UEM0kqs,PtK3QsFpm6M,SPjKJHYus6g,lmQSAIZptCo",2.314209,2011000,2010000
Anthony Fauci,0k7jlbzaouQ,O3dQRJQtc-8,3,2020-11-30,541,-1,-1.0,5,2021-12-22 18:00:30,"O3dQRJQtc-8,buh1UEM0kqs,PtK3QsFpm6M,3_dFWU_5ZgI,SPjKJHYus6g",2.267916,2011100,2011000
Anthony Fauci,O3dQRJQtc-8,0k7jlbzaouQ,4,2020-11-30,118,-1,-1.0,5,2021-12-22 18:00:32,"0k7jlbzaouQ,buh1UEM0kqs,PtK3QsFpm6M,SPjKJHYus6g,3_dFWU_5ZgI",2.264337,2011110,2011100
Anthony Fauci,0k7jlbzaouQ,O3dQRJQtc-8,5,2020-11-30,541,-1,-1.0,0,2021-12-22 18:00:35,,2.26987,2011111,2011110
Anthony Fauci,buh1UEM0kqs,O3dQRJQtc-8,5,2020-11-30,143,-1,-1.0,0,2021-12-22 18:00:37,,2.208324,2011112,2011110
Anthony Fauci,PtK3QsFpm6M,O3dQRJQtc-8,5,2014-11-28,205,-1,-1.0,0,2021-12-22 18:00:42,,5.416334,2011113,2011110
Anthony Fauci,SPjKJHYus6g,O3dQRJQtc-8,5,2017-07-03,191,-1,-1.0,0,2021-12-22 18:00:44,,2.245555,2011114,2011110
Anthony Fauci,3_dFWU_5ZgI,O3dQRJQtc-8,5,2021-11-12,58,-1,-1.0,0,2021-12-22 18:00:47,,2.310857,2011115,2011110
Anthony Fauci,buh1UEM0kqs,0k7jlbzaouQ,4,2020-11-30,143,-1,-1.0,5,2021-12-22 18:00:49,"0k7jlbzaouQ,O3dQRJQtc-8,3_dFWU_5ZgI,PtK3QsFpm6M,I989pigiJzI",2.330757,2011120,2011100
Anthony Fauci,0k7jlbzaouQ,buh1UEM0kqs,5,2020-11-30,541,-1,-1.0,0,2021-12-22 18:00:51,,2.271722,2011121,2011120
Anthony Fauci,O3dQRJQtc-8,buh1UEM0kqs,5,2020-11-30,118,-1,-1.0,0,2021-12-22 18:00:54,,2.342881,2011122,2011120
Anthony Fauci,3_dFWU_5ZgI,buh1UEM0kqs,5,2021-11-12,58,-1,-1.0,0,2021-12-22 18:00:56,,2.281761,2011123,2011120
Anthony Fauci,PtK3QsFpm6M,buh1UEM0kqs,5,2014-11-28,205,-1,-1.0,0,2021-12-22 18:01:01,,4.981204,2011124,2011120
Anthony Fauci,I989pigiJzI,buh1UEM0kqs,5,2021-09-27,29,-1,-1.0,0,2021-12-22 18:01:04,,2.551122,2011125,2011120
