keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Anthony Huber,vjg65GPdd3k,,0,2021-11-22,-1,-1,2.8798308,5,2021-12-10 19:20:28,"ZJgsmCeX0uQ,pqj_MURBNKI,do7sbWaZstQ,-1jAOJHvll0,JG8PhtFrO0Y",2.554986,4000000,0
Anthony Huber,ZJgsmCeX0uQ,vjg65GPdd3k,1,2021-12-10,437,-1,4.9192824,5,2021-12-10 19:20:30,"ZOTlfcngCUw,9QjLUP7Sdz4,AZC7Y_fPiWw,ki4Fbctwnjs,gRmi3cQ2hBw",2.444724,4010000,4000000
Anthony Huber,ZOTlfcngCUw,ZJgsmCeX0uQ,2,2021-12-10,-1,-1,4.8603897,5,2021-12-10 19:20:33,"ZJgsmCeX0uQ,ki4Fbctwnjs,c_UuVV7fhMc,oa3f3cKvl7Y,9QjLUP7Sdz4",2.420594,4011000,4010000
Anthony Huber,ZJgsmCeX0uQ,ZOTlfcngCUw,3,2021-12-10,437,-1,4.9192824,5,2021-12-10 19:20:35,"9QjLUP7Sdz4,pqj_MURBNKI,Rwn-pzdzJYc,ki4Fbctwnjs,AZC7Y_fPiWw",2.419609,4011100,4011000
Anthony Huber,9QjLUP7Sdz4,ZJgsmCeX0uQ,4,2021-12-10,226,-1,4.7666669,5,2021-12-10 19:20:38,"wbeHbUSPliE,oa3f3cKvl7Y,etPXtIRV-II,V5g9AVqRsjo,xAQroiXsFMk",2.481091,4011110,4011100
Anthony Huber,wbeHbUSPliE,9QjLUP7Sdz4,5,2020-04-01,-1,-1,3.0081878,0,2021-12-10 19:20:40,,2.405903,4011111,4011110
Anthony Huber,oa3f3cKvl7Y,9QjLUP7Sdz4,5,2021-12-10,-1,-1,4.8261666,0,2021-12-10 19:20:43,,2.891141,4011112,4011110
Anthony Huber,etPXtIRV-II,9QjLUP7Sdz4,5,2021-12-10,-1,-1,4.9781828,0,2021-12-10 19:20:46,,2.747971,4011113,4011110
Anthony Huber,V5g9AVqRsjo,9QjLUP7Sdz4,5,2021-11-17,-1,-1,4.9145126,0,2021-12-10 19:20:48,,2.588854,4011114,4011110
Anthony Huber,xAQroiXsFMk,9QjLUP7Sdz4,5,2021-12-09,376,-1,4.3873873,0,2021-12-10 19:20:51,,2.736855,4011115,4011110
Anthony Huber,pqj_MURBNKI,ZJgsmCeX0uQ,4,2021-12-09,-1,-1,4.9378052,5,2021-12-10 19:20:54,"MaoCxmAl5hU,zB5GV-1qUdA,WFZ8KYpqBI0,1109qa96iGU,Rl-kOX9omhM",2.873902,4011120,4011100
Anthony Huber,MaoCxmAl5hU,pqj_MURBNKI,5,2021-12-10,-1,-1,4.9535956,0,2021-12-10 19:20:57,,3.109957,4011121,4011120
Anthony Huber,zB5GV-1qUdA,pqj_MURBNKI,5,2021-12-10,-1,-1,4.9191761,0,2021-12-10 19:21:02,,4.868439,4011122,4011120
Anthony Huber,WFZ8KYpqBI0,pqj_MURBNKI,5,2021-12-10,-1,-1,4.95152,0,2021-12-10 19:21:05,,2.831337,4011123,4011120
Anthony Huber,1109qa96iGU,pqj_MURBNKI,5,2021-12-09,-1,-1,4.8512955,0,2021-12-10 19:21:08,,2.792129,4011124,4011120
Anthony Huber,Rl-kOX9omhM,pqj_MURBNKI,5,2021-12-10,133,-1,1.6093929,0,2021-12-10 19:21:10,,2.634356,4011125,4011120
Anthony Huber,Rwn-pzdzJYc,ZJgsmCeX0uQ,5,2021-12-10,-1,-1,-1.0,0,2021-12-10 19:21:21,,11.205809,4011130,4011100
Anthony Huber,ki4Fbctwnjs,ZJgsmCeX0uQ,4,2021-09-30,-1,-1,4.9508443,5,2021-12-10 19:21:25,"DgU-q384pO4,29n2bv7F6uc,NNWEWFWtJ1Q,89oJojtDVJk,CtWqv0Z3ErM",3.317737,4011140,4011100
Anthony Huber,DgU-q384pO4,ki4Fbctwnjs,5,2021-11-01,-1,-1,4.9182692,0,2021-12-10 19:21:30,,4.925161,4011141,4011140
Anthony Huber,29n2bv7F6uc,ki4Fbctwnjs,5,2021-08-26,-1,-1,4.9171863,0,2021-12-10 19:21:33,,3.477304,4011142,4011140
Anthony Huber,NNWEWFWtJ1Q,ki4Fbctwnjs,5,2020-11-19,-1,-1,4.9041233,0,2021-12-10 19:21:36,,3.224708,4011143,4011140
Anthony Huber,89oJojtDVJk,ki4Fbctwnjs,5,2021-06-15,-1,-1,4.9412532,0,2021-12-10 19:21:40,,3.085526,4011144,4011140
Anthony Huber,CtWqv0Z3ErM,ki4Fbctwnjs,5,2019-11-07,-1,-1,4.932611,0,2021-12-10 19:21:43,,3.061976,4011145,4011140
Anthony Huber,AZC7Y_fPiWw,ZJgsmCeX0uQ,4,2021-12-02,-1,-1,4.9255018,5,2021-12-10 19:21:46,"MaoCxmAl5hU,1109qa96iGU,Pw0ypSr1SGY,pqj_MURBNKI,Rl-kOX9omhM",3.006887,4011150,4011100
Anthony Huber,MaoCxmAl5hU,AZC7Y_fPiWw,5,2021-12-10,-1,-1,4.953639,0,2021-12-10 19:21:48,,2.828769,4011151,4011150
Anthony Huber,1109qa96iGU,AZC7Y_fPiWw,5,2021-12-09,-1,-1,4.8513141,0,2021-12-10 19:21:51,,2.950607,4011152,4011150
Anthony Huber,Pw0ypSr1SGY,AZC7Y_fPiWw,5,2021-12-07,-1,-1,4.8860874,0,2021-12-10 19:21:54,,2.802536,4011153,4011150
Anthony Huber,pqj_MURBNKI,AZC7Y_fPiWw,5,2021-12-09,-1,-1,4.9378481,0,2021-12-10 19:21:57,,2.740665,4011154,4011150
Anthony Huber,Rl-kOX9omhM,AZC7Y_fPiWw,5,2021-12-10,133,-1,1.60181,0,2021-12-10 19:22:00,,3.123836,4011155,4011150
Anthony Huber,ki4Fbctwnjs,ZOTlfcngCUw,3,2021-09-30,-1,-1,4.9508443,5,2021-12-10 19:22:04,"DgU-q384pO4,29n2bv7F6uc,NNWEWFWtJ1Q,CtWqv0Z3ErM,IQwD8C6ZBrg",3.391426,4011200,4011000
Anthony Huber,DgU-q384pO4,ki4Fbctwnjs,4,2021-11-01,-1,-1,4.9182692,5,2021-12-10 19:22:08,"WLoVHyuYVBY,MOF5I1fmsZA,3RkhZgRNC1k,CtWqv0Z3ErM,Tgr7LTRWkLo",4.961113,4011210,4011200
Anthony Huber,WLoVHyuYVBY,DgU-q384pO4,5,2021-10-15,-1,-1,4.9592433,0,2021-12-10 19:22:12,,3.165808,4011211,4011210
