keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Barak Obama,69EMd4csZRY,,0,2021-11-08,-1,-1,-1.0,5,2021-12-14 21:16:36,"NxFkEj7KPC0,fp85zRg2cwg,n068fel-W9I,zIwLWfaAg-8,HM9r6Q_jFCE",2.559445,5000000,0
Barak Obama,NxFkEj7KPC0,69EMd4csZRY,1,2016-04-30,-1,-1,-1.0,5,2021-12-14 21:16:38,"2AHD7lAJmmY,nf5ba3mJrG8,KPeqVow2hKQ,X2ATVUS23KM,n068fel-W9I",2.77153,5010000,5000000
Barak Obama,2AHD7lAJmmY,NxFkEj7KPC0,2,2019-10-25,569,-1,-1.0,5,2021-12-14 21:16:41,"6aY-wF8UOwk,-1jAOJHvll0,kl24UvhtD9c,dCsr0CNqB3g,o5fdhfVrg1I",2.676257,5011000,5010000
Barak Obama,6aY-wF8UOwk,2AHD7lAJmmY,3,2019-10-25,-1,-1,-1.0,5,2021-12-14 21:16:44,"MmZak_tSVdI,hE3kPaOu9TI,7Xsrbt9eoqs,IUT15cclbpM,Sci8mP2Gew4",2.529618,5011100,5011000
Barak Obama,MmZak_tSVdI,6aY-wF8UOwk,4,2019-10-25,-1,-1,-1.0,5,2021-12-14 21:16:46,"0yyZbHAMtJo,hE3kPaOu9TI,Sci8mP2Gew4,raDyWogvQ2Y,x9IGyidtfGI",2.471383,5011110,5011100
Barak Obama,0yyZbHAMtJo,MmZak_tSVdI,5,2019-10-25,-1,-1,-1.0,0,2021-12-14 21:16:48,,2.243189,5011111,5011110
Barak Obama,hE3kPaOu9TI,MmZak_tSVdI,5,2019-10-25,-1,-1,-1.0,0,2021-12-14 21:16:51,,2.421555,5011112,5011110
Barak Obama,Sci8mP2Gew4,MmZak_tSVdI,5,2019-10-25,-1,-1,-1.0,0,2021-12-14 21:16:53,,2.63778,5011113,5011110
Barak Obama,raDyWogvQ2Y,MmZak_tSVdI,5,2018-09-01,-1,-1,-1.0,0,2021-12-14 21:16:58,,4.672073,5011114,5011110
Barak Obama,x9IGyidtfGI,MmZak_tSVdI,5,2015-06-26,-1,-1,-1.0,0,2021-12-14 21:17:00,,2.390705,5011115,5011110
Barak Obama,hE3kPaOu9TI,6aY-wF8UOwk,4,2019-10-25,-1,-1,-1.0,5,2021-12-14 21:17:03,"ZDXMoO9ABFE,c0mvpRjKdlM,5W-74Hp3GzE,-1jAOJHvll0,975STy6QW24",2.611535,5011120,5011100
Barak Obama,ZDXMoO9ABFE,hE3kPaOu9TI,5,2015-06-26,-1,-1,-1.0,0,2021-12-14 21:17:06,,2.486774,5011121,5011120
Barak Obama,c0mvpRjKdlM,hE3kPaOu9TI,5,2020-06-23,492,-1,-1.0,0,2021-12-14 21:17:08,,2.423484,5011122,5011120
Barak Obama,5W-74Hp3GzE,hE3kPaOu9TI,5,2019-10-25,-1,-1,-1.0,0,2021-12-14 21:17:10,,2.432548,5011123,5011120
Barak Obama,-1jAOJHvll0,hE3kPaOu9TI,5,2015-04-13,-1,-1,-1.0,0,2021-12-14 21:17:13,,2.64008,5011124,5011120
Barak Obama,975STy6QW24,hE3kPaOu9TI,5,2021-12-13,259,-1,-1.0,0,2021-12-14 21:17:15,,2.341434,5011125,5011120
Barak Obama,7Xsrbt9eoqs,6aY-wF8UOwk,4,2019-10-25,85,-1,-1.0,5,2021-12-14 21:17:18,"1iS1hmrM1h8,YaxT0xYd7Ic,m4BNG-nL2sI,hKjKwMLRWXs,I2eay_7af3Y",2.651982,5011130,5011100
Barak Obama,1iS1hmrM1h8,7Xsrbt9eoqs,5,2015-03-19,-1,-1,-1.0,0,2021-12-14 21:17:22,,3.997403,5011131,5011130
Barak Obama,YaxT0xYd7Ic,7Xsrbt9eoqs,5,2021-10-21,-1,-1,-1.0,0,2021-12-14 21:17:24,,2.270059,5011132,5011130
Barak Obama,m4BNG-nL2sI,7Xsrbt9eoqs,5,2018-09-07,-1,-1,-1.0,0,2021-12-14 21:17:27,,2.464703,5011133,5011130
Barak Obama,hKjKwMLRWXs,7Xsrbt9eoqs,5,2018-11-09,-1,-1,-1.0,0,2021-12-14 21:17:30,,2.710969,5011134,5011130
Barak Obama,I2eay_7af3Y,7Xsrbt9eoqs,5,2021-09-09,-1,-1,-1.0,0,2021-12-14 21:17:32,,2.195851,5011135,5011130
Barak Obama,IUT15cclbpM,6aY-wF8UOwk,4,2019-10-25,-1,-1,-1.0,5,2021-12-14 21:17:35,"dpT0vX309_I,a1d9PG60TpY,6aY-wF8UOwk,TgjnrE6Bpiw,xAI8-cQBkQU",2.763079,5011140,5011100
Barak Obama,dpT0vX309_I,IUT15cclbpM,5,2019-06-05,-1,-1,-1.0,0,2021-12-14 21:17:37,,2.251883,5011141,5011140
