keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
Florida,nwiBOYYBMMc,,0,10 Best Places to Visit in Florida - Travel Video - YouTube,1920,1080,684,2017-10-12,UCh3Rpsdv1fxefE0ZcKBaNcQ,-1,-1,3394690,4.7462788,5,2021-03-18 09:17:40,"1EnyZ9zcWys,G4rV4PO9xZU,0wxkE60xw5E,HnuHp3T9VkM,pFoty21X370",6.860803
Florida,1EnyZ9zcWys,nwiBOYYBMMc,1,"The Florida Keys, The Overseas Highway, & Key West - YouTube",1280,720,826,2020-02-06,,-1,-1,1807000,4.8975921,2,2021-03-18 09:17:46,"bFCQSclUzF4,JeWsQw9RRe8",5.688504
Florida,bFCQSclUzF4,1EnyZ9zcWys,2,Miami 2020 - Travel Destination of the World - YouTube,480,360,658,2020-01-20,UCTnqAtLsVjoj3UUdWu6z4VA,-1,468,1337353,4.8820267,5,2021-03-18 09:17:50,"1hnJYtKvluw,dAWBTvR-xIg,Co8Ljb4RLe4,xj7abSp07w0,1EnyZ9zcWys",4.255616
Florida,1hnJYtKvluw,bFCQSclUzF4,3,Naples & Marco Island - The Paradise Coast - YouTube,1280,720,1210,2020-12-06,UCTnqAtLsVjoj3UUdWu6z4VA,-1,59,284533,4.9202166,5,2021-03-18 09:17:56,"bFCQSclUzF4,kHnp6Tgzow0,MT997jffnaY,AQJ9zBO4L-g,ZlHrUBJeBYs",5.633313
Florida,bFCQSclUzF4,1hnJYtKvluw,4,Miami 2020 - Travel Destination of the World - YouTube,480,360,658,2020-01-20,UCTnqAtLsVjoj3UUdWu6z4VA,-1,468,1337353,4.8820267,5,2021-03-18 09:17:58,"1hnJYtKvluw,dAWBTvR-xIg,Co8Ljb4RLe4,xj7abSp07w0,HnuHp3T9VkM",2.595275
Florida,1hnJYtKvluw,bFCQSclUzF4,5,Naples & Marco Island - The Paradise Coast - YouTube,1280,720,1210,2020-12-06,UCTnqAtLsVjoj3UUdWu6z4VA,-1,59,284533,4.9202166,0,2021-03-18 09:18:01,,2.599368
Florida,dAWBTvR-xIg,bFCQSclUzF4,5,Daytona Beach Travel Guide - 23 Miles of the Fun Coast - YouTube,1280,720,1470,2021-01-26,UCTnqAtLsVjoj3UUdWu6z4VA,-1,27,72174,4.9172416,0,2021-03-18 09:18:04,,2.606131
Florida,Co8Ljb4RLe4,bFCQSclUzF4,5,"LOS ANGELES TRAVEL - USA, WALKING TOUR (3 HOURS 13 MINUTES), Best Places To Visit in LA, 4K UHD - YouTube",1920,1080,11621,2019-09-13,UCNuWCBM-4pn582kUg0BVexw,-1,-1,1374173,4.839262,0,2021-03-18 09:18:08,,4.239371
Florida,xj7abSp07w0,bFCQSclUzF4,5,Miami 4K - Gold Coast - Scenic Drive - YouTube,1920,1080,6051,2020-09-06,UCBcVQr-07MH-p9e2kRTdB3A,-1,-1,1381744,4.9124575,0,2021-03-18 09:18:14,,6.225537
Florida,HnuHp3T9VkM,bFCQSclUzF4,5,Things to know BEFORE you go to Miami | Florida Travel Guide - YouTube,-1,-1,-1,,,-1,-1,-1,-1.0,0,2021-03-18 09:18:18,,3.586736
Florida,kHnp6Tgzow0,1hnJYtKvluw,4,Tampa Bay 2021 - Travel Guide - YouTube,1280,720,1272,2021-02-03,UCTnqAtLsVjoj3UUdWu6z4VA,-1,35,90963,4.9241195,5,2021-03-18 09:18:25,"xAxWmViXSN0,8T3vJ1Im-Hc,-7MtxWiPxwU,ix3hcDDTGTk,lTfRYpicR54",7.288289
Florida,xAxWmViXSN0,kHnp6Tgzow0,5,Sarasota 2020 - Refreshment on Florida's Gulf Coast - YouTube,1280,720,1069,2020-05-10,UCTnqAtLsVjoj3UUdWu6z4VA,-1,134,443125,4.8950462,0,2021-03-18 09:18:28,,2.707465
Florida,8T3vJ1Im-Hc,kHnp6Tgzow0,5,"ST PETE BEACH 2020 - Fort DeSoto, Pass-a-Grille, & Treasure Island - YouTube",1280,720,889,2020-03-17,UCTnqAtLsVjoj3UUdWu6z4VA,-1,92,393818,4.9040165,0,2021-03-18 09:18:30,,2.531249
Florida,-7MtxWiPxwU,kHnp6Tgzow0,5,The Tampa Riverwalk - Lighting Up The Tampa Riverfront - YouTube,1280,720,162,2020-03-28,UCTnqAtLsVjoj3UUdWu6z4VA,339,-1,13894,5.0,0,2021-03-18 09:18:34,,3.544348
Florida,ix3hcDDTGTk,kHnp6Tgzow0,5,"Anna Maria Island, FL - 7 Miles of Paradise - YouTube",1280,720,1310,2020-12-27,UCTnqAtLsVjoj3UUdWu6z4VA,-1,73,344381,4.9281673,0,2021-03-18 09:18:37,,2.542327
Florida,lTfRYpicR54,kHnp6Tgzow0,5,"St Petersburg, Florida - Licensed to Chill - YouTube",1280,720,1456,2020-08-23,UCTnqAtLsVjoj3UUdWu6z4VA,-1,45,219427,4.9315066,0,2021-03-18 09:18:39,,2.482409
