keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Hillary Clinton,kisC2LWRnAE,,0,2021-11-23,-1,-1,3.6635945,5,2021-12-07 04:10:16,"7T9D4Eqs2Jk,0W9OYSuyB3k,2kHUA-Zma1U,zfcB2q0_hAI,-82q0KoO4Fs",3.024071,2000000,0
Hillary Clinton,7T9D4Eqs2Jk,kisC2LWRnAE,1,2021-12-06,77,-1,4.5813951,5,2021-12-07 04:10:19,"Sl_bKxcJOSk,0W9OYSuyB3k,i6V4P40rwMc,1QhLW1A70G8,0MkUyBI-lYk",3.069876,2010000,2000000
Hillary Clinton,Sl_bKxcJOSk,7T9D4Eqs2Jk,2,2021-12-06,643,-1,4.7991138,5,2021-12-07 04:10:22,"9LoKfCbxVDE,NkbvHHI_QYg,0W9OYSuyB3k,0MkUyBI-lYk,fFNvWZ1fBeQ",3.225457,2011000,2010000
Hillary Clinton,9LoKfCbxVDE,Sl_bKxcJOSk,3,2021-12-06,-1,-1,4.774519,5,2021-12-07 04:10:25,"0W9OYSuyB3k,fFNvWZ1fBeQ,Sl_bKxcJOSk,V_x8-RJe0Ik,f9E6wCMnMOk",3.024156,2011100,2011000
Hillary Clinton,0W9OYSuyB3k,9LoKfCbxVDE,4,2021-12-06,-1,-1,4.7949843,5,2021-12-07 04:10:28,"9LoKfCbxVDE,fFNvWZ1fBeQ,QlBTKmVVOOQ,S8vpR0tnqho,5InzccRssnE",3.083798,2011110,2011100
Hillary Clinton,9LoKfCbxVDE,0W9OYSuyB3k,5,2021-12-06,-1,-1,4.7747254,0,2021-12-07 04:10:31,,3.00965,2011111,2011110
Hillary Clinton,fFNvWZ1fBeQ,0W9OYSuyB3k,5,2021-12-06,-1,-1,4.7918873,0,2021-12-07 04:10:34,,3.123686,2011112,2011110
Hillary Clinton,QlBTKmVVOOQ,0W9OYSuyB3k,5,2021-12-02,-1,-1,4.8175092,0,2021-12-07 04:10:37,,2.789407,2011113,2011110
Hillary Clinton,S8vpR0tnqho,0W9OYSuyB3k,5,2021-05-19,-1,-1,4.5690579,0,2021-12-07 04:10:40,,3.105338,2011114,2011110
Hillary Clinton,5InzccRssnE,0W9OYSuyB3k,5,2021-10-30,-1,-1,4.8054061,0,2021-12-07 04:10:43,,2.576019,2011115,2011110
Hillary Clinton,fFNvWZ1fBeQ,9LoKfCbxVDE,4,2021-12-06,-1,-1,4.7918873,5,2021-12-07 04:10:46,"0W9OYSuyB3k,VhIbwgND4YY,V_x8-RJe0Ik,q74MmraWs4I,bMyhT6NiKlg",3.17003,2011120,2011100
Hillary Clinton,0W9OYSuyB3k,fFNvWZ1fBeQ,5,2021-12-06,-1,-1,4.7952843,0,2021-12-07 04:10:49,,3.056925,2011121,2011120
Hillary Clinton,VhIbwgND4YY,fFNvWZ1fBeQ,5,2021-11-19,-1,-1,4.8424044,0,2021-12-07 04:10:52,,3.222817,2011122,2011120
Hillary Clinton,V_x8-RJe0Ik,fFNvWZ1fBeQ,5,2021-12-05,-1,-1,4.9385476,0,2021-12-07 04:10:59,,6.973375,2011123,2011120
Hillary Clinton,q74MmraWs4I,fFNvWZ1fBeQ,5,2021-12-06,41,-1,3.9818182,0,2021-12-07 04:11:02,,2.647059,2011124,2011120
Hillary Clinton,bMyhT6NiKlg,fFNvWZ1fBeQ,5,2021-11-08,-1,-1,4.8721538,0,2021-12-07 04:11:05,,3.273277,2011125,2011120
Hillary Clinton,Sl_bKxcJOSk,9LoKfCbxVDE,4,2021-12-06,647,-1,4.8002939,5,2021-12-07 04:11:08,"9LoKfCbxVDE,NkbvHHI_QYg,0W9OYSuyB3k,POF91cr6Qx4,Dqxzqrs9i1w",3.149919,2011130,2011100
Hillary Clinton,9LoKfCbxVDE,Sl_bKxcJOSk,5,2021-12-06,-1,-1,4.7748284,0,2021-12-07 04:11:11,,3.082794,2011131,2011130
