keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Infrastructure Bill,mIhYN6lC1uA,,0,2021-11-15,236,-1,-1.0,5,2021-12-22 06:18:20,"w9h-XQm2qEY,uyQjnW5ZQp8,dumbL6RPJIc,EseFbug7cMg,Wehsz38P74g",3.228582,1000000,0
Infrastructure Bill,w9h-XQm2qEY,mIhYN6lC1uA,1,2021-12-11,-1,-1,-1.0,5,2021-12-22 06:18:23,"Qr4QVGE-_qU,9vkc3mAZr-w,GDhIL9o3vHg,LfZpLllgd5Q,pp-nPZETLTo",2.598934,1010000,1000000
Infrastructure Bill,Qr4QVGE-_qU,w9h-XQm2qEY,2,2021-12-19,-1,-1,-1.0,5,2021-12-22 06:18:26,"usiiEs_S4Pk,TKsG1gXjNhw,Wehsz38P74g,kyqOiGXnQ_E,YdVymGK3OzM",3.252383,1011000,1010000
Infrastructure Bill,usiiEs_S4Pk,Qr4QVGE-_qU,3,2021-12-21,892,-1,-1.0,5,2021-12-22 06:18:29,"RVyiU7Cdkd4,n068fel-W9I,y1nqQOn6Rbc,Wehsz38P74g,3RkhZgRNC1k",3.036323,1011100,1011000
Infrastructure Bill,RVyiU7Cdkd4,usiiEs_S4Pk,4,2021-12-21,-1,-1,-1.0,5,2021-12-22 06:18:32,"usiiEs_S4Pk,n068fel-W9I,IvvOQy3yaYE,lSD_vpfikbE,Wehsz38P74g",2.602245,1011110,1011100
Infrastructure Bill,usiiEs_S4Pk,RVyiU7Cdkd4,5,2021-12-21,892,-1,-1.0,0,2021-12-22 06:18:35,,3.204529,1011111,1011110
Infrastructure Bill,n068fel-W9I,RVyiU7Cdkd4,5,2021-01-15,-1,-1,-1.0,0,2021-12-22 06:18:38,,3.288714,1011112,1011110
Infrastructure Bill,IvvOQy3yaYE,RVyiU7Cdkd4,5,2021-12-13,-1,-1,-1.0,0,2021-12-22 06:18:43,,4.541203,1011113,1011110
Infrastructure Bill,lSD_vpfikbE,RVyiU7Cdkd4,5,2021-12-06,-1,-1,-1.0,0,2021-12-22 06:18:46,,2.585778,1011114,1011110
Infrastructure Bill,Wehsz38P74g,RVyiU7Cdkd4,5,2021-12-15,-1,-1,-1.0,0,2021-12-22 06:18:49,,2.944111,1011115,1011110
Infrastructure Bill,n068fel-W9I,usiiEs_S4Pk,4,2021-01-15,-1,-1,-1.0,5,2021-12-22 06:18:51,"Qf7qXw7sHk4,lZ3bPUKo5zc,aICaAEXDJQQ,pni_kDv9BsU,Ijst4g5KFN0",2.396531,1011120,1011100
Infrastructure Bill,Qf7qXw7sHk4,n068fel-W9I,5,2021-12-20,739,-1,-1.0,0,2021-12-22 06:18:53,,2.267094,1011121,1011120
Infrastructure Bill,lZ3bPUKo5zc,n068fel-W9I,5,2014-06-18,-1,-1,-1.0,0,2021-12-22 06:18:56,,2.419622,1011122,1011120
Infrastructure Bill,aICaAEXDJQQ,n068fel-W9I,5,2021-12-18,-1,-1,-1.0,0,2021-12-22 06:18:58,,2.696806,1011123,1011120
Infrastructure Bill,pni_kDv9BsU,n068fel-W9I,5,2016-02-09,-1,-1,-1.0,0,2021-12-22 06:19:01,,2.666755,1011124,1011120
Infrastructure Bill,Ijst4g5KFN0,n068fel-W9I,5,2019-09-20,-1,-1,-1.0,0,2021-12-22 06:19:04,,2.493011,1011125,1011120
Infrastructure Bill,y1nqQOn6Rbc,usiiEs_S4Pk,4,2021-12-18,-1,-1,-1.0,5,2021-12-22 06:19:06,"GDhIL9o3vHg,84XMFVcLScw,1Vgv10Chgic,YdVymGK3OzM,hkopHLQjtVQ",2.688816,1011130,1011100
Infrastructure Bill,GDhIL9o3vHg,y1nqQOn6Rbc,5,2021-12-21,-1,-1,-1.0,0,2021-12-22 06:19:09,,2.805639,1011131,1011130
Infrastructure Bill,84XMFVcLScw,y1nqQOn6Rbc,5,2021-12-19,-1,-1,-1.0,0,2021-12-22 06:19:12,,2.651356,1011132,1011130
Infrastructure Bill,1Vgv10Chgic,y1nqQOn6Rbc,5,2021-12-21,36,-1,-1.0,0,2021-12-22 06:19:14,,2.31851,1011133,1011130
Infrastructure Bill,YdVymGK3OzM,y1nqQOn6Rbc,5,2021-12-20,-1,-1,-1.0,0,2021-12-22 06:19:19,,4.720921,1011134,1011130
Infrastructure Bill,hkopHLQjtVQ,y1nqQOn6Rbc,5,2021-12-20,-1,-1,-1.0,0,2021-12-22 06:19:21,,2.705634,1011135,1011130
Infrastructure Bill,Wehsz38P74g,usiiEs_S4Pk,4,2021-12-15,-1,-1,-1.0,5,2021-12-22 06:19:24,"gYLQThUxpvQ,2STPr1Taaw8,t5jI2oMyO0Y,vmlKdyXP4nk,BYVMxVcsRZM",2.8995,1011140,1011100
Infrastructure Bill,gYLQThUxpvQ,Wehsz38P74g,5,2018-12-19,-1,-1,-1.0,0,2021-12-22 06:19:27,,2.970769,1011141,1011140
Infrastructure Bill,2STPr1Taaw8,Wehsz38P74g,5,2020-07-01,-1,-1,-1.0,0,2021-12-22 06:19:32,,4.950669,1011142,1011140
Infrastructure Bill,t5jI2oMyO0Y,Wehsz38P74g,5,2020-07-15,-1,-1,-1.0,0,2021-12-22 06:19:35,,2.921934,1011143,1011140
Infrastructure Bill,vmlKdyXP4nk,Wehsz38P74g,5,2021-09-22,-1,-1,-1.0,0,2021-12-22 06:19:41,,5.662627,1011144,1011140
Infrastructure Bill,BYVMxVcsRZM,Wehsz38P74g,5,2021-11-03,-1,-1,-1.0,0,2021-12-22 06:19:44,,2.888884,1011145,1011140
Infrastructure Bill,3RkhZgRNC1k,usiiEs_S4Pk,4,2020-03-24,-1,-1,-1.0,5,2021-12-22 06:19:47,"2ws3YfsAYDw,DgU-q384pO4,t93UCj1hzu8,29n2bv7F6uc,9qAxT5bHf0g",2.795873,1011150,1011100
Infrastructure Bill,2ws3YfsAYDw,3RkhZgRNC1k,5,2020-08-18,-1,-1,-1.0,0,2021-12-22 06:19:50,,3.545441,1011151,1011150
Infrastructure Bill,DgU-q384pO4,3RkhZgRNC1k,5,2021-11-01,-1,-1,-1.0,0,2021-12-22 06:19:53,,3.202039,1011152,1011150
Infrastructure Bill,t93UCj1hzu8,3RkhZgRNC1k,5,2020-03-13,-1,-1,-1.0,0,2021-12-22 06:19:57,,3.155866,1011153,1011150
Infrastructure Bill,29n2bv7F6uc,3RkhZgRNC1k,5,2021-08-26,-1,-1,-1.0,0,2021-12-22 06:20:00,,3.212466,1011154,1011150
Infrastructure Bill,9qAxT5bHf0g,3RkhZgRNC1k,5,2021-12-21,616,-1,-1.0,0,2021-12-22 06:20:03,,3.009421,1011155,1011150
Infrastructure Bill,TKsG1gXjNhw,Qr4QVGE-_qU,3,2021-12-21,47,-1,-1.0,5,2021-12-22 06:20:06,"PRymp6l1xzU,1yBPInoqj20,aICaAEXDJQQ,Wehsz38P74g,f25IcV9P1ls",3.063018,1011200,1011000
Infrastructure Bill,PRymp6l1xzU,TKsG1gXjNhw,4,2021-12-21,-1,-1,-1.0,5,2021-12-22 06:20:09,"1yBPInoqj20,38BQhQ3IYko,Wehsz38P74g,b9_Vh9h3Ohw,f25IcV9P1ls",3.198168,1011210,1011200
Infrastructure Bill,1yBPInoqj20,PRymp6l1xzU,5,2021-12-21,272,-1,-1.0,0,2021-12-22 06:20:12,,2.558109,1011211,1011210
Infrastructure Bill,38BQhQ3IYko,PRymp6l1xzU,5,2021-12-21,173,-1,-1.0,0,2021-12-22 06:20:15,,3.209713,1011212,1011210
