keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Joseph Rosenbaum,LBM9Ke_JI1Q,,0,2020-11-19,-1,-1,2.8671522,5,2021-12-10 06:30:13,"BYPpAxQJjAY,-1jAOJHvll0,3x_mrdfjYLE,VLtx4yymt6s,X0SeB7HfAmI",2.642692,3000000,0
Joseph Rosenbaum,BYPpAxQJjAY,LBM9Ke_JI1Q,1,2020-07-14,-1,-1,4.0762744,5,2021-12-10 06:30:16,"g62He0p0iwM,rsQTY9083r8,Bd8_vO5zrjo,3RkhZgRNC1k,-6DLT9MHO4M",3.043243,3010000,3000000
Joseph Rosenbaum,g62He0p0iwM,BYPpAxQJjAY,2,2020-06-21,-1,-1,2.2905717,5,2021-12-10 06:30:19,"pIue1jtWfWY,-1jAOJHvll0,Bd8_vO5zrjo,WXuK6gekU1Y,j5v8D-alAKE",2.797041,3011000,3010000
Joseph Rosenbaum,pIue1jtWfWY,g62He0p0iwM,3,2020-05-27,-1,-1,3.4885542,5,2021-12-10 06:30:22,"r3SoJOloQO0,-1jAOJHvll0,Bd8_vO5zrjo,YzFUXKk2B4I,WXuK6gekU1Y",2.723839,3011100,3011000
Joseph Rosenbaum,r3SoJOloQO0,pIue1jtWfWY,4,2020-04-30,-1,-1,2.9246058,5,2021-12-10 06:30:24,"QC-h7rnZW3k,WXuK6gekU1Y,rRMkEDwJxbU,7KC8BctOa8M,ao2Jfm35XeE",2.719829,3011110,3011100
Joseph Rosenbaum,QC-h7rnZW3k,r3SoJOloQO0,5,2020-04-12,-1,-1,2.4436734,0,2021-12-10 06:30:27,,2.936959,3011111,3011110
Joseph Rosenbaum,WXuK6gekU1Y,r3SoJOloQO0,5,2020-03-13,-1,-1,4.7930183,0,2021-12-10 06:30:30,,2.359428,3011112,3011110
Joseph Rosenbaum,rRMkEDwJxbU,r3SoJOloQO0,5,2020-04-13,-1,-1,4.6576176,0,2021-12-10 06:30:34,,4.590216,3011113,3011110
Joseph Rosenbaum,7KC8BctOa8M,r3SoJOloQO0,5,2019-03-09,-1,-1,-1.0,0,2021-12-10 06:30:40,,5.342582,3011114,3011110
Joseph Rosenbaum,ao2Jfm35XeE,r3SoJOloQO0,5,2021-11-30,-1,-1,4.9618959,0,2021-12-10 06:30:45,,4.80506,3011115,3011110
Joseph Rosenbaum,-1jAOJHvll0,pIue1jtWfWY,4,2015-04-13,-1,-1,4.3178024,5,2021-12-10 06:30:47,"wz4evV4YWnE,oizhVJstxC4,n30zO0ABFqc,j7-FmAfxMmQ,M4LRHJlijVU",2.583664,3011120,3011100
Joseph Rosenbaum,wz4evV4YWnE,-1jAOJHvll0,5,2021-12-01,-1,-1,-1.0,0,2021-12-10 06:30:52,,4.469574,3011121,3011120
Joseph Rosenbaum,oizhVJstxC4,-1jAOJHvll0,5,2019-05-31,-1,-1,4.3902392,0,2021-12-10 06:30:54,,2.539586,3011122,3011120
Joseph Rosenbaum,n30zO0ABFqc,-1jAOJHvll0,5,2010-10-20,-1,-1,4.046793,0,2021-12-10 06:30:57,,2.717161,3011123,3011120
Joseph Rosenbaum,j7-FmAfxMmQ,-1jAOJHvll0,5,2020-11-27,-1,-1,-1.0,0,2021-12-10 06:31:00,,2.858148,3011124,3011120
Joseph Rosenbaum,M4LRHJlijVU,-1jAOJHvll0,5,2020-04-19,-1,-1,4.7339821,0,2021-12-10 06:31:02,,2.436055,3011125,3011120
Joseph Rosenbaum,Bd8_vO5zrjo,pIue1jtWfWY,4,2019-04-27,-1,-1,4.8738003,5,2021-12-10 06:31:05,"NB5hH3ksvKE,BXjydKPcX60,TZH-K0theTg,Xtgggq1l8o4,Xg3XhaPvrJ4",2.631175,3011130,3011100
