keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Lindsey Graham,yvj2SZZ4WZ4,,0,2021-12-12,-1,-1,4.5323801,5,2021-12-12 19:58:56,"H5hbxe8HFvM,HYuHtHRUn4c,uIL4VkM-2qs,pyeYpYdcS1k,shPwW11MEHg",2.701304,1000000,0
Lindsey Graham,H5hbxe8HFvM,yvj2SZZ4WZ4,1,2021-12-11,-1,-1,4.9227705,5,2021-12-12 19:58:59,"YtPW4o5omug,AeFEadspSyM,T3XWUlLmuug,G01RuErIUsc,KooTyZ4P_QI",2.778042,1010000,1000000
Lindsey Graham,YtPW4o5omug,H5hbxe8HFvM,3,2021-12-11,-1,-1,4.9536099,5,2021-12-12 19:59:08,"uDt3-Zu5cbc,AeFEadspSyM,G01RuErIUsc,-aCrI631KW8,MaoCxmAl5hU",9.566974,1011000,1010000
Lindsey Graham,uDt3-Zu5cbc,YtPW4o5omug,4,2021-12-11,-1,-1,4.8779526,5,2021-12-12 19:59:13,"AeFEadspSyM,AZC7Y_fPiWw,YtPW4o5omug,MaoCxmAl5hU,H5hbxe8HFvM",4.810995,1011010,1011000
Lindsey Graham,AeFEadspSyM,uDt3-Zu5cbc,5,2021-12-11,-1,-1,4.9460316,0,2021-12-12 19:59:16,,2.64882,1011011,1011010
Lindsey Graham,AZC7Y_fPiWw,uDt3-Zu5cbc,5,2021-12-02,-1,-1,4.9186473,0,2021-12-12 19:59:21,,4.861316,1011012,1011010
Lindsey Graham,YtPW4o5omug,uDt3-Zu5cbc,5,2021-12-11,-1,-1,4.9536099,0,2021-12-12 19:59:23,,2.492567,1011013,1011010
Lindsey Graham,MaoCxmAl5hU,uDt3-Zu5cbc,5,2021-12-10,-1,-1,4.9458809,0,2021-12-12 19:59:26,,2.914419,1011014,1011010
Lindsey Graham,H5hbxe8HFvM,uDt3-Zu5cbc,5,2021-12-11,-1,-1,4.92278,0,2021-12-12 19:59:29,,2.653603,1011015,1011010
Lindsey Graham,AeFEadspSyM,YtPW4o5omug,4,2021-12-11,-1,-1,4.9460349,5,2021-12-12 19:59:32,"z3eLHD_UHnU,YvLfPNN4k68,LmETshyxDXI,6e2tyGyRaMs,RoIakRH8N6Y",2.670556,1011020,1011000
Lindsey Graham,z3eLHD_UHnU,AeFEadspSyM,5,2021-12-11,-1,-1,4.9154763,0,2021-12-12 19:59:34,,2.574467,1011021,1011020
Lindsey Graham,YvLfPNN4k68,AeFEadspSyM,5,2021-12-11,-1,-1,4.936955,0,2021-12-12 19:59:37,,2.698778,1011022,1011020
Lindsey Graham,LmETshyxDXI,AeFEadspSyM,5,2021-12-08,-1,-1,4.8755469,0,2021-12-12 19:59:40,,2.976457,1011023,1011020
Lindsey Graham,6e2tyGyRaMs,AeFEadspSyM,5,2021-12-12,265,-1,4.9405203,0,2021-12-12 19:59:42,,2.225375,1011024,1011020
Lindsey Graham,RoIakRH8N6Y,AeFEadspSyM,5,2021-12-11,-1,-1,4.9123349,0,2021-12-12 19:59:45,,2.632037,1011025,1011020
Lindsey Graham,G01RuErIUsc,YtPW4o5omug,4,2021-12-11,-1,-1,4.9194088,5,2021-12-12 19:59:50,"nQfCd9tnjTM,CdYJx3GlV8c,7QJ-N-AQJYc,6dv8zJiggBs,QEgalcH_-b4",4.905932,1011030,1011000
Lindsey Graham,nQfCd9tnjTM,G01RuErIUsc,5,2021-12-11,-1,-1,4.9209528,0,2021-12-12 19:59:52,,2.679239,1011031,1011030
Lindsey Graham,CdYJx3GlV8c,G01RuErIUsc,5,2021-12-10,-1,-1,4.9594483,0,2021-12-12 19:59:57,,4.495634,1011032,1011030
Lindsey Graham,7QJ-N-AQJYc,G01RuErIUsc,5,2021-12-12,-1,-1,4.886611,0,2021-12-12 19:59:59,,2.608381,1011033,1011030
Lindsey Graham,6dv8zJiggBs,G01RuErIUsc,5,2018-06-25,-1,-1,4.8734508,0,2021-12-12 20:00:03,,3.354047,1011034,1011030
Lindsey Graham,QEgalcH_-b4,G01RuErIUsc,5,2021-08-19,-1,-1,4.9696398,0,2021-12-12 20:00:06,,2.711515,1011035,1011030
Lindsey Graham,-aCrI631KW8,YtPW4o5omug,4,2021-12-12,518,-1,4.9168243,5,2021-12-12 20:00:08,"ZBBfEg699dM,7LkdJ72YuEs,8esfwhcuePU,QEgalcH_-b4,-1jAOJHvll0",2.579039,1011040,1011000
Lindsey Graham,ZBBfEg699dM,-aCrI631KW8,5,2021-12-06,-1,-1,-1.0,0,2021-12-12 20:00:13,,5.215703,1011041,1011040
Lindsey Graham,7LkdJ72YuEs,-aCrI631KW8,5,2021-12-10,-1,-1,4.9727683,0,2021-12-12 20:00:16,,2.685205,1011042,1011040
Lindsey Graham,8esfwhcuePU,-aCrI631KW8,5,2021-12-08,-1,-1,4.9389162,0,2021-12-12 20:00:19,,2.637047,1011043,1011040
Lindsey Graham,QEgalcH_-b4,-aCrI631KW8,5,2021-08-19,-1,-1,4.9696398,0,2021-12-12 20:00:21,,2.719587,1011044,1011040
Lindsey Graham,-1jAOJHvll0,-aCrI631KW8,5,2015-04-13,-1,-1,4.3102989,0,2021-12-12 20:00:24,,2.521456,1011045,1011040
