keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Mitch McConnell,Ah6EeS7-5AQ,,0,2021-12-10,-1,-1,4.9425473,5,2021-12-13 10:15:21,"qp7ApufRQts,AeFEadspSyM,oWMAOylxXpw,zB5GV-1qUdA,MaoCxmAl5hU",2.644191,2000000,0
Mitch McConnell,qp7ApufRQts,Ah6EeS7-5AQ,1,2021-12-13,642,-1,4.9326186,5,2021-12-13 10:15:24,"AeFEadspSyM,oWMAOylxXpw,w9h-XQm2qEY,V5g9AVqRsjo,LKLcJ7Ss4qI",2.446815,2010000,2000000
Mitch McConnell,AeFEadspSyM,qp7ApufRQts,2,2021-12-11,-1,-1,4.9424233,5,2021-12-13 10:15:27,"z3eLHD_UHnU,KGOGBX32BdI,pkx82LyNUHM,oWMAOylxXpw,XteixwzvNtc",2.702362,2011000,2010000
Mitch McConnell,z3eLHD_UHnU,AeFEadspSyM,3,2021-12-11,-1,-1,4.9142675,5,2021-12-13 10:15:29,"PXLKPL1BUe4,AeFEadspSyM,oWMAOylxXpw,3juSckHif90,qp7ApufRQts",2.617224,2011100,2011000
Mitch McConnell,PXLKPL1BUe4,z3eLHD_UHnU,4,2021-12-11,523,-1,3.5235224,5,2021-12-13 10:15:32,"xr4p7XyxnxQ,qp7ApufRQts,AeFEadspSyM,oWMAOylxXpw,uIL4VkM-2qs",2.839675,2011110,2011100
Mitch McConnell,xr4p7XyxnxQ,PXLKPL1BUe4,5,2021-12-10,-1,-1,3.9167492,0,2021-12-13 10:15:35,,2.672071,2011111,2011110
Mitch McConnell,qp7ApufRQts,PXLKPL1BUe4,5,2021-12-13,643,-1,4.9327216,0,2021-12-13 10:15:37,,2.317189,2011112,2011110
Mitch McConnell,AeFEadspSyM,PXLKPL1BUe4,5,2021-12-11,-1,-1,4.9423571,0,2021-12-13 10:15:40,,2.552768,2011113,2011110
Mitch McConnell,oWMAOylxXpw,PXLKPL1BUe4,5,2021-12-10,-1,-1,4.9450955,0,2021-12-13 10:15:42,,2.688275,2011114,2011110
Mitch McConnell,uIL4VkM-2qs,PXLKPL1BUe4,5,2021-12-11,-1,-1,4.919107,0,2021-12-13 10:15:47,,4.666065,2011115,2011110
