keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Moderna,BQRMFqWmuTY,,0,2021-12-17,202,-1,-1.0,5,2021-12-19 18:02:15,"lImGuBDJdno,mwMuJsiY6uE,84XMFVcLScw,qkGxyfpex8A,Wehsz38P74g",2.781922,3000000,0
Moderna,lImGuBDJdno,BQRMFqWmuTY,1,2021-12-15,-1,-1,-1.0,5,2021-12-19 18:02:19,"KvpTg8OU1Lo,IRJpIwBGT40,n068fel-W9I,GO4Jxhwlc3w,AeFEadspSyM",4.64451,3010000,3000000
Moderna,KvpTg8OU1Lo,lImGuBDJdno,2,2021-12-18,191,-1,-1.0,5,2021-12-19 18:02:22,"Hpf9_gPv_rU,c_UuVV7fhMc,0L24MNoKq54,n1IzetXHttI,n068fel-W9I",2.646013,3011000,3010000
Moderna,Hpf9_gPv_rU,KvpTg8OU1Lo,3,2021-12-17,-1,-1,-1.0,5,2021-12-19 18:02:26,"stft0LMt8FM,qkGxyfpex8A,n068fel-W9I,Wehsz38P74g,3M4QZJxb9Dw",4.31635,3011100,3011000
Moderna,stft0LMt8FM,Hpf9_gPv_rU,4,2021-12-16,-1,-1,-1.0,5,2021-12-19 18:02:31,"M5GwWnZ0a6I,IRJpIwBGT40,qkGxyfpex8A,Wehsz38P74g,ilickabmjww",4.34545,3011110,3011100
Moderna,M5GwWnZ0a6I,stft0LMt8FM,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 18:02:33,,2.904381,3011111,3011110
Moderna,IRJpIwBGT40,stft0LMt8FM,5,2021-12-15,-1,-1,-1.0,0,2021-12-19 18:02:38,,4.940353,3011112,3011110
Moderna,qkGxyfpex8A,stft0LMt8FM,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 18:02:41,,2.918959,3011113,3011110
Moderna,Wehsz38P74g,stft0LMt8FM,5,2021-12-15,-1,-1,-1.0,0,2021-12-19 18:02:44,,3.149163,3011114,3011110
Moderna,ilickabmjww,stft0LMt8FM,5,2018-09-28,-1,-1,-1.0,0,2021-12-19 18:02:51,,6.783923,3011115,3011110
Moderna,qkGxyfpex8A,Hpf9_gPv_rU,4,2021-12-18,-1,-1,-1.0,5,2021-12-19 18:02:54,"YPv9qHNpjks,hAu208G8X0Y,fLXfkqPbmPU,h61hhGMe_oA,n068fel-W9I",2.701705,3011120,3011100
Moderna,YPv9qHNpjks,qkGxyfpex8A,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 18:02:57,,2.907346,3011121,3011120
Moderna,hAu208G8X0Y,qkGxyfpex8A,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 18:03:00,,2.957149,3011122,3011120
Moderna,fLXfkqPbmPU,qkGxyfpex8A,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 18:03:03,,2.767265,3011123,3011120
Moderna,h61hhGMe_oA,qkGxyfpex8A,5,2021-12-19,-1,-1,-1.0,0,2021-12-19 18:03:06,,2.860508,3011124,3011120
Moderna,n068fel-W9I,qkGxyfpex8A,5,2021-01-15,-1,-1,-1.0,0,2021-12-19 18:03:08,,2.411168,3011125,3011120
