keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
NRA,qcJeOphUtek,,0,How the NRA hijacks gun control debates - YouTube,1920,1080,535,2018-03-24,UCLXo7UDZvByw2ixzpQCufnA,-1,-1,1816260,3.4460952,5,2021-03-21 21:06:55,"wCJJI6M77pA,9vJRopau0g0,hWQiXv0sn9Y,ENw2y0ek1Jg,4AtOU0dDXv8",4.225506
NRA,wCJJI6M77pA,qcJeOphUtek,1,The NRA’s Global Impact | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1508,2019-05-19,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,1508130,4.8710084,5,2021-03-21 21:06:57,"ynGomfP-4jE,pLAi_cmly6Q,vkhMfgOT9Xs,km4uCOAzrbM,v5DWJv1hiwM",2.439911
NRA,ynGomfP-4jE,wCJJI6M77pA,2,Deep Cuts: Hasan Chops It Up With Desus & Mero | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,954,2019-05-15,UCObk_g1hQBy0RKKriVX_zOQ,-1,349,915361,4.9490676,5,2021-03-21 21:07:00,"xt8EcSyjPY8,NDBWSSKhtpU,1vpzyzfQdsI,QXFjySa5mm0,Sv08YFokCX4",2.194483
NRA,xt8EcSyjPY8,ynGomfP-4jE,3,Brazil And The Amazon | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1199,2019-05-12,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,1412405,4.869822,5,2021-03-21 21:07:02,"NDBWSSKhtpU,wCJJI6M77pA,KmZZfWdlEFY,g6_gWPUiKAE,kmo6lZcdkO0",2.197744
NRA,NDBWSSKhtpU,xt8EcSyjPY8,4,Elections In The Philippines | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,497,2019-05-12,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,866220,4.1369095,5,2021-03-21 21:07:04,"xt8EcSyjPY8,wCJJI6M77pA,KmZZfWdlEFY,2S3cBp4ucEU,cDPeXoQUrbI",2.188534
NRA,xt8EcSyjPY8,NDBWSSKhtpU,5,Brazil And The Amazon | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1199,2019-05-12,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,1412405,4.869822,0,2021-03-21 21:07:06,,2.116502
NRA,wCJJI6M77pA,NDBWSSKhtpU,5,The NRA’s Global Impact | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1508,2019-05-19,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,1508130,4.8710084,0,2021-03-21 21:07:09,,2.176399
NRA,KmZZfWdlEFY,NDBWSSKhtpU,5,"Malaysia, 1MDB, and Goldman Sachs | Patriot Act with Hasan Minhaj | Netflix - YouTube",1920,1080,1131,2019-06-05,UCObk_g1hQBy0RKKriVX_zOQ,-1,900,1677593,4.8953519,0,2021-03-21 21:07:11,,2.13099
NRA,2S3cBp4ucEU,NDBWSSKhtpU,5,Protests In Sudan | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1107,2019-06-09,UCObk_g1hQBy0RKKriVX_zOQ,-1,808,1218972,4.9161215,0,2021-03-21 21:07:13,,2.141933
NRA,cDPeXoQUrbI,NDBWSSKhtpU,5,The Two Sides of Canada | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1675,2019-09-02,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,3413052,4.8159761,0,2021-03-21 21:07:15,,2.222396
NRA,wCJJI6M77pA,xt8EcSyjPY8,4,The NRA’s Global Impact | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1508,2019-05-19,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,1508130,4.8710084,5,2021-03-21 21:07:17,"ynGomfP-4jE,pLAi_cmly6Q,v5DWJv1hiwM,g6_gWPUiKAE,km4uCOAzrbM",2.119882
NRA,ynGomfP-4jE,wCJJI6M77pA,5,Deep Cuts: Hasan Chops It Up With Desus & Mero | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,954,2019-05-15,UCObk_g1hQBy0RKKriVX_zOQ,-1,349,915361,4.9490676,0,2021-03-21 21:07:20,,2.224843
NRA,pLAi_cmly6Q,wCJJI6M77pA,5,The Dark Side of the Video Game Industry | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1455,2019-08-05,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,3475471,4.6623497,0,2021-03-21 21:07:22,,2.339863
NRA,v5DWJv1hiwM,wCJJI6M77pA,5,Cricket Corruption | Patriot Act with Hasan Minhaj | Netflix - YouTube,1920,1080,1586,2019-05-26,UCObk_g1hQBy0RKKriVX_zOQ,-1,-1,3708796,4.607748,0,2021-03-21 21:07:24,,2.245805
