keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
NRA,qcJeOphUtek,,0,2018-03-24,-1,-1,-1.0,5,2021-12-20 18:21:25,"wCJJI6M77pA,Wehsz38P74g,Mm34wJ3jWdI,ki4Fbctwnjs,LEcbagW4O-s",3.129364,5000000,0
NRA,wCJJI6M77pA,qcJeOphUtek,1,2019-05-19,-1,-1,-1.0,5,2021-12-20 18:21:28,"ynGomfP-4jE,pLAi_cmly6Q,vkhMfgOT9Xs,JP3416CgU0Q,nrKxOnNaGHc",2.586484,5010000,5000000
NRA,ynGomfP-4jE,wCJJI6M77pA,2,2019-05-15,-1,-1,-1.0,5,2021-12-20 18:21:30,"xt8EcSyjPY8,NDBWSSKhtpU,zkdtM8avYbQ,Lib1Zhq7WGY,JU8gFy611EM",2.508783,5011000,5010000
NRA,xt8EcSyjPY8,ynGomfP-4jE,3,2019-05-12,-1,-1,-1.0,5,2021-12-20 18:21:33,"NDBWSSKhtpU,wCJJI6M77pA,0nCT8h8gO1g,vkhMfgOT9Xs,JP3416CgU0Q",2.566275,5011100,5011000
NRA,NDBWSSKhtpU,xt8EcSyjPY8,4,2019-05-12,-1,-1,-1.0,5,2021-12-20 18:21:36,"xt8EcSyjPY8,wCJJI6M77pA,j_aDGFXNfyw,0nCT8h8gO1g,otf4BHpSeCI",2.574811,5011110,5011100
NRA,xt8EcSyjPY8,NDBWSSKhtpU,5,2019-05-12,-1,-1,-1.0,0,2021-12-20 18:21:38,,2.502833,5011111,5011110
NRA,wCJJI6M77pA,NDBWSSKhtpU,5,2019-05-19,-1,-1,-1.0,0,2021-12-20 18:21:41,,2.578986,5011112,5011110
NRA,j_aDGFXNfyw,NDBWSSKhtpU,5,2019-12-16,-1,-1,-1.0,0,2021-12-20 18:21:43,,2.66933,5011113,5011110
NRA,0nCT8h8gO1g,NDBWSSKhtpU,5,2019-08-26,-1,-1,-1.0,0,2021-12-20 18:21:46,,2.437421,5011114,5011110
NRA,otf4BHpSeCI,NDBWSSKhtpU,5,2021-12-17,943,-1,-1.0,0,2021-12-20 18:21:49,,3.229626,5011115,5011110
NRA,wCJJI6M77pA,xt8EcSyjPY8,4,2019-05-19,-1,-1,-1.0,5,2021-12-20 18:21:52,"ynGomfP-4jE,pLAi_cmly6Q,vkhMfgOT9Xs,JP3416CgU0Q,nrKxOnNaGHc",2.564163,5011120,5011100
NRA,ynGomfP-4jE,wCJJI6M77pA,5,2019-05-15,-1,-1,-1.0,0,2021-12-20 18:21:54,,2.48195,5011121,5011120
NRA,pLAi_cmly6Q,wCJJI6M77pA,5,2019-08-05,-1,-1,-1.0,0,2021-12-20 18:21:57,,2.472162,5011122,5011120
NRA,vkhMfgOT9Xs,wCJJI6M77pA,5,2019-08-12,-1,-1,-1.0,0,2021-12-20 18:21:59,,2.669796,5011123,5011120
NRA,JP3416CgU0Q,wCJJI6M77pA,5,2020-05-25,-1,-1,-1.0,0,2021-12-20 18:22:02,,2.536477,5011124,5011120
NRA,nrKxOnNaGHc,wCJJI6M77pA,5,2020-06-01,-1,-1,-1.0,0,2021-12-20 18:22:04,,2.609167,5011125,5011120
NRA,0nCT8h8gO1g,xt8EcSyjPY8,4,2019-08-26,-1,-1,-1.0,5,2021-12-20 18:22:07,"km4uCOAzrbM,f8EWj1rlayI,vkhMfgOT9Xs,RjWWTTMj0xw,icNirsV1rLA",2.462389,5011130,5011100
NRA,km4uCOAzrbM,0nCT8h8gO1g,5,2019-09-09,-1,-1,-1.0,0,2021-12-20 18:22:09,,2.546659,5011131,5011130
NRA,f8EWj1rlayI,0nCT8h8gO1g,5,2019-09-16,-1,-1,-1.0,0,2021-12-20 18:22:12,,2.446883,5011132,5011130
NRA,vkhMfgOT9Xs,0nCT8h8gO1g,5,2019-08-12,-1,-1,-1.0,0,2021-12-20 18:22:14,,2.504262,5011133,5011130
NRA,RjWWTTMj0xw,0nCT8h8gO1g,5,2019-09-10,-1,-1,-1.0,0,2021-12-20 18:22:17,,2.429919,5011134,5011130
NRA,icNirsV1rLA,0nCT8h8gO1g,5,2020-06-08,-1,-1,-1.0,0,2021-12-20 18:22:19,,2.550347,5011135,5011130
NRA,vkhMfgOT9Xs,xt8EcSyjPY8,4,2019-08-12,-1,-1,-1.0,5,2021-12-20 18:22:22,"lMcOynrekI8,0nCT8h8gO1g,pLAi_cmly6Q,1Z1KLpf_7tU,mS9CFBlLOcg",2.590338,5011140,5011100
NRA,lMcOynrekI8,vkhMfgOT9Xs,5,2019-08-22,-1,-1,-1.0,0,2021-12-20 18:22:24,,2.500091,5011141,5011140
NRA,0nCT8h8gO1g,vkhMfgOT9Xs,5,2019-08-26,-1,-1,-1.0,0,2021-12-20 18:22:27,,2.51145,5011142,5011140
NRA,pLAi_cmly6Q,vkhMfgOT9Xs,5,2019-08-05,-1,-1,-1.0,0,2021-12-20 18:22:30,,2.633315,5011143,5011140
NRA,1Z1KLpf_7tU,vkhMfgOT9Xs,5,2019-08-19,-1,-1,-1.0,0,2021-12-20 18:22:32,,2.510652,5011144,5011140
NRA,mS9CFBlLOcg,vkhMfgOT9Xs,5,2019-12-02,-1,-1,-1.0,0,2021-12-20 18:22:35,,2.525248,5011145,5011140
NRA,JP3416CgU0Q,xt8EcSyjPY8,4,2020-05-25,-1,-1,-1.0,5,2021-12-20 18:22:37,"ZnPcc6Nve6E,Owfp9-ois0M,vkhMfgOT9Xs,Wehsz38P74g,nrKxOnNaGHc",2.539696,5011150,5011100
NRA,ZnPcc6Nve6E,JP3416CgU0Q,5,2021-12-19,83,-1,-1.0,0,2021-12-20 18:22:40,,2.374177,5011151,5011150
