keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Omicron,D5snER8hcNY,,0,2021-12-22,617,-1,-1.0,5,2021-12-23 09:23:37,"_oVLngkpTSk,n068fel-W9I,cpiicTOSrZs,Wehsz38P74g,b_jFoiRCy4c",3.272985,5000000,0
Omicron,_oVLngkpTSk,D5snER8hcNY,1,2021-12-22,-1,-1,-1.0,5,2021-12-23 09:23:40,"b_jFoiRCy4c,1f6B9EaoEMk,URSERvgLDGY,ro1Wv3HyrLc,aICaAEXDJQQ",2.939764,5010000,5000000
Omicron,b_jFoiRCy4c,_oVLngkpTSk,2,2021-12-22,-1,-1,-1.0,5,2021-12-23 09:23:43,"_oVLngkpTSk,n068fel-W9I,hD4ZcqA_sNA,URSERvgLDGY,ekUROM87vTA",3.170559,5011000,5010000
Omicron,_oVLngkpTSk,b_jFoiRCy4c,3,2021-12-22,-1,-1,-1.0,5,2021-12-23 09:23:46,"b_jFoiRCy4c,Unzc731iCUY,1f6B9EaoEMk,Wehsz38P74g,hD4ZcqA_sNA",3.068617,5011100,5011000
Omicron,b_jFoiRCy4c,_oVLngkpTSk,4,2021-12-22,-1,-1,-1.0,5,2021-12-23 09:23:49,"_oVLngkpTSk,n068fel-W9I,hD4ZcqA_sNA,URSERvgLDGY,p526Y6PPlro",3.227778,5011110,5011100
Omicron,_oVLngkpTSk,b_jFoiRCy4c,5,2021-12-22,-1,-1,-1.0,0,2021-12-23 09:23:52,,3.08375,5011111,5011110
Omicron,n068fel-W9I,b_jFoiRCy4c,5,2021-01-15,-1,-1,-1.0,0,2021-12-23 09:23:55,,2.362765,5011112,5011110
Omicron,hD4ZcqA_sNA,b_jFoiRCy4c,5,2021-12-22,720,-1,-1.0,0,2021-12-23 09:23:57,,2.42884,5011113,5011110
Omicron,URSERvgLDGY,b_jFoiRCy4c,5,2018-01-19,-1,-1,-1.0,0,2021-12-23 09:24:00,,2.444981,5011114,5011110
Omicron,p526Y6PPlro,b_jFoiRCy4c,5,2021-12-22,646,-1,-1.0,0,2021-12-23 09:24:03,,3.150032,5011115,5011110
Omicron,Unzc731iCUY,_oVLngkpTSk,4,2019-12-20,-1,-1,-1.0,5,2021-12-23 09:24:05,"Cx5Z-OslNWE,vtIzMaLkCaM,lZ3bPUKo5zc,n068fel-W9I,wLn28DrSF68",2.431746,5011120,5011100
Omicron,Cx5Z-OslNWE,Unzc731iCUY,5,2019-05-16,-1,-1,-1.0,0,2021-12-23 09:24:12,,6.400358,5011121,5011120
Omicron,vtIzMaLkCaM,Unzc731iCUY,5,2014-06-26,-1,-1,-1.0,0,2021-12-23 09:24:14,,2.531503,5011122,5011120
Omicron,lZ3bPUKo5zc,Unzc731iCUY,5,2014-06-18,-1,-1,-1.0,0,2021-12-23 09:24:16,,2.351,5011123,5011120
Omicron,n068fel-W9I,Unzc731iCUY,5,2021-01-15,-1,-1,-1.0,0,2021-12-23 09:24:19,,2.320391,5011124,5011120
Omicron,wLn28DrSF68,Unzc731iCUY,5,2013-04-16,-1,-1,-1.0,0,2021-12-23 09:24:21,,2.303606,5011125,5011120
Omicron,1f6B9EaoEMk,_oVLngkpTSk,4,2021-12-22,-1,-1,-1.0,5,2021-12-23 09:24:24,"_oVLngkpTSk,LhCJjmW5lhs,b_jFoiRCy4c,n1YDCeHOCcA,aICaAEXDJQQ",2.70437,5011130,5011100
