keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Peter Thiel,GVGLR0K3rX8,,0,2021-12-14,-1,-1,-1.0,5,2021-12-24 08:46:04,"vyxqlJTPIJY,9TFM0mDnYGc,SO_00POR-Po,BQSjO5-sSOY,IXG2F0a6I28",2.611562,7000000,0
Peter Thiel,vyxqlJTPIJY,GVGLR0K3rX8,1,2021-04-05,646,-1,-1.0,5,2021-12-24 08:46:06,"xLK3_9Seok0,SJcKWtiFzIY,OB5ykS-_-CI,4cADSlk5CHU,oVOHakxXbMw",2.570749,7010000,7000000
Peter Thiel,xLK3_9Seok0,vyxqlJTPIJY,2,2013-08-23,199,-1,-1.0,5,2021-12-24 08:46:09,"vyxqlJTPIJY,8yghOc-lMIM,UZ1c1qL18JM,cUTLCDBONok,H_T-SyLRZ3k",2.690527,7011000,7010000
Peter Thiel,vyxqlJTPIJY,xLK3_9Seok0,3,2021-04-05,646,-1,-1.0,5,2021-12-24 08:46:12,"xLK3_9Seok0,SJcKWtiFzIY,oVOHakxXbMw,y1qf2MCzneU,8yghOc-lMIM",2.498292,7011100,7011000
Peter Thiel,xLK3_9Seok0,vyxqlJTPIJY,4,2013-08-23,199,-1,-1.0,5,2021-12-24 08:46:14,"vyxqlJTPIJY,8yghOc-lMIM,-1jAOJHvll0,OzzyyyrCsX8,n30zO0ABFqc",2.609557,7011110,7011100
Peter Thiel,vyxqlJTPIJY,xLK3_9Seok0,5,2021-04-05,646,-1,-1.0,0,2021-12-24 08:46:17,,2.618146,7011111,7011110
Peter Thiel,8yghOc-lMIM,xLK3_9Seok0,5,2017-03-22,-1,-1,-1.0,0,2021-12-24 08:46:19,,2.420647,7011112,7011110
Peter Thiel,-1jAOJHvll0,xLK3_9Seok0,5,2015-04-13,-1,-1,-1.0,0,2021-12-24 08:46:22,,2.446794,7011113,7011110
Peter Thiel,OzzyyyrCsX8,xLK3_9Seok0,5,2016-10-21,43,-1,-1.0,0,2021-12-24 08:46:24,,2.706033,7011114,7011110
Peter Thiel,n30zO0ABFqc,xLK3_9Seok0,5,2010-10-20,-1,-1,-1.0,0,2021-12-24 08:46:27,,2.653662,7011115,7011110
Peter Thiel,SJcKWtiFzIY,vyxqlJTPIJY,4,2021-04-07,-1,-1,-1.0,5,2021-12-24 08:46:30,"vyxqlJTPIJY,iRleB034EC8,qYSnVR7d4VE,3Fx5Q8xGU8k,yODORwGmHqo",2.826843,7011120,7011100
Peter Thiel,vyxqlJTPIJY,SJcKWtiFzIY,5,2021-04-05,646,-1,-1.0,0,2021-12-24 08:46:33,,2.575014,7011121,7011120
Peter Thiel,iRleB034EC8,SJcKWtiFzIY,5,2019-09-23,-1,-1,-1.0,0,2021-12-24 08:46:35,,2.391404,7011122,7011120
Peter Thiel,qYSnVR7d4VE,SJcKWtiFzIY,5,2019-08-02,552,-1,-1.0,0,2021-12-24 08:46:37,,2.306337,7011123,7011120
Peter Thiel,3Fx5Q8xGU8k,SJcKWtiFzIY,5,2017-03-22,-1,-1,-1.0,0,2021-12-24 08:46:40,,2.369007,7011124,7011120
Peter Thiel,yODORwGmHqo,SJcKWtiFzIY,5,2014-09-30,-1,-1,-1.0,0,2021-12-24 08:46:42,,2.651802,7011125,7011120
Peter Thiel,oVOHakxXbMw,vyxqlJTPIJY,4,2021-06-22,156,-1,-1.0,5,2021-12-24 08:46:45,"vyxqlJTPIJY,i_yJTCDU4uE,28hP6oD142M,qYSnVR7d4VE,SJcKWtiFzIY",2.279719,7011130,7011100
Peter Thiel,vyxqlJTPIJY,oVOHakxXbMw,5,2021-04-05,646,-1,-1.0,0,2021-12-24 08:46:47,,2.480475,7011131,7011130
Peter Thiel,i_yJTCDU4uE,oVOHakxXbMw,5,2015-04-02,909,-1,-1.0,0,2021-12-24 08:46:49,,2.33151,7011132,7011130
Peter Thiel,28hP6oD142M,oVOHakxXbMw,5,2017-08-09,129,-1,-1.0,0,2021-12-24 08:46:52,,2.374915,7011133,7011130
Peter Thiel,qYSnVR7d4VE,oVOHakxXbMw,5,2019-08-02,552,-1,-1.0,0,2021-12-24 08:46:54,,2.247562,7011134,7011130
Peter Thiel,SJcKWtiFzIY,oVOHakxXbMw,5,2021-04-07,-1,-1,-1.0,0,2021-12-24 08:46:57,,3.304791,7011135,7011130
Peter Thiel,y1qf2MCzneU,vyxqlJTPIJY,4,2021-10-28,-1,-1,-1.0,5,2021-12-24 08:47:00,"SO_00POR-Po,fDB1CsfUjys,Hbj1ccrsNfE,SJcKWtiFzIY,nM9f0W2KD5s",2.419888,7011140,7011100
Peter Thiel,SO_00POR-Po,y1qf2MCzneU,5,2020-02-26,-1,-1,-1.0,0,2021-12-24 08:47:04,,4.461892,7011141,7011140
Peter Thiel,fDB1CsfUjys,y1qf2MCzneU,5,2021-10-29,167,-1,-1.0,0,2021-12-24 08:47:07,,2.625974,7011142,7011140
Peter Thiel,Hbj1ccrsNfE,y1qf2MCzneU,5,2021-12-23,-1,-1,-1.0,0,2021-12-24 08:47:12,,4.849808,7011143,7011140
Peter Thiel,SJcKWtiFzIY,y1qf2MCzneU,5,2021-04-07,-1,-1,-1.0,0,2021-12-24 08:47:15,,2.876739,7011144,7011140
Peter Thiel,nM9f0W2KD5s,y1qf2MCzneU,5,2019-07-19,-1,-1,-1.0,0,2021-12-24 08:47:17,,2.619648,7011145,7011140
Peter Thiel,8yghOc-lMIM,vyxqlJTPIJY,4,2017-03-22,-1,-1,-1.0,5,2021-12-24 08:47:20,"_dFK2Wxd2FI,Iy7wFgOXinE,_gPoXwD_Jj8,LeWZ8hw7Yr0,IKI6M2UiCGk",2.506301,7011150,7011100
Peter Thiel,_dFK2Wxd2FI,8yghOc-lMIM,5,2018-03-08,-1,-1,-1.0,0,2021-12-24 08:47:22,,2.315773,7011151,7011150
Peter Thiel,Iy7wFgOXinE,8yghOc-lMIM,5,2016-11-02,-1,-1,-1.0,0,2021-12-24 08:47:25,,2.467786,7011152,7011150
Peter Thiel,_gPoXwD_Jj8,8yghOc-lMIM,5,2018-05-15,-1,-1,-1.0,0,2021-12-24 08:47:27,,2.239541,7011153,7011150
Peter Thiel,LeWZ8hw7Yr0,8yghOc-lMIM,5,2018-10-11,769,-1,-1.0,0,2021-12-24 08:47:29,,2.619381,7011154,7011150
Peter Thiel,IKI6M2UiCGk,8yghOc-lMIM,5,2017-08-02,-1,-1,-1.0,0,2021-12-24 08:47:32,,2.576648,7011155,7011150
Peter Thiel,8yghOc-lMIM,xLK3_9Seok0,3,2017-03-22,-1,-1,-1.0,5,2021-12-24 08:47:35,"_dFK2Wxd2FI,RO3izbn201s,LeWZ8hw7Yr0,_gPoXwD_Jj8,LkjKiWIhhR0",2.650009,7011200,7011000
Peter Thiel,_dFK2Wxd2FI,8yghOc-lMIM,4,2018-03-08,-1,-1,-1.0,5,2021-12-24 08:47:37,"-6DLT9MHO4M,DXyU0LOqKPM,fYYMKvmfDSM,3G1EyvRZmOs,M8ayDH5DuJA",2.285007,7011210,7011200
Peter Thiel,-6DLT9MHO4M,_dFK2Wxd2FI,5,2011-04-02,-1,-1,-1.0,0,2021-12-24 08:47:39,,2.352166,7011211,7011210
Peter Thiel,DXyU0LOqKPM,_dFK2Wxd2FI,5,2018-12-11,-1,-1,-1.0,0,2021-12-24 08:47:42,,2.450445,7011212,7011210
Peter Thiel,fYYMKvmfDSM,_dFK2Wxd2FI,5,2019-07-16,-1,-1,-1.0,0,2021-12-24 08:47:44,,2.542644,7011213,7011210
Peter Thiel,3G1EyvRZmOs,_dFK2Wxd2FI,5,2012-09-19,-1,-1,-1.0,0,2021-12-24 08:47:47,,2.337708,7011214,7011210
Peter Thiel,M8ayDH5DuJA,_dFK2Wxd2FI,5,2018-04-14,972,-1,-1.0,0,2021-12-24 08:47:49,,2.496245,7011215,7011210
Peter Thiel,RO3izbn201s,8yghOc-lMIM,4,2021-03-16,-1,-1,-1.0,5,2021-12-24 08:47:52,"_dFK2Wxd2FI,3G1EyvRZmOs,XepCi0I_g6I,wlJEGJvI1UA,lcAdFKsdweU",2.550146,7011220,7011200
Peter Thiel,_dFK2Wxd2FI,RO3izbn201s,5,2018-03-08,-1,-1,-1.0,0,2021-12-24 08:47:54,,2.267907,7011221,7011220
