keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Pfizer,Z_LhPMhkEdw,,0,2021-12-18,-1,-1,-1.0,5,2021-12-20 05:33:00,"rfKiTGj-zeQ,Vrz8YDl9CeA,krB0enBeSiE,xAfdSak2fs8,25yVJNVRJWA",2.617824,4000000,0
Pfizer,rfKiTGj-zeQ,Z_LhPMhkEdw,1,2020-03-25,-1,-1,-1.0,5,2021-12-20 05:33:08,"pywF6ZzsghI,P-2P3MSZrBM,0Zc4-jejgKU,MnT1xgZgkpk,G433fa01oMU",7.775312,4010000,4000000
Pfizer,pywF6ZzsghI,rfKiTGj-zeQ,2,2014-09-22,-1,-1,-1.0,5,2021-12-20 05:33:11,"zihTWh5i2C4,MnT1xgZgkpk,jupxhH9mE-g,rHKwIYsPXLg,1MqukDzhlqA",2.473097,4011000,4010000
Pfizer,zihTWh5i2C4,pywF6ZzsghI,3,2012-11-19,-1,-1,-1.0,5,2021-12-20 05:33:13,"rHKwIYsPXLg,1DW6thQ-bZw,Unzc731iCUY,IlU-zDU6aQ0,SaOfLtoaKqw",2.555721,4011100,4011000
Pfizer,rHKwIYsPXLg,zihTWh5i2C4,4,2015-12-03,-1,-1,-1.0,5,2021-12-20 05:33:16,"b6o_7HeowY8,pywF6ZzsghI,yCii726A4Jc,B8J4uefCQMc,xRel1JKOEbI",2.427156,4011110,4011100
Pfizer,b6o_7HeowY8,rHKwIYsPXLg,5,2016-10-25,457,-1,-1.0,0,2021-12-20 05:33:18,,2.703379,4011111,4011110
Pfizer,pywF6ZzsghI,rHKwIYsPXLg,5,2014-09-22,-1,-1,-1.0,0,2021-12-20 05:33:21,,2.347363,4011112,4011110
Pfizer,yCii726A4Jc,rHKwIYsPXLg,5,2012-07-10,745,-1,-1.0,0,2021-12-20 05:33:23,,2.50901,4011113,4011110
Pfizer,B8J4uefCQMc,rHKwIYsPXLg,5,2015-11-27,-1,-1,-1.0,0,2021-12-20 05:33:26,,2.628572,4011114,4011110
Pfizer,xRel1JKOEbI,rHKwIYsPXLg,5,2017-02-01,-1,-1,-1.0,0,2021-12-20 05:33:29,,2.777658,4011115,4011110
Pfizer,1DW6thQ-bZw,zihTWh5i2C4,4,2018-11-06,-1,-1,-1.0,5,2021-12-20 05:33:31,"zqDZfFgzZ40,aUHjKtBdJXA,SaOfLtoaKqw,zihTWh5i2C4,aICaAEXDJQQ",2.529356,4011120,4011100
Pfizer,zqDZfFgzZ40,1DW6thQ-bZw,5,2018-06-20,475,-1,-1.0,0,2021-12-20 05:33:36,,5.043066,4011121,4011120
Pfizer,aUHjKtBdJXA,1DW6thQ-bZw,5,2018-10-30,349,-1,-1.0,0,2021-12-20 05:33:43,,6.46778,4011122,4011120
Pfizer,SaOfLtoaKqw,1DW6thQ-bZw,5,2017-12-05,-1,-1,-1.0,0,2021-12-20 05:33:48,,5.035685,4011123,4011120
Pfizer,zihTWh5i2C4,1DW6thQ-bZw,5,2012-11-19,-1,-1,-1.0,0,2021-12-20 05:33:50,,2.393494,4011124,4011120
