keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Ted Cruz,BXgQZXQnfhA,,0,2021-12-10,-1,-1,-1.0,5,2021-12-15 08:29:05,"L8SS7LCsAZQ,-6DLT9MHO4M,n068fel-W9I,jNhb-bATxj4,XpDB5GmeEjw",2.551431,6000000,0
Ted Cruz,L8SS7LCsAZQ,BXgQZXQnfhA,1,2021-12-14,441,-1,-1.0,5,2021-12-15 08:29:07,"8fD5hrH8zmc,-unSep89pyk,L_bDFX7IVss,QEgalcH_-b4,-6DLT9MHO4M",2.596558,6010000,6000000
Ted Cruz,8fD5hrH8zmc,L8SS7LCsAZQ,2,2021-12-14,-1,-1,-1.0,5,2021-12-15 08:29:11,"L8SS7LCsAZQ,-unSep89pyk,36qkFJtfECI,EseFbug7cMg,mA666ccpWC4",3.539795,6011000,6010000
Ted Cruz,L8SS7LCsAZQ,8fD5hrH8zmc,3,2021-12-14,441,-1,-1.0,5,2021-12-15 08:29:13,"8fD5hrH8zmc,-unSep89pyk,L_bDFX7IVss,QEgalcH_-b4,-1jAOJHvll0",2.553358,6011100,6011000
Ted Cruz,8fD5hrH8zmc,L8SS7LCsAZQ,4,2021-12-14,-1,-1,-1.0,5,2021-12-15 08:29:16,"L8SS7LCsAZQ,-unSep89pyk,L_bDFX7IVss,mA666ccpWC4,ve4JZRGkrHU",2.577646,6011110,6011100
Ted Cruz,L8SS7LCsAZQ,8fD5hrH8zmc,5,2021-12-14,441,-1,-1.0,0,2021-12-15 08:29:19,,2.593471,6011111,6011110
Ted Cruz,-unSep89pyk,8fD5hrH8zmc,5,2021-12-14,-1,-1,-1.0,0,2021-12-15 08:29:27,,8.105972,6011112,6011110
Ted Cruz,L_bDFX7IVss,8fD5hrH8zmc,5,2021-12-14,-1,-1,-1.0,0,2021-12-15 08:29:29,,2.542068,6011113,6011110
Ted Cruz,mA666ccpWC4,8fD5hrH8zmc,5,2021-12-14,-1,-1,-1.0,0,2021-12-15 08:29:32,,2.759358,6011114,6011110
Ted Cruz,ve4JZRGkrHU,8fD5hrH8zmc,5,2021-04-15,-1,-1,-1.0,0,2021-12-15 08:29:35,,2.683335,6011115,6011110
Ted Cruz,-unSep89pyk,L8SS7LCsAZQ,4,2021-12-14,-1,-1,-1.0,5,2021-12-15 08:29:37,"L8SS7LCsAZQ,L_bDFX7IVss,o20IK34hnrc,nxKapSmmRXM,IxaqCK2btyk",2.4591,6011120,6011100
Ted Cruz,L8SS7LCsAZQ,-unSep89pyk,5,2021-12-14,441,-1,-1.0,0,2021-12-15 08:29:42,,4.646142,6011121,6011120
Ted Cruz,L_bDFX7IVss,-unSep89pyk,5,2021-12-14,-1,-1,-1.0,0,2021-12-15 08:29:45,,2.602782,6011122,6011120
Ted Cruz,o20IK34hnrc,-unSep89pyk,5,2021-12-14,-1,-1,-1.0,0,2021-12-15 08:29:48,,3.071112,6011123,6011120
