keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
Texas,ThyuY-gE7Og,,0,Matthew McConaughey talks about weighing run for Texas governor - YouTube,1920,1080,212,2021-03-16,UCH1oRy1dINbMVp3UFWrKP0w,597,24,19310,4.8454108,5,2021-03-17 18:35:45,"Ocz-mV7zYdo,xLbW49OcmJg,LnJwH_PZXnM,e3FfL46OzYI,PmLx1WcIS1I",2.881877
Texas,Ocz-mV7zYdo,ThyuY-gE7Og,1,Lady Gaga’s mom fighting ‘epidemic of hopelessness’ - YouTube,1920,1080,349,2021-03-16,UCH1oRy1dINbMVp3UFWrKP0w,73,14,3309,4.3563218,5,2021-03-17 18:35:48,"ThyuY-gE7Og,LoE7b7K-DZs,XMGxxRRtmHc,LnJwH_PZXnM,f8iNYY7YV04",3.003669
Texas,ThyuY-gE7Og,Ocz-mV7zYdo,2,Matthew McConaughey talks about weighing run for Texas governor - YouTube,1920,1080,212,2021-03-16,UCH1oRy1dINbMVp3UFWrKP0w,597,24,19310,4.8454108,5,2021-03-17 18:35:51,"Ocz-mV7zYdo,uScXCMnpAbg,AoFj5WHBMzs,LnJwH_PZXnM,Rv7u-bOpeW4",2.359844
Texas,Ocz-mV7zYdo,ThyuY-gE7Og,3,Lady Gaga’s mom fighting ‘epidemic of hopelessness’ - YouTube,1920,1080,349,2021-03-16,UCH1oRy1dINbMVp3UFWrKP0w,73,14,3309,4.3563218,5,2021-03-17 18:35:54,"ThyuY-gE7Og,szMPrnFYyeA,gKUyX7cjum4,LnJwH_PZXnM,LALR0ovhVks",2.902546
Texas,ThyuY-gE7Og,Ocz-mV7zYdo,4,Matthew McConaughey talks about weighing run for Texas governor - YouTube,1920,1080,212,2021-03-16,UCH1oRy1dINbMVp3UFWrKP0w,597,24,19310,4.8454108,5,2021-03-17 18:35:56,"Ocz-mV7zYdo,uScXCMnpAbg,AoFj5WHBMzs,xLbW49OcmJg,kLUFit8815c",2.814622
Texas,Ocz-mV7zYdo,ThyuY-gE7Og,5,Lady Gaga’s mom fighting ‘epidemic of hopelessness’ - YouTube,1920,1080,349,2021-03-16,UCH1oRy1dINbMVp3UFWrKP0w,73,14,3309,4.3563218,0,2021-03-17 18:35:59,,2.445429
Texas,uScXCMnpAbg,ThyuY-gE7Og,5,"Matthew McConaughey on ""We're Texas"" benefit concert, potential Texas governor run and COVID-19 - YouTube",1920,1080,465,2021-03-17,UC-SJ6nODDmufqBzPBwCvYvQ,74,8,2763,4.609756,0,2021-03-17 18:36:02,,2.746722
Texas,AoFj5WHBMzs,ThyuY-gE7Og,5,Matthew McConaughey Tells Al About How He’s Helping Texans In Need | TODAY - YouTube,1920,1080,333,2021-03-12,UChDKyKQ59fYz3JO2fl0Z6sg,-1,104,165679,4.8855886,0,2021-03-17 18:36:05,,2.89112
Texas,xLbW49OcmJg,ThyuY-gE7Og,5,Matthew McConaughey: How Wife Camila Alves Won Over My Mom - YouTube,1920,1080,1174,2020-10-30,UCiKGMZZmZXK-RpbKJGXgH3Q,-1,63,233401,4.9150085,0,2021-03-17 18:36:07,,2.482347
Texas,kLUFit8815c,ThyuY-gE7Og,5,Funniest joke you’ve ever heard about being late. Andy Woodhull - Full Special - YouTube,1920,1080,2260,2019-11-28,UCvlVuntLjdURVD3b3Hx7kxw,-1,-1,8057326,4.8568645,0,2021-03-17 18:38:21,,133.749172
Texas,szMPrnFYyeA,Ocz-mV7zYdo,4,Lady Gaga’s Mom Shares Secrets of Lady Gaga’s Childhood | Through Moms Eyes | TODAY - YouTube,1920,1080,586,2020-01-26,UChDKyKQ59fYz3JO2fl0Z6sg,887,25,143523,4.8903508,5,2021-03-17 18:38:24,"f8iNYY7YV04,_S8NzgYT890,14KX7xOJsqE,dFW3lJk6oLs,Z_kBzlV7ESU",2.649515
Texas,f8iNYY7YV04,szMPrnFYyeA,5,Oprah's 2020 Vision Tour Visionaries: Lady Gaga Interview - YouTube,480,360,3362,2020-01-08,UC7AWNWptGGpybSgZbV34yBw,-1,-1,2263996,4.8342619,0,2021-03-17 18:38:26,,2.055407
Texas,_S8NzgYT890,szMPrnFYyeA,5,Lady Gaga: 'Joanne' Full Interview | Apple Music - YouTube,1920,1080,2408,2017-09-26,UCBv7HEHuVlNAELGi5XJd85Q,-1,102,265627,4.9349284,0,2021-03-17 18:38:28,,2.202366
Texas,14KX7xOJsqE,szMPrnFYyeA,5,Lady Gaga's Emotional Speech on Surviving Sexual Assault and Mental Health | ELLE - YouTube,1920,1080,1459,2018-10-17,UCV8Do0nwSrYP7lwPBS4LWpw,-1,933,1769102,4.9477024,0,2021-03-17 18:38:30,,2.4041
Texas,dFW3lJk6oLs,szMPrnFYyeA,5,Lady Gaga's Mom Talks About Her Daughter | Oprah's Next Chapter | Oprah Winfrey Network - YouTube,480,360,293,2012-03-19,UCKBnlTTgEnhIXv_c4LvvyMQ,-1,287,1063859,4.879107,0,2021-03-17 18:38:33,,2.472299
Texas,Z_kBzlV7ESU,szMPrnFYyeA,5,"Watch: TODAY All Day | The Best Of TODAY News, Interviews And Lifestyle Tips - YouTube",1280,720,0,2021-03-16,UChDKyKQ59fYz3JO2fl0Z6sg,214,53,10191,4.2059927,0,2021-03-17 18:38:36,,3.065847
Texas,gKUyX7cjum4,Ocz-mV7zYdo,4,"Inside ""Hamilton"" Star Daveed Diggs & Emmy Raver-Lampman's L.A. Home | Open Door - YouTube",1920,1080,769,2021-03-11,UC0k238zFx-Z8xFH0sxCrPJg,-1,358,1562368,4.983068,5,2021-03-17 18:38:39,"-TeeIEh2IE8,ua0-5FZ2Eww,m_UGLf9mUg8,P2V0qhiof_M,RNjlfo_8u4s",2.58298
Texas,-TeeIEh2IE8,gKUyX7cjum4,5,Inside Serena Williams' New Home With A Trophy Room & Art Gallery | Open Door | Architectural Digest - YouTube,-1,-1,513,2021-02-04,,-1,-1,-1,-1.0,0,2021-03-17 18:38:43,,4.806331
Texas,ua0-5FZ2Eww,gKUyX7cjum4,5,Inside Binging With Babish’s New Brooklyn Home & Studio | Open Door | Architectural Digest - YouTube,1920,1080,959,2020-12-23,UC0k238zFx-Z8xFH0sxCrPJg,-1,-1,2640780,4.941535,0,2021-03-17 18:38:46,,3.070734
Texas,m_UGLf9mUg8,gKUyX7cjum4,5,73 Questions With Dan Levy | Vogue - YouTube,1920,1080,885,2019-11-26,UCRXiA3h1no_PFkb1JCP0yMA,-1,843,6860880,4.9570608,0,2021-03-17 18:38:49,,2.058776
Texas,P2V0qhiof_M,gKUyX7cjum4,5,Inside Robert Downey Jr.’s Windmill Home in the Hamptons | Open Door | Architectural Digest - YouTube,1920,1080,299,2017-10-30,UC0k238zFx-Z8xFH0sxCrPJg,-1,-1,22148051,4.9424834,0,2021-03-17 18:38:51,,2.851241
Texas,RNjlfo_8u4s,gKUyX7cjum4,5,Inside Rainn Wilson’s Home Office & Pig Farm | Open Door | Architectural Digest - YouTube,1920,1080,769,2020-10-01,UC0k238zFx-Z8xFH0sxCrPJg,-1,467,1815471,4.9565258,0,2021-03-17 18:38:54,,2.438602
Texas,LnJwH_PZXnM,Ocz-mV7zYdo,4,How not to take things personally? | Frederik Imbo | TEDxMechelen - YouTube,1920,1080,1057,2020-03-04,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,5736614,4.9333544,5,2021-03-17 18:38:57,"CqgmozFr_GM,iDbdXTMnOmE,kARkOdRHaj8,Hu4Yvq-g7_Y,4-079YIasck",2.534088
Texas,CqgmozFr_GM,LnJwH_PZXnM,5,How to stay calm under pressure - Noa Kageyama and Pen-Pen Chen - YouTube,1920,1080,269,2018-05-21,UCsooa4yRKGN_zEE8iknghZA,-1,-1,3546697,4.9510131,0,2021-03-17 18:38:59,,2.556128
Texas,iDbdXTMnOmE,LnJwH_PZXnM,5,How to manage your time more effectively (according to machines) - Brian Christian - YouTube,1920,1080,310,2018-01-02,UCsooa4yRKGN_zEE8iknghZA,-1,-1,3779827,4.9258113,0,2021-03-17 18:39:03,,4.067953
Texas,kARkOdRHaj8,LnJwH_PZXnM,5,How to Deal with Difficult People | Jay Johnson | TEDxLivoniaCCLibrary - YouTube,1920,1080,907,2018-10-18,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,2382856,4.8338375,0,2021-03-17 18:39:06,,2.608963
Texas,Hu4Yvq-g7_Y,LnJwH_PZXnM,5,How to Get Your Brain to Focus | Chris Bailey | TEDxManchester - YouTube,1920,1080,957,2019-04-05,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,8351826,4.9217553,0,2021-03-17 18:39:08,,2.386295
Texas,4-079YIasck,LnJwH_PZXnM,5,Master Shi Heng Yi – 5 hindrances to self-mastery | Shi Heng YI | TEDxVitosha - YouTube,1920,1080,1117,2020-02-13,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,8367626,4.9261103,0,2021-03-17 18:39:11,,2.421881
Texas,LALR0ovhVks,Ocz-mV7zYdo,4,At Home With Kim Kardashian - The End of An Era | Good Morning Vogue - YouTube,1920,1080,1069,2021-03-15,UCRXiA3h1no_PFkb1JCP0yMA,-1,-1,1973754,4.8659196,1,2021-03-17 18:39:16,Bk0G1f4DpCM,5.269148
Texas,Bk0G1f4DpCM,LALR0ovhVks,5,Kim Kardashian West Gets Fitted for Her Waist-Snatching Met Gala Look | Vogue - YouTube,1920,1080,431,2019-05-07,UCRXiA3h1no_PFkb1JCP0yMA,-1,-1,32170625,4.7330532,0,2021-03-17 18:39:19,,2.831995
Texas,uScXCMnpAbg,ThyuY-gE7Og,3,"Matthew McConaughey on ""We're Texas"" benefit concert, potential Texas governor run and COVID-19 - YouTube",1920,1080,465,2021-03-17,UC-SJ6nODDmufqBzPBwCvYvQ,75,8,2809,4.6144576,5,2021-03-17 18:39:22,"AoFj5WHBMzs,lI28Ui6W3IE,oizhVJstxC4,LnJwH_PZXnM,sXnKDMSBZOg",2.526958
Texas,AoFj5WHBMzs,uScXCMnpAbg,4,Matthew McConaughey Tells Al About How He’s Helping Texans In Need | TODAY - YouTube,1920,1080,333,2021-03-12,UChDKyKQ59fYz3JO2fl0Z6sg,-1,104,165775,4.8856201,5,2021-03-17 18:39:25,"Mo10ip4BdvI,EMY59csSQ0o,_yni2fy-AnQ,xLbW49OcmJg,wD2cVhC-63I",2.954177
Texas,Mo10ip4BdvI,AoFj5WHBMzs,5,President Biden Tells Migrants: ‘Don’t Come’ To Border | TODAY - YouTube,1920,1080,197,2021-03-17,UChDKyKQ59fYz3JO2fl0Z6sg,125,164,5018,2.7301037,0,2021-03-17 18:39:28,,2.967865
Texas,EMY59csSQ0o,AoFj5WHBMzs,5,Harry Styles’ ‘Clueless’-Style Grammys Outfit Gets Thumbs Up From Alicia Silverstone | TODAY - YouTube,1920,1080,66,2021-03-17,UChDKyKQ59fYz3JO2fl0Z6sg,12,5,165,3.8235295,0,2021-03-17 18:39:30,,2.850436
Texas,_yni2fy-AnQ,AoFj5WHBMzs,5,Matthew McConaughey & Snoop Dogg on Getting High and Working Together - YouTube,1920,1080,652,2019-03-28,UCa6vGFO9ty8v5KZJXQxdhaw,-1,-1,10844741,4.9092731,0,2021-03-17 18:39:33,,2.522386
Texas,xLbW49OcmJg,AoFj5WHBMzs,5,Matthew McConaughey: How Wife Camila Alves Won Over My Mom - YouTube,1920,1080,1174,2020-10-30,UCiKGMZZmZXK-RpbKJGXgH3Q,-1,63,233401,4.9150085,0,2021-03-17 18:39:36,,2.910055
Texas,wD2cVhC-63I,AoFj5WHBMzs,5,Matthew McConaughey winning Best Actor - YouTube,1920,1080,271,2014-03-11,UCb-vZWBeWA5Q2818JmmJiqQ,-1,-1,23035378,4.9367638,0,2021-03-17 18:39:38,,2.039714
Texas,lI28Ui6W3IE,uScXCMnpAbg,4,New Netflix documentary looks at the college admissions scandal - YouTube,1920,1080,248,2021-03-17,UC-SJ6nODDmufqBzPBwCvYvQ,51,3,3286,4.7777777,5,2021-03-17 18:39:40,"4heY9nRVYdA,lF3mnuxjPCw,sG9rX6Ifzhw,lebakOul8kI,dzejHGniMTQ",2.310986
Texas,4heY9nRVYdA,lI28Ui6W3IE,5,"NBC Nightly News Broadcast (Full) - March 16th, 2021 | NBC Nightly News - YouTube",1920,1080,1236,2021-03-16,UCeY0bbntWzzVIaj2z3QigXg,-1,392,476157,4.7118177,0,2021-03-17 18:39:43,,3.073805
Texas,lF3mnuxjPCw,lI28Ui6W3IE,5,The Year Bali Tourism Stopped | Foreign Correspondent - YouTube,1280,720,1686,2021-03-09,UCxcrzzhQDj5zKJbXfIscCtg,-1,935,2084360,4.8047814,0,2021-03-17 18:39:46,,2.447337
Texas,sG9rX6Ifzhw,lI28Ui6W3IE,5,Piers and Alex Clash Over Prince Harry and Meghan’s Accusations of Racism | Good Morning Britain - YouTube,1920,1080,845,2021-03-09,UCq18eeL7D9Vd8DhjMcLh9QQ,-1,-1,10058023,4.384685,0,2021-03-17 18:39:50,,4.283145
Texas,lebakOul8kI,lI28Ui6W3IE,5,"Cardi & Megan Give ""WAP"" New Meaning And Harry's Banana Turns Heads At The GRAMMYs - YouTube",1920,1080,735,2021-03-15,UCMtFAi84ehTSYSE9XoHefig,-1,764,1319718,4.870935,0,2021-03-17 18:39:53,,2.858016
