keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Welfare State,Jv3hMfTTCfY,,0,2014-11-14,-1,-1,-1.0,5,2021-12-21 17:19:39,"OvJ8YDma7Wk,s_9Kix4tFzk,n0zkOFzkpeY,G_g-QDKsXk0,M2hpy0Jcqkw",2.352389,9000000,0
Welfare State,OvJ8YDma7Wk,Jv3hMfTTCfY,1,2012-07-23,-1,-1,-1.0,5,2021-12-21 17:19:42,"s_9Kix4tFzk,Jv3hMfTTCfY,Wehsz38P74g,-EvvPZFdjyk,arj7oStGLkU",2.476698,9010000,9000000
Welfare State,s_9Kix4tFzk,OvJ8YDma7Wk,2,2014-11-14,-1,-1,-1.0,5,2021-12-21 17:19:44,"Jv3hMfTTCfY,OvJ8YDma7Wk,PnHbR8joYkM,B3u4EFTwprM,-EvvPZFdjyk",2.355236,9011000,9010000
Welfare State,Jv3hMfTTCfY,s_9Kix4tFzk,3,2014-11-14,-1,-1,-1.0,5,2021-12-21 17:19:46,"OvJ8YDma7Wk,s_9Kix4tFzk,n0zkOFzkpeY,G_g-QDKsXk0,M2hpy0Jcqkw",2.368648,9011100,9011000
Welfare State,OvJ8YDma7Wk,Jv3hMfTTCfY,4,2012-07-23,-1,-1,-1.0,5,2021-12-21 17:19:49,"s_9Kix4tFzk,Jv3hMfTTCfY,Wehsz38P74g,-EvvPZFdjyk,B3u4EFTwprM",2.502271,9011110,9011100
Welfare State,s_9Kix4tFzk,OvJ8YDma7Wk,5,2014-11-14,-1,-1,-1.0,0,2021-12-21 17:19:51,,2.411538,9011111,9011110
Welfare State,Jv3hMfTTCfY,OvJ8YDma7Wk,5,2014-11-14,-1,-1,-1.0,0,2021-12-21 17:19:54,,2.504793,9011112,9011110
Welfare State,Wehsz38P74g,OvJ8YDma7Wk,5,2021-12-15,-1,-1,-1.0,0,2021-12-21 17:19:57,,2.998187,9011113,9011110
Welfare State,-EvvPZFdjyk,OvJ8YDma7Wk,5,2017-08-13,-1,-1,-1.0,0,2021-12-21 17:20:00,,2.714091,9011114,9011110
Welfare State,B3u4EFTwprM,OvJ8YDma7Wk,5,2012-09-06,-1,-1,-1.0,0,2021-12-21 17:20:02,,2.695713,9011115,9011110
Welfare State,s_9Kix4tFzk,Jv3hMfTTCfY,4,2014-11-14,-1,-1,-1.0,5,2021-12-21 17:20:05,"Jv3hMfTTCfY,OvJ8YDma7Wk,PnHbR8joYkM,YJQSuUZdcV4,-EvvPZFdjyk",2.311234,9011120,9011100
Welfare State,Jv3hMfTTCfY,s_9Kix4tFzk,5,2014-11-14,-1,-1,-1.0,0,2021-12-21 17:20:07,,2.306005,9011121,9011120
Welfare State,OvJ8YDma7Wk,s_9Kix4tFzk,5,2012-07-23,-1,-1,-1.0,0,2021-12-21 17:20:09,,2.361761,9011122,9011120
Welfare State,PnHbR8joYkM,s_9Kix4tFzk,5,2020-08-22,738,-1,-1.0,0,2021-12-21 17:20:12,,2.270901,9011123,9011120
Welfare State,YJQSuUZdcV4,s_9Kix4tFzk,5,2019-11-14,-1,-1,-1.0,0,2021-12-21 17:20:14,,2.857349,9011124,9011120
Welfare State,-EvvPZFdjyk,s_9Kix4tFzk,5,2017-08-13,-1,-1,-1.0,0,2021-12-21 17:20:17,,2.65655,9011125,9011120
Welfare State,n0zkOFzkpeY,Jv3hMfTTCfY,4,2014-11-12,285,-1,-1.0,5,2021-12-21 17:20:19,"xZBcIwT31NM,1KCHl-GO01o,VUqlANApPgQ,M2hpy0Jcqkw,ST7IxbNjrJQ",2.304588,9011130,9011100
Welfare State,xZBcIwT31NM,n0zkOFzkpeY,5,2019-02-12,112,-1,-1.0,0,2021-12-21 17:20:22,,2.614386,9011131,9011130
Welfare State,1KCHl-GO01o,n0zkOFzkpeY,5,2016-03-21,-1,-1,-1.0,0,2021-12-21 17:20:24,,2.298157,9011132,9011130
Welfare State,VUqlANApPgQ,n0zkOFzkpeY,5,2015-11-05,256,-1,-1.0,0,2021-12-21 17:20:27,,2.408022,9011133,9011130
Welfare State,M2hpy0Jcqkw,n0zkOFzkpeY,5,2015-08-11,240,-1,-1.0,0,2021-12-21 17:20:29,,2.677634,9011134,9011130
Welfare State,ST7IxbNjrJQ,n0zkOFzkpeY,5,2011-01-10,15,-1,-1.0,0,2021-12-21 17:20:32,,2.286888,9011135,9011130
Welfare State,G_g-QDKsXk0,Jv3hMfTTCfY,4,2015-01-05,-1,-1,-1.0,5,2021-12-21 17:20:35,"n0zkOFzkpeY,Jv3hMfTTCfY,7HcIlfkZ-4I,FHwpJT-Tsgs,Unzc731iCUY",2.74086,9011140,9011100
Welfare State,n0zkOFzkpeY,G_g-QDKsXk0,5,2014-11-12,285,-1,-1.0,0,2021-12-21 17:20:37,,2.445922,9011141,9011140
Welfare State,Jv3hMfTTCfY,G_g-QDKsXk0,5,2014-11-14,-1,-1,-1.0,0,2021-12-21 17:20:39,,2.501041,9011142,9011140
Welfare State,7HcIlfkZ-4I,G_g-QDKsXk0,5,2015-01-05,-1,-1,-1.0,0,2021-12-21 17:20:42,,2.756588,9011143,9011140
Welfare State,FHwpJT-Tsgs,G_g-QDKsXk0,5,2018-02-09,67,-1,-1.0,0,2021-12-21 17:20:45,,2.316509,9011144,9011140
Welfare State,Unzc731iCUY,G_g-QDKsXk0,5,2019-12-20,-1,-1,-1.0,0,2021-12-21 17:20:47,,2.462955,9011145,9011140
Welfare State,M2hpy0Jcqkw,Jv3hMfTTCfY,4,2015-08-11,240,-1,-1.0,5,2021-12-21 17:20:52,"EoYCCtBmqpg,6oEqATh3_DQ,3WsnXDIck3A,0eEjXbYTAls,PC3qooaF5Xs",5.268891,9011150,9011100
Welfare State,EoYCCtBmqpg,M2hpy0Jcqkw,5,2014-11-12,99,-1,-1.0,0,2021-12-21 17:20:55,,2.795877,9011151,9011150
Welfare State,6oEqATh3_DQ,M2hpy0Jcqkw,5,2015-08-06,178,-1,-1.0,0,2021-12-21 17:20:58,,2.566839,9011152,9011150
Welfare State,3WsnXDIck3A,M2hpy0Jcqkw,5,2014-07-25,202,-1,-1.0,0,2021-12-21 17:21:00,,2.553487,9011153,9011150
Welfare State,0eEjXbYTAls,M2hpy0Jcqkw,5,2015-08-12,224,-1,-1.0,0,2021-12-21 17:21:03,,2.510192,9011154,9011150
Welfare State,PC3qooaF5Xs,M2hpy0Jcqkw,5,2020-07-16,623,-1,-1.0,0,2021-12-21 17:21:05,,2.33718,9011155,9011150
Welfare State,OvJ8YDma7Wk,s_9Kix4tFzk,3,2012-07-23,-1,-1,-1.0,5,2021-12-21 17:21:07,"s_9Kix4tFzk,Jv3hMfTTCfY,Wehsz38P74g,-EvvPZFdjyk,B3u4EFTwprM",2.368814,9011200,9011000
Welfare State,s_9Kix4tFzk,OvJ8YDma7Wk,4,2014-11-14,-1,-1,-1.0,5,2021-12-21 17:21:10,"Jv3hMfTTCfY,OvJ8YDma7Wk,arj7oStGLkU,-EvvPZFdjyk,Wehsz38P74g",2.40087,9011210,9011200
Welfare State,Jv3hMfTTCfY,s_9Kix4tFzk,5,2014-11-14,-1,-1,-1.0,0,2021-12-21 17:21:12,,2.338685,9011211,9011210
Welfare State,OvJ8YDma7Wk,s_9Kix4tFzk,5,2012-07-23,-1,-1,-1.0,0,2021-12-21 17:21:15,,2.377578,9011212,9011210
Welfare State,arj7oStGLkU,s_9Kix4tFzk,5,2016-04-06,-1,-1,-1.0,0,2021-12-21 17:21:18,,3.079717,9011213,9011210
Welfare State,-EvvPZFdjyk,s_9Kix4tFzk,5,2017-08-13,-1,-1,-1.0,0,2021-12-21 17:21:20,,2.753578,9011214,9011210
Welfare State,Wehsz38P74g,s_9Kix4tFzk,5,2021-12-15,-1,-1,-1.0,0,2021-12-21 17:21:26,,5.02289,9011215,9011210
Welfare State,Jv3hMfTTCfY,OvJ8YDma7Wk,4,2014-11-14,-1,-1,-1.0,5,2021-12-21 17:21:28,"OvJ8YDma7Wk,s_9Kix4tFzk,n0zkOFzkpeY,G_g-QDKsXk0,M2hpy0Jcqkw",2.284005,9011220,9011200
Welfare State,OvJ8YDma7Wk,Jv3hMfTTCfY,5,2012-07-23,-1,-1,-1.0,0,2021-12-21 17:21:30,,2.513175,9011221,9011220
Welfare State,s_9Kix4tFzk,Jv3hMfTTCfY,5,2014-11-14,-1,-1,-1.0,0,2021-12-21 17:21:33,,2.317984,9011222,9011220
Welfare State,n0zkOFzkpeY,Jv3hMfTTCfY,5,2014-11-12,285,-1,-1.0,0,2021-12-21 17:21:35,,2.33295,9011223,9011220
Welfare State,G_g-QDKsXk0,Jv3hMfTTCfY,5,2015-01-05,-1,-1,-1.0,0,2021-12-21 17:21:40,,5.060042,9011224,9011220
Welfare State,M2hpy0Jcqkw,Jv3hMfTTCfY,5,2015-08-11,240,-1,-1.0,0,2021-12-21 17:21:43,,2.754563,9011225,9011220
