keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
biden is the best president ever,ktE8XKUo_Z4,,0,2021-01-20,-1,-1,-1.0,5,2021-12-25 21:24:42,"WszfBlmzXkY,oMS8jkKHalo,qUed6Ug4Cgo,Bd8_vO5zrjo,Wehsz38P74g",3.32854,10000000,0
biden is the best president ever,WszfBlmzXkY,ktE8XKUo_Z4,1,2021-12-13,-1,-1,-1.0,5,2021-12-25 21:24:45,"6f4oKjlLYK0,kBDIH6Qm4Yo,3RkhZgRNC1k,qxGmGGmvFD8,ykCiXSCbjiw",2.956712,10010000,10000000
biden is the best president ever,6f4oKjlLYK0,WszfBlmzXkY,2,2021-12-13,-1,-1,-1.0,5,2021-12-25 21:24:48,"FLTOiQ8gXp4,JgQVj4iMm8Y,KYqJJVDbQPw,qxGmGGmvFD8,ykCiXSCbjiw",3.080356,10011000,10010000
biden is the best president ever,FLTOiQ8gXp4,6f4oKjlLYK0,3,2019-09-25,-1,-1,-1.0,5,2021-12-25 21:24:51,"qEweGodDwoM,JgQVj4iMm8Y,KYqJJVDbQPw,H3Jw1DO_kFM,4Y8bUT8UXUA",3.070001,10011100,10011000
biden is the best president ever,qEweGodDwoM,FLTOiQ8gXp4,4,2019-09-24,-1,-1,-1.0,5,2021-12-25 21:24:54,"xYH_IEkY-BI,CYPtoo1lvmM,w2DTEOB5rhk,3RkhZgRNC1k,LsKFsF2zpFM",3.045044,10011110,10011100
biden is the best president ever,xYH_IEkY-BI,qEweGodDwoM,5,2019-09-23,-1,-1,-1.0,0,2021-12-25 21:24:57,,3.074111,10011111,10011110
biden is the best president ever,CYPtoo1lvmM,qEweGodDwoM,5,2019-09-24,-1,-1,-1.0,0,2021-12-25 21:25:01,,3.232333,10011112,10011110
biden is the best president ever,w2DTEOB5rhk,qEweGodDwoM,5,2021-06-29,-1,-1,-1.0,0,2021-12-25 21:25:08,,6.976473,10011113,10011110
biden is the best president ever,3RkhZgRNC1k,qEweGodDwoM,5,2020-03-24,-1,-1,-1.0,0,2021-12-25 21:25:11,,3.028665,10011114,10011110
biden is the best president ever,LsKFsF2zpFM,qEweGodDwoM,5,2015-09-24,-1,-1,-1.0,0,2021-12-25 21:25:14,,3.032358,10011115,10011110
biden is the best president ever,JgQVj4iMm8Y,FLTOiQ8gXp4,5,2016-09-21,-1,-1,-1.0,0,2021-12-25 21:25:24,,10.551762,10011120,10011100
biden is the best president ever,KYqJJVDbQPw,FLTOiQ8gXp4,5,2018-05-01,-1,-1,-1.0,0,2021-12-25 21:25:34,,9.824924,10011130,10011100
biden is the best president ever,H3Jw1DO_kFM,FLTOiQ8gXp4,4,2016-01-05,-1,-1,-1.0,5,2021-12-25 21:25:39,"M3Xb93lb0jw,utwMHfDZ6SA,TS3ZmLjXdg0,NdKb1iC0b8M,kS_yyhdAwjE",5.333559,10011140,10011100
biden is the best president ever,M3Xb93lb0jw,H3Jw1DO_kFM,5,2019-02-28,872,-1,-1.0,0,2021-12-25 21:25:42,,2.440166,10011141,10011140
biden is the best president ever,utwMHfDZ6SA,H3Jw1DO_kFM,5,2018-10-26,-1,-1,-1.0,0,2021-12-25 21:25:45,,2.944694,10011142,10011140
biden is the best president ever,TS3ZmLjXdg0,H3Jw1DO_kFM,5,2020-12-26,-1,-1,-1.0,0,2021-12-25 21:25:50,,5.21554,10011143,10011140
biden is the best president ever,NdKb1iC0b8M,H3Jw1DO_kFM,5,2015-01-02,-1,-1,-1.0,0,2021-12-25 21:25:55,,5.222235,10011144,10011140
biden is the best president ever,kS_yyhdAwjE,H3Jw1DO_kFM,5,2019-12-26,-1,-1,-1.0,0,2021-12-25 21:26:01,,5.279476,10011145,10011140
biden is the best president ever,4Y8bUT8UXUA,FLTOiQ8gXp4,4,2016-02-15,-1,-1,-1.0,5,2021-12-25 21:26:04,"ahSKGi_21xg,KYqJJVDbQPw,zVavFY2Vmlw,sR6UeVptzRg,w2DTEOB5rhk",3.617335,10011150,10011100
biden is the best president ever,ahSKGi_21xg,4Y8bUT8UXUA,5,2018-03-06,-1,-1,-1.0,0,2021-12-25 21:26:09,,4.791145,10011151,10011150
biden is the best president ever,KYqJJVDbQPw,4Y8bUT8UXUA,5,2018-05-01,-1,-1,-1.0,0,2021-12-25 21:26:11,,2.454133,10011152,10011150
biden is the best president ever,zVavFY2Vmlw,4Y8bUT8UXUA,5,2021-12-14,-1,-1,-1.0,0,2021-12-25 21:26:14,,2.569673,10011153,10011150
biden is the best president ever,sR6UeVptzRg,4Y8bUT8UXUA,5,2020-01-09,-1,-1,-1.0,0,2021-12-25 21:26:16,,2.408023,10011154,10011150
biden is the best president ever,w2DTEOB5rhk,4Y8bUT8UXUA,5,2021-06-29,-1,-1,-1.0,0,2021-12-25 21:26:21,,4.805579,10011155,10011150
biden is the best president ever,JgQVj4iMm8Y,6f4oKjlLYK0,3,2016-09-21,-1,-1,-1.0,5,2021-12-25 21:26:24,"w1AhrEhQ0mg,imW392e6XR0,aICaAEXDJQQ,t2oVUxTV4WA,Xr6uNyo8Qgg",2.831798,10011200,10011000
