keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
biden is the worst president ever,Ng0QajszsAM,,5,2021-03-05,-1,-1,-1.0,0,2021-12-26 10:00:08,,46.786631,11000000,0
biden is the worst president ever,jqcO5sp9JgU,,0,2020-09-29,-1,-1,-1.0,5,2021-12-26 10:00:12,"0Y-3Fz5w8zs,UCA1A5GqCdQ,3RkhZgRNC1k,E7UZf68lOG8,5RRmepp7i5g",3.248517,11000000,0
biden is the worst president ever,0Y-3Fz5w8zs,jqcO5sp9JgU,5,,-1,-1,-1.0,0,2021-12-26 10:00:49,,37.792547,11010000,11000000
biden is the worst president ever,UCA1A5GqCdQ,jqcO5sp9JgU,1,2020-10-22,-1,-1,-1.0,5,2021-12-26 10:00:52,"5cathmZFeXs,smkyorC5qwc,pgNJzhYNRPY,855Am6ovK7s,yHFI8TsSKXY",2.776607,11020000,11000000
biden is the worst president ever,5cathmZFeXs,UCA1A5GqCdQ,2,2020-09-29,-1,-1,-1.0,5,2021-12-26 10:00:55,"UCA1A5GqCdQ,_4Y0se-y3D4,w3KxBME7DpM,855Am6ovK7s,1XsEsbVnVIY",2.804131,11021000,11020000
biden is the worst president ever,UCA1A5GqCdQ,5cathmZFeXs,3,2020-10-22,-1,-1,-1.0,5,2021-12-26 10:00:58,"5cathmZFeXs,smkyorC5qwc,855Am6ovK7s,yHFI8TsSKXY,1XsEsbVnVIY",2.639777,11021100,11021000
biden is the worst president ever,5cathmZFeXs,UCA1A5GqCdQ,4,2020-09-29,-1,-1,-1.0,5,2021-12-26 10:01:02,"UCA1A5GqCdQ,_4Y0se-y3D4,855Am6ovK7s,TeRq5Dqs0Rc,1XsEsbVnVIY",4.298612,11021110,11021100
biden is the worst president ever,UCA1A5GqCdQ,5cathmZFeXs,5,2020-10-22,-1,-1,-1.0,0,2021-12-26 10:01:05,,2.979908,11021111,11021110
biden is the worst president ever,_4Y0se-y3D4,5cathmZFeXs,5,2020-10-07,-1,-1,-1.0,0,2021-12-26 10:01:08,,3.04614,11021112,11021110
biden is the worst president ever,855Am6ovK7s,5cathmZFeXs,5,2016-09-26,-1,-1,-1.0,0,2021-12-26 10:01:11,,2.441343,11021113,11021110
biden is the worst president ever,TeRq5Dqs0Rc,5cathmZFeXs,5,2018-12-11,-1,-1,-1.0,0,2021-12-26 10:01:13,,2.584164,11021114,11021110
biden is the worst president ever,1XsEsbVnVIY,5cathmZFeXs,5,2021-12-24,-1,-1,-1.0,0,2021-12-26 10:01:16,,2.596782,11021115,11021110
biden is the worst president ever,smkyorC5qwc,UCA1A5GqCdQ,4,2016-10-19,-1,-1,-1.0,5,2021-12-26 10:01:18,"aFzEmqVq2dY,855Am6ovK7s,FGuJjfQSL_I,XMFDMljYluo,ye0Xblp_Nb0",2.533835,11021120,11021100
biden is the worst president ever,aFzEmqVq2dY,smkyorC5qwc,5,2017-06-07,-1,-1,-1.0,0,2021-12-26 10:01:23,,4.901416,11021121,11021120
biden is the worst president ever,855Am6ovK7s,smkyorC5qwc,5,2016-09-26,-1,-1,-1.0,0,2021-12-26 10:01:26,,2.505181,11021122,11021120
biden is the worst president ever,FGuJjfQSL_I,smkyorC5qwc,5,2017-06-08,-1,-1,-1.0,0,2021-12-26 10:01:28,,2.505014,11021123,11021120
biden is the worst president ever,XMFDMljYluo,smkyorC5qwc,5,2021-12-25,10,-1,-1.0,0,2021-12-26 10:01:31,,2.555081,11021124,11021120
biden is the worst president ever,ye0Xblp_Nb0,smkyorC5qwc,5,2016-10-19,-1,-1,-1.0,0,2021-12-26 10:01:33,,2.461176,11021125,11021120
biden is the worst president ever,855Am6ovK7s,UCA1A5GqCdQ,4,2016-09-26,-1,-1,-1.0,5,2021-12-26 10:01:36,"aFzEmqVq2dY,eciIp3KI0Lk,smkyorC5qwc,XRIjAXVIIhY,jvYzgSV7BwU",2.574283,11021130,11021100
biden is the worst president ever,aFzEmqVq2dY,855Am6ovK7s,5,2017-06-07,271,-1,-1.0,0,2021-12-26 10:01:38,,2.284936,11021131,11021130
