keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
 free speech,p8-1CIPme6w,,0,Supreme Court to hear free speech case involving cheerleader - YouTube,480,360,112,2021-04-27,UCrp_UI8XtuYfpiqluWLD7Lw,262,102,22736,3.8791208,5,2021-05-04 13:14:48,"Vf_I49bY-jM,4Mq7ksSvZHM,2Zax1rDO_w8,bUTdvvSkmPE,ZxCT_D6HBd8",3.159961
 free speech,Vf_I49bY-jM,p8-1CIPme6w,1,Parent uncovers internal documents exposing school's 'woke' agenda - YouTube,1280,720,262,2021-05-01,UCXIJgqnII2ZOINSWNOGFThA,-1,-1,1199583,4.9193673,5,2021-05-04 13:14:51,"tn6IQSidA-Y,3PJbbz-21Fo,qr80IX4CsDQ,rarY7pR03ns,aiLpYJBh4ZY",2.678861
 free speech,tn6IQSidA-Y,Vf_I49bY-jM,2,Student speaks out after professor scolds him for calling cops 'heroes' - YouTube,1920,1080,265,2021-05-01,UCXIJgqnII2ZOINSWNOGFThA,-1,-1,1073607,4.903511,5,2021-05-04 13:14:53,"vAm4a0U1BO4,Vf_I49bY-jM,3PJbbz-21Fo,aOa32j0xqYM,AVvY1v3woJY",2.654216
 free speech,vAm4a0U1BO4,tn6IQSidA-Y,3,Tucker on why you probably don't recognize the Republican party - YouTube,1920,1080,819,2021-04-30,UCXIJgqnII2ZOINSWNOGFThA,-1,750,502811,4.8692865,5,2021-05-04 13:14:56,"-Wpd82iBnjg,rarY7pR03ns,IshZatwqlnM,3PJbbz-21Fo,8_Vd4fUWCFY",2.470008
 free speech,-Wpd82iBnjg,vAm4a0U1BO4,4,Tucker: Top House Republican lives with Google pollster - YouTube,1920,1080,339,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,94,44653,4.9412041,5,2021-05-04 13:14:58,"lTuT2lhqMdU,L7Eaz0ZvLZM,rarY7pR03ns,39WrSskl3XE,8_Vd4fUWCFY",2.658421
 free speech,lTuT2lhqMdU,-Wpd82iBnjg,5,Rudy Giuliani responds to ongoing investigation on 'Hannity' - YouTube,1280,720,355,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,332,254221,4.8670802,0,2021-05-04 13:15:01,,2.58608
 free speech,L7Eaz0ZvLZM,-Wpd82iBnjg,5,FOX News asks voters to rate Biden's performance after first 100 days - YouTube,1920,1080,352,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,207,108541,4.8731618,0,2021-05-04 13:15:04,,2.873032
 free speech,rarY7pR03ns,-Wpd82iBnjg,5,Jordan Peterson tells Tucker: Truth in speech is of divine significance - YouTube,1280,720,241,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,83,56930,4.9417953,0,2021-05-04 13:15:07,,2.929738
 free speech,39WrSskl3XE,-Wpd82iBnjg,5,LIVE NOW: Newsmax TV Live Stream - YouTube,1280,720,0,2019-06-10,UCx6h-dWzJ5NpAlja1YsApdg,-1,-1,73113404,4.6581211,0,2021-05-04 13:15:09,,2.035692
 free speech,8_Vd4fUWCFY,-Wpd82iBnjg,5,Kristi Noem invites laid off police officers to come to South Dakota - YouTube,1920,1080,274,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,123,95617,4.9378238,0,2021-05-04 13:15:12,,2.944452
 free speech,rarY7pR03ns,vAm4a0U1BO4,4,Jordan Peterson tells Tucker: Truth in speech is of divine significance - YouTube,1280,720,241,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,83,57010,4.9418259,5,2021-05-04 13:15:15,"JSl2tmK4JLU,lTuT2lhqMdU,-Wpd82iBnjg,8_Vd4fUWCFY,tn6IQSidA-Y",2.691054
 free speech,JSl2tmK4JLU,rarY7pR03ns,5,Navy SEAL who killed Bin Laden sounds off on 'woke' CIA ad - YouTube,1280,720,218,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,239,207990,4.8944111,0,2021-05-04 13:15:17,,2.235341
 free speech,lTuT2lhqMdU,rarY7pR03ns,5,Rudy Giuliani responds to ongoing investigation on 'Hannity' - YouTube,1280,720,355,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,332,254221,4.8671203,0,2021-05-04 13:15:19,,2.647927
 free speech,-Wpd82iBnjg,rarY7pR03ns,5,Tucker: Top House Republican lives with Google pollster - YouTube,1920,1080,339,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,94,44772,4.9413419,0,2021-05-04 13:15:22,,2.634898
 free speech,8_Vd4fUWCFY,rarY7pR03ns,5,Kristi Noem invites laid off police officers to come to South Dakota - YouTube,1920,1080,274,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,123,95617,4.9379182,0,2021-05-04 13:15:25,,2.669915
 free speech,tn6IQSidA-Y,rarY7pR03ns,5,Student speaks out after professor scolds him for calling cops 'heroes' - YouTube,1920,1080,265,2021-05-01,UCXIJgqnII2ZOINSWNOGFThA,-1,-1,1073607,4.9035196,0,2021-05-04 13:15:27,,2.616352
 free speech,IshZatwqlnM,vAm4a0U1BO4,4,Tucker: We are watching an attack on democracy - YouTube,1920,1080,414,2021-04-30,UCXIJgqnII2ZOINSWNOGFThA,-1,263,199566,4.8714409,5,2021-05-04 13:15:30,"3PJbbz-21Fo,c7CjlUBBSLE,eAcQubWhvKw,vAm4a0U1BO4,I7bVOjRQCjA",2.750506
 free speech,3PJbbz-21Fo,IshZatwqlnM,5,Tucker obtains bodycam footage of driver hurling racial abuse at cop - YouTube,1920,1080,220,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,874,587799,4.8961716,0,2021-05-04 13:15:33,,2.629116
 free speech,c7CjlUBBSLE,IshZatwqlnM,5,Biden taxes will make US 'less competitive': Wisconsin business owner - YouTube,1920,1080,291,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,201,24,1768,4.5733333,0,2021-05-04 13:15:36,,2.791461
 free speech,eAcQubWhvKw,IshZatwqlnM,5,Trey Gowdy predicts Biden will cause Democrats to lose the House - YouTube,1920,1080,421,2021-04-29,UCXIJgqnII2ZOINSWNOGFThA,-1,378,396073,4.850297,0,2021-05-04 13:15:38,,2.536904
 free speech,vAm4a0U1BO4,IshZatwqlnM,5,Tucker on why you probably don't recognize the Republican party - YouTube,1920,1080,819,2021-04-30,UCXIJgqnII2ZOINSWNOGFThA,-1,750,502811,4.8692865,0,2021-05-04 13:15:41,,2.791213
 free speech,I7bVOjRQCjA,IshZatwqlnM,5,Gutfeld: Biden offers message of 'unify then crucify' - YouTube,1920,1080,1042,2021-04-30,UCXIJgqnII2ZOINSWNOGFThA,-1,255,179852,4.8816566,0,2021-05-04 13:15:44,,2.593777
 free speech,3PJbbz-21Fo,vAm4a0U1BO4,4,Tucker obtains bodycam footage of driver hurling racial abuse at cop - YouTube,1920,1080,220,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,875,587799,4.8960748,5,2021-05-04 13:15:46,"JSl2tmK4JLU,tn6IQSidA-Y,L7Eaz0ZvLZM,8_Vd4fUWCFY,qr80IX4CsDQ",2.553854
 free speech,JSl2tmK4JLU,3PJbbz-21Fo,5,Navy SEAL who killed Bin Laden sounds off on 'woke' CIA ad - YouTube,1280,720,218,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,239,207990,4.894423,0,2021-05-04 13:15:48,,2.150809
 free speech,tn6IQSidA-Y,3PJbbz-21Fo,5,Student speaks out after professor scolds him for calling cops 'heroes' - YouTube,1920,1080,265,2021-05-01,UCXIJgqnII2ZOINSWNOGFThA,-1,-1,1073607,4.9035249,0,2021-05-04 13:15:53,,4.431241
 free speech,L7Eaz0ZvLZM,3PJbbz-21Fo,5,FOX News asks voters to rate Biden's performance after first 100 days - YouTube,1920,1080,352,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,207,109382,4.8734913,0,2021-05-04 13:15:55,,2.564571
 free speech,8_Vd4fUWCFY,3PJbbz-21Fo,5,Kristi Noem invites laid off police officers to come to South Dakota - YouTube,1920,1080,274,2021-05-04,UCXIJgqnII2ZOINSWNOGFThA,-1,123,95617,4.9380665,0,2021-05-04 13:15:58,,2.633853
 free speech,qr80IX4CsDQ,3PJbbz-21Fo,5,'Bombshell' report claims teachers union pressured CDC; 'The Five' react - YouTube,1920,1080,668,2021-05-03,UCXIJgqnII2ZOINSWNOGFThA,-1,342,452084,4.8867083,0,2021-05-04 13:16:01,,2.764343
