keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
planned parenthood,p8-vBbRU5mU,,0,A day inside Planned Parenthood - YouTube,1920,1080,256,2017-07-12,UC89FjSf9AT1O2qw6vxrrxDQ,207,363,14623,2.4526315,5,2021-05-17 21:02:08,"S1Dcw2tJczI,KP4FYkVKrGU,arj7oStGLkU,NXQjCuWFdzI,O_lMvPyPKmE",3.174258
planned parenthood,S1Dcw2tJczI,p8-vBbRU5mU,1,Abby Johnson:  Un-spinning the Web of Planned Parenthood - YouTube,1920,1080,2456,2015-09-29,UCAbXVMhoVBAKRzE2JqA8c3Q,-1,449,650213,4.9073749,5,2021-05-17 21:02:11,"XfCrHxIikqg,-U4Cq-dgNnw,jzHwHX601no,2GbxFIVQv8c,UWUwPTphz7A",3.163594
planned parenthood,XfCrHxIikqg,S1Dcw2tJczI,2,Abby Johnson: Q&A - YouTube,480,360,1960,2015-09-29,UCAbXVMhoVBAKRzE2JqA8c3Q,-1,39,54967,4.8804598,5,2021-05-17 21:02:14,"S1Dcw2tJczI,arj7oStGLkU,h4RulO1txRA,2tKDnsns2bg,2GbxFIVQv8c",3.057382
planned parenthood,S1Dcw2tJczI,XfCrHxIikqg,3,Abby Johnson:  Un-spinning the Web of Planned Parenthood - YouTube,1920,1080,2456,2015-09-29,UCAbXVMhoVBAKRzE2JqA8c3Q,-1,449,650213,4.9073749,5,2021-05-17 21:02:17,"XfCrHxIikqg,2GbxFIVQv8c,UWUwPTphz7A,-U4Cq-dgNnw,h4RulO1txRA",3.152633
planned parenthood,XfCrHxIikqg,S1Dcw2tJczI,4,Abby Johnson: Q&A - YouTube,480,360,1960,2015-09-29,UCAbXVMhoVBAKRzE2JqA8c3Q,-1,39,54967,4.8804598,5,2021-05-17 21:02:20,"S1Dcw2tJczI,arj7oStGLkU,h4RulO1txRA,2GbxFIVQv8c,jzHwHX601no",3.123902
planned parenthood,S1Dcw2tJczI,XfCrHxIikqg,5,Abby Johnson:  Un-spinning the Web of Planned Parenthood - YouTube,1920,1080,2456,2015-09-29,UCAbXVMhoVBAKRzE2JqA8c3Q,-1,449,650213,4.9073749,0,2021-05-17 21:02:23,,3.149082
planned parenthood,arj7oStGLkU,XfCrHxIikqg,5,Inside the mind of a master procrastinator | Tim Urban - YouTube,1920,1080,844,2016-04-06,UCAuUUnT6oDeKwE6v1NGQxug,-1,-1,39321065,4.9594154,0,2021-05-17 21:02:27,,3.735589
planned parenthood,h4RulO1txRA,XfCrHxIikqg,5,Abby Johnson's Compelling Pro-Life Speech - YouTube,1920,1080,1939,2015-11-17,UCFx_SAQ2UNDQII_C8HC1jnQ,742,27,25702,4.8595581,0,2021-05-17 21:02:30,,3.130399
planned parenthood,2GbxFIVQv8c,XfCrHxIikqg,5,The Silent Child — Oscar® Winning Short Film - YouTube,1920,1080,1204,2020-11-20,UCO7DTCuYMvxMoctfQoRQW3Q,-1,-1,3622246,4.9410625,0,2021-05-17 21:02:33,,2.560933
planned parenthood,jzHwHX601no,XfCrHxIikqg,5,Abortion Debate at Wayne State U. - Nadine Strossen v. Scott Klusendorf - YouTube,1920,1080,7797,2016-12-01,UCqBpE88dI8vZGLCcl8Ug3cw,337,9,19945,4.8959537,0,2021-05-17 21:02:36,,3.705168
planned parenthood,2GbxFIVQv8c,S1Dcw2tJczI,4,The Silent Child — Oscar® Winning Short Film - YouTube,1920,1080,1204,2020-11-20,UCO7DTCuYMvxMoctfQoRQW3Q,-1,-1,3622246,4.9410625,2,2021-05-17 21:02:42,"bTN3q_NjuWs,FdeioVndUhs",5.462094
planned parenthood,bTN3q_NjuWs,2GbxFIVQv8c,5,The Crush — Oscar® Nominated Short Film - YouTube,1920,1080,950,2021-03-26,UCO7DTCuYMvxMoctfQoRQW3Q,-1,-1,1523458,4.8904891,0,2021-05-17 21:02:44,,2.481527
planned parenthood,FdeioVndUhs,2GbxFIVQv8c,5,New Boy — Oscar® Nominated Short Film - YouTube,1920,1080,693,2009-11-28,UCO7DTCuYMvxMoctfQoRQW3Q,-1,-1,6523102,4.8633342,0,2021-05-17 21:02:47,,2.528326
planned parenthood,UWUwPTphz7A,S1Dcw2tJczI,4,The Journey Home - Abby Johnson - 1/20/2014 - YouTube,480,360,3372,2014-07-22,UCA6VPId1xVXlo651G0AA7yg,629,22,30627,4.8648233,5,2021-05-17 21:02:50,"S1Dcw2tJczI,M9zLsquPAf4,giYMF1IoIUU,Uxgj-bwybKo,BD9DlTjFcRQ",3.056076
planned parenthood,S1Dcw2tJczI,UWUwPTphz7A,5,Abby Johnson:  Un-spinning the Web of Planned Parenthood - YouTube,1920,1080,2456,2015-09-29,UCAbXVMhoVBAKRzE2JqA8c3Q,-1,449,650213,4.9073749,0,2021-05-17 21:02:53,,3.103051
planned parenthood,M9zLsquPAf4,UWUwPTphz7A,5,20050104 Journey Home Program - Mormon Roundtable - YouTube,480,360,3389,2018-01-28,UCWkllnm8YGvS2nRpfy084lg,119,1,4406,4.9666667,0,2021-05-17 21:02:54,,0.374144
planned parenthood,giYMF1IoIUU,UWUwPTphz7A,5,Abby Johnson - Bringing America Back to Life 2017 - YouTube,1920,1080,2829,2017-03-28,UChR_TQRNMifeKVHeqR2VU9Q,675,19,28961,4.8904901,0,2021-05-17 21:02:57,,3.022398
planned parenthood,Uxgj-bwybKo,UWUwPTphz7A,5,Journey Home - 2014-4-12- Leslie Blackwell - Catholic Revert - YouTube,1920,1080,3359,2014-05-12,UCijDos-LUTh9RQvSCMQqN6Q,-1,-1,8497,4.878788,0,2021-05-17 21:02:57,,0.429107
planned parenthood,BD9DlTjFcRQ,UWUwPTphz7A,5,11/23/20 Dr. Alicia Thompson - YouTube,1920,1080,3370,2020-11-23,UCijDos-LUTh9RQvSCMQqN6Q,415,4,17216,4.9618139,0,2021-05-17 21:03:00,,3.288647
