keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
trump was the best president ever,Y7FvR8hkr6w,,0,2020-08-27,-1,-1,-1.0,5,2021-12-24 21:19:30,"JC9VgxiYM4I,smkyorC5qwc,n068fel-W9I,Bd8_vO5zrjo,FdAh2HJ98WE",3.079011,8000000,0
trump was the best president ever,JC9VgxiYM4I,Y7FvR8hkr6w,1,2021-12-16,-1,-1,-1.0,5,2021-12-24 21:19:33,"iAOrSudoNYE,bgRKHBQpRFE,x0dTEIcT05o,LTllC7TbM8M,cOEZ2Csxxu8",3.035989,8010000,8000000
trump was the best president ever,iAOrSudoNYE,JC9VgxiYM4I,2,2021-12-18,-1,-1,-1.0,5,2021-12-24 21:19:37,"JC9VgxiYM4I,yWI61kpFEAA,1Oww1OS5IY4,bgRKHBQpRFE,l04psbXt5tg",3.121848,8011000,8010000
trump was the best president ever,JC9VgxiYM4I,iAOrSudoNYE,3,2021-12-16,-1,-1,-1.0,5,2021-12-24 21:19:40,"iAOrSudoNYE,yWI61kpFEAA,_hfMNTnBM4I,O6lUE2wFcXE,Wehsz38P74g",3.326327,8011100,8011000
trump was the best president ever,iAOrSudoNYE,JC9VgxiYM4I,4,2021-12-18,-1,-1,-1.0,5,2021-12-24 21:19:43,"JC9VgxiYM4I,1Oww1OS5IY4,_hfMNTnBM4I,tcqiJAqjoxE,8A42PYVlkfU",3.105031,8011110,8011100
trump was the best president ever,JC9VgxiYM4I,iAOrSudoNYE,5,2021-12-16,-1,-1,-1.0,0,2021-12-24 21:19:46,,2.994214,8011111,8011110
trump was the best president ever,1Oww1OS5IY4,iAOrSudoNYE,5,2021-12-09,-1,-1,-1.0,0,2021-12-24 21:19:49,,2.920057,8011112,8011110
trump was the best president ever,_hfMNTnBM4I,iAOrSudoNYE,5,2017-01-03,-1,-1,-1.0,0,2021-12-24 21:19:52,,2.714186,8011113,8011110
trump was the best president ever,tcqiJAqjoxE,iAOrSudoNYE,5,2021-01-29,-1,-1,-1.0,0,2021-12-24 21:19:57,,5.398451,8011114,8011110
trump was the best president ever,8A42PYVlkfU,iAOrSudoNYE,5,2021-12-16,-1,-1,-1.0,0,2021-12-24 21:20:00,,3.267168,8011115,8011110
trump was the best president ever,yWI61kpFEAA,JC9VgxiYM4I,5,2021-09-04,-1,-1,-1.0,0,2021-12-24 21:20:14,,13.1808,8011120,8011100
trump was the best president ever,_hfMNTnBM4I,JC9VgxiYM4I,4,2017-01-03,-1,-1,-1.0,5,2021-12-24 21:20:17,"Za79QwYD5mo,M1-eDQeEPeI,jKmYLm23pTE,_TPZVBMW9mY,_3anx_91rsk",3.172048,8011130,8011100
