keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
AOC,xXo7Fh-D5Z0,,0,2021-12-07,89,-1,2.5344827,5,2021-12-08 09:22:05,"iMIJc0JEhMI,xHYsqVRw_iE,1Paq17X6ucQ,ODLKcFQNI-0,DyMK_XtPTV0",2.740113,4000000,0
AOC,iMIJc0JEhMI,xXo7Fh-D5Z0,1,2021-12-07,178,-1,4.869565,5,2021-12-08 09:22:10,"2Q7JpEuD3c8,ODLKcFQNI-0,PLIZZ9lIlwg,dBnniua6-oM,-1jAOJHvll0",4.407527,4010000,4000000
AOC,2Q7JpEuD3c8,iMIJc0JEhMI,2,2021-12-07,97,-1,4.6952381,5,2021-12-08 09:22:12,"iMIJc0JEhMI,ODLKcFQNI-0,n30zO0ABFqc,gsZlqrU0uUo,-1jAOJHvll0",2.777132,4011000,4010000
AOC,iMIJc0JEhMI,2Q7JpEuD3c8,3,2021-12-07,178,-1,4.869565,5,2021-12-08 09:22:15,"2Q7JpEuD3c8,ODLKcFQNI-0,dBnniua6-oM,PLIZZ9lIlwg,-1jAOJHvll0",2.64739,4011100,4011000
AOC,2Q7JpEuD3c8,iMIJc0JEhMI,4,2021-12-07,97,-1,4.6952381,5,2021-12-08 09:22:18,"iMIJc0JEhMI,ODLKcFQNI-0,n30zO0ABFqc,gsZlqrU0uUo,_hfMNTnBM4I",2.737224,4011110,4011100
AOC,iMIJc0JEhMI,2Q7JpEuD3c8,5,2021-12-07,178,-1,4.869565,0,2021-12-08 09:22:21,,2.685838,4011111,4011110
AOC,ODLKcFQNI-0,2Q7JpEuD3c8,5,2021-12-02,-1,-1,4.8499994,0,2021-12-08 09:22:23,,2.595577,4011112,4011110
AOC,n30zO0ABFqc,2Q7JpEuD3c8,5,2010-10-20,-1,-1,4.0508475,0,2021-12-08 09:22:30,,6.939415,4011113,4011110
AOC,gsZlqrU0uUo,2Q7JpEuD3c8,5,2021-11-04,238,-1,3.6371191,0,2021-12-08 09:22:34,,4.191057,4011114,4011110
AOC,_hfMNTnBM4I,2Q7JpEuD3c8,5,2017-01-03,-1,-1,4.5502815,0,2021-12-08 09:22:37,,2.868805,4011115,4011110
AOC,ODLKcFQNI-0,iMIJc0JEhMI,4,2021-12-02,-1,-1,4.8500013,5,2021-12-08 09:22:40,"78RJbi0HQgA,-1jAOJHvll0,-6DLT9MHO4M,lEWHdkayhoc,dBnniua6-oM",2.513077,4011120,4011100
AOC,78RJbi0HQgA,ODLKcFQNI-0,5,2021-12-07,184,-1,2.0337079,0,2021-12-08 09:22:42,,2.496505,4011121,4011120
AOC,-1jAOJHvll0,ODLKcFQNI-0,5,2015-04-13,-1,-1,4.3219466,0,2021-12-08 09:22:45,,2.334213,4011122,4011120
AOC,-6DLT9MHO4M,ODLKcFQNI-0,5,2011-04-02,-1,-1,3.6688006,0,2021-12-08 09:22:51,,6.610454,4011123,4011120
AOC,lEWHdkayhoc,ODLKcFQNI-0,5,2021-12-07,-1,37,4.9587975,0,2021-12-08 09:22:54,,2.6311,4011124,4011120
AOC,dBnniua6-oM,ODLKcFQNI-0,5,2009-07-30,-1,-1,4.8264966,0,2021-12-08 09:22:56,,2.556845,4011125,4011120
AOC,dBnniua6-oM,iMIJc0JEhMI,4,2009-07-30,-1,-1,4.8264966,5,2021-12-08 09:23:01,"4XR_f9y8tDs,PiNRp3WaeVk,XCaTQzjX2rQ,7SQyj7Eigps,ORDFeQJDVwc",4.740415,4011130,4011100
AOC,4XR_f9y8tDs,dBnniua6-oM,5,2016-09-19,-1,-1,-1.0,0,2021-12-08 09:23:06,,5.136509,4011131,4011130
AOC,PiNRp3WaeVk,dBnniua6-oM,5,2020-02-07,-1,-1,4.765821,0,2021-12-08 09:23:09,,2.462728,4011132,4011130
AOC,XCaTQzjX2rQ,dBnniua6-oM,5,2019-12-23,-1,-1,4.8450837,0,2021-12-08 09:23:14,,5.04557,4011133,4011130
AOC,7SQyj7Eigps,dBnniua6-oM,5,2016-05-04,271,-1,4.8853045,0,2021-12-08 09:23:16,,2.500979,4011134,4011130
AOC,ORDFeQJDVwc,dBnniua6-oM,5,2021-03-13,574,-1,4.9114141,0,2021-12-08 09:23:19,,2.505929,4011135,4011130
AOC,PLIZZ9lIlwg,iMIJc0JEhMI,5,2021-12-01,-1,-1,-1.0,0,2021-12-08 09:23:31,,12.047358,4011140,4011100
AOC,-1jAOJHvll0,iMIJc0JEhMI,4,2015-04-13,-1,-1,4.3219466,5,2021-12-08 09:23:37,"wz4evV4YWnE,oizhVJstxC4,obPAKgwueGE,fzweIEvN8sc,6nnz0YRy6So",6.360771,4011150,4011100
AOC,wz4evV4YWnE,-1jAOJHvll0,5,2021-12-01,14,-1,4.7333331,0,2021-12-08 09:23:39,,1.940368,4011151,4011150
AOC,oizhVJstxC4,-1jAOJHvll0,5,2019-05-31,-1,-1,4.3895879,0,2021-12-08 09:23:42,,2.332677,4011152,4011150
AOC,obPAKgwueGE,-1jAOJHvll0,5,2021-01-27,-1,-1,4.8249903,0,2021-12-08 09:23:44,,2.396431,4011153,4011150
AOC,fzweIEvN8sc,-1jAOJHvll0,5,2020-02-06,-1,-1,4.4894943,0,2021-12-08 09:23:46,,2.538341,4011154,4011150
AOC,6nnz0YRy6So,-1jAOJHvll0,5,2020-01-02,-1,-1,4.6202917,0,2021-12-08 09:23:49,,2.579225,4011155,4011150
AOC,ODLKcFQNI-0,2Q7JpEuD3c8,3,2021-12-02,-1,-1,4.8500075,5,2021-12-08 09:23:54,"78RJbi0HQgA,-1jAOJHvll0,-6DLT9MHO4M,lEWHdkayhoc,dBnniua6-oM",4.783039,4011200,4011000
AOC,78RJbi0HQgA,ODLKcFQNI-0,4,2021-12-07,184,-1,2.032258,5,2021-12-08 09:24:01,"xTsi6MHVd8E,eQ8x3CXSkVg,ndvDP6UPGm8,l7aiRSTfexo,s5Yg5k97bJk",6.929258,4011210,4011200
AOC,xTsi6MHVd8E,78RJbi0HQgA,5,2021-12-07,-1,-1,4.9165483,0,2021-12-08 09:24:03,,2.547167,4011211,4011210
AOC,eQ8x3CXSkVg,78RJbi0HQgA,5,2021-12-07,-1,-1,4.9170232,0,2021-12-08 09:24:12,,8.303866,4011212,4011210
AOC,ndvDP6UPGm8,78RJbi0HQgA,5,2021-12-07,3,-1,5.0,0,2021-12-08 09:24:14,,2.689537,4011213,4011210
AOC,l7aiRSTfexo,78RJbi0HQgA,5,2021-12-07,703,-1,4.8947368,0,2021-12-08 09:24:17,,2.607875,4011214,4011210
AOC,s5Yg5k97bJk,78RJbi0HQgA,5,2021-12-01,-1,-1,4.9412374,0,2021-12-08 09:24:21,,4.430533,4011215,4011210
