keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Climate Change,TBizxm2d3Ko,,0,2021-12-13,91,-1,-1.0,5,2021-12-16 06:05:56,"NC4P1M_wKKs,AeFEadspSyM,n068fel-W9I,w9h-XQm2qEY,it_50DvgXy4",2.661313,1000000,0
Climate Change,NC4P1M_wKKs,TBizxm2d3Ko,1,2021-12-15,119,-1,-1.0,5,2021-12-16 06:05:58,"IRJpIwBGT40,n068fel-W9I,W-d6q61-irU,w9h-XQm2qEY,57_UsRygWjs",2.57469,1010000,1000000
Climate Change,IRJpIwBGT40,NC4P1M_wKKs,2,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:06:01,"dY5n7Bbzb1E,OrRb1nH2R6E,11jerPKO38M,7ivhjD-34kw,RCmYWrrfUHs",2.941747,1011000,1010000
Climate Change,dY5n7Bbzb1E,IRJpIwBGT40,3,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:06:04,"IRJpIwBGT40,n068fel-W9I,bm219tSENHc,2qcsWajivnI,IucHVTk92XY",2.777235,1011100,1011000
Climate Change,IRJpIwBGT40,dY5n7Bbzb1E,4,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:06:07,"dY5n7Bbzb1E,11jerPKO38M,7ivhjD-34kw,AeFEadspSyM,n068fel-W9I",2.892595,1011110,1011100
Climate Change,dY5n7Bbzb1E,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:06:10,,2.435321,1011111,1011110
Climate Change,11jerPKO38M,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:06:12,,2.672976,1011112,1011110
Climate Change,7ivhjD-34kw,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:06:15,,2.787649,1011113,1011110
Climate Change,AeFEadspSyM,IRJpIwBGT40,5,2021-12-11,-1,-1,-1.0,0,2021-12-16 06:06:18,,2.804919,1011114,1011110
Climate Change,n068fel-W9I,IRJpIwBGT40,5,2021-01-15,-1,-1,-1.0,0,2021-12-16 06:06:20,,2.439571,1011115,1011110
Climate Change,n068fel-W9I,dY5n7Bbzb1E,4,2021-01-15,-1,-1,-1.0,5,2021-12-16 06:06:23,"u-Ms5v20cVw,lZ3bPUKo5zc,AxZWxxZ2JGE,Ijst4g5KFN0,Unzc731iCUY",2.543136,1011120,1011100
Climate Change,u-Ms5v20cVw,n068fel-W9I,5,2021-12-15,91,-1,-1.0,0,2021-12-16 06:06:25,,2.352558,1011121,1011120
Climate Change,lZ3bPUKo5zc,n068fel-W9I,5,2014-06-18,-1,-1,-1.0,0,2021-12-16 06:06:28,,2.446205,1011122,1011120
Climate Change,AxZWxxZ2JGE,n068fel-W9I,5,2011-03-22,-1,-1,-1.0,0,2021-12-16 06:06:30,,2.327135,1011123,1011120
Climate Change,Ijst4g5KFN0,n068fel-W9I,5,2019-09-20,-1,-1,-1.0,0,2021-12-16 06:06:32,,2.377563,1011124,1011120
Climate Change,Unzc731iCUY,n068fel-W9I,5,2019-12-20,-1,-1,-1.0,0,2021-12-16 06:06:35,,2.512257,1011125,1011120
Climate Change,bm219tSENHc,dY5n7Bbzb1E,4,2021-12-15,146,-1,-1.0,5,2021-12-16 06:06:37,"8-MsiKqBtM8,n068fel-W9I,apbSsILLh28,w9h-XQm2qEY,ao2Jfm35XeE",2.24645,1011130,1011100
Climate Change,8-MsiKqBtM8,bm219tSENHc,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:06:40,,2.717673,1011131,1011130
Climate Change,n068fel-W9I,bm219tSENHc,5,2021-01-15,-1,-1,-1.0,0,2021-12-16 06:06:42,,2.421502,1011132,1011130
Climate Change,apbSsILLh28,bm219tSENHc,5,2015-09-30,-1,-1,-1.0,0,2021-12-16 06:06:45,,3.116897,1011133,1011130
Climate Change,w9h-XQm2qEY,bm219tSENHc,5,2021-12-11,-1,-1,-1.0,0,2021-12-16 06:06:48,,2.566024,1011134,1011130
Climate Change,ao2Jfm35XeE,bm219tSENHc,5,2021-11-30,-1,-1,-1.0,0,2021-12-16 06:06:51,,2.746861,1011135,1011130
Climate Change,2qcsWajivnI,dY5n7Bbzb1E,5,2020-04-26,-1,-1,-1.0,0,2021-12-16 06:07:04,,13.104194,1011140,1011100
Climate Change,IucHVTk92XY,dY5n7Bbzb1E,4,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:07:07,"IRJpIwBGT40,MT1ncXNgffQ,7ivhjD-34kw,lco-erGso8s,oo0cnTi2xHs",2.854869,1011150,1011100
Climate Change,IRJpIwBGT40,IucHVTk92XY,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:07:10,,2.996237,1011151,1011150
Climate Change,MT1ncXNgffQ,IucHVTk92XY,5,2021-12-14,-1,-1,-1.0,0,2021-12-16 06:07:13,,2.884142,1011152,1011150
Climate Change,7ivhjD-34kw,IucHVTk92XY,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:07:15,,2.760181,1011153,1011150
Climate Change,lco-erGso8s,IucHVTk92XY,5,2021-12-15,534,-1,-1.0,0,2021-12-16 06:07:18,,2.811485,1011154,1011150
Climate Change,oo0cnTi2xHs,IucHVTk92XY,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:07:21,,2.579397,1011155,1011150
Climate Change,OrRb1nH2R6E,IRJpIwBGT40,3,2021-12-15,42,-1,-1.0,5,2021-12-16 06:07:24,"PXLKPL1BUe4,fmm8JIR9mgM,IRJpIwBGT40,Xw1oEqL3uAs,o20IK34hnrc",2.717108,1011200,1011000
Climate Change,PXLKPL1BUe4,OrRb1nH2R6E,4,2021-12-11,538,-1,-1.0,5,2021-12-16 06:07:26,"xr4p7XyxnxQ,OrRb1nH2R6E,AeFEadspSyM,w9h-XQm2qEY,Xw1oEqL3uAs",2.727305,1011210,1011200
Climate Change,xr4p7XyxnxQ,PXLKPL1BUe4,5,2021-12-10,-1,-1,-1.0,0,2021-12-16 06:07:31,,4.684452,1011211,1011210
Climate Change,OrRb1nH2R6E,PXLKPL1BUe4,5,2021-12-15,44,-1,-1.0,0,2021-12-16 06:07:34,,2.841065,1011212,1011210
Climate Change,AeFEadspSyM,PXLKPL1BUe4,5,2021-12-11,-1,-1,-1.0,0,2021-12-16 06:07:37,,2.860125,1011213,1011210
Climate Change,w9h-XQm2qEY,PXLKPL1BUe4,5,2021-12-11,-1,-1,-1.0,0,2021-12-16 06:07:39,,2.691096,1011214,1011210
Climate Change,Xw1oEqL3uAs,PXLKPL1BUe4,5,2021-12-15,24,-1,-1.0,0,2021-12-16 06:07:42,,3.114907,1011215,1011210
Climate Change,fmm8JIR9mgM,OrRb1nH2R6E,4,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:07:45,"ryKXpIiRNig,IRJpIwBGT40,n068fel-W9I,7ivhjD-34kw,AeFEadspSyM",2.883968,1011220,1011200
Climate Change,ryKXpIiRNig,fmm8JIR9mgM,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:07:49,,3.29149,1011221,1011220
Climate Change,IRJpIwBGT40,fmm8JIR9mgM,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:07:51,,2.636866,1011222,1011220
Climate Change,n068fel-W9I,fmm8JIR9mgM,5,2021-01-15,-1,-1,-1.0,0,2021-12-16 06:07:54,,2.466566,1011223,1011220
Climate Change,7ivhjD-34kw,fmm8JIR9mgM,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:07:56,,2.670059,1011224,1011220
Climate Change,AeFEadspSyM,fmm8JIR9mgM,5,2021-12-11,-1,-1,-1.0,0,2021-12-16 06:07:59,,2.743524,1011225,1011220
Climate Change,IRJpIwBGT40,OrRb1nH2R6E,4,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:08:02,"dY5n7Bbzb1E,OrRb1nH2R6E,11jerPKO38M,7ivhjD-34kw,fmm8JIR9mgM",2.821149,1011230,1011200
Climate Change,dY5n7Bbzb1E,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:05,,2.51851,1011231,1011230
Climate Change,OrRb1nH2R6E,IRJpIwBGT40,5,2021-12-15,48,-1,-1.0,0,2021-12-16 06:08:07,,2.747538,1011232,1011230
Climate Change,11jerPKO38M,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:10,,2.717801,1011233,1011230
Climate Change,7ivhjD-34kw,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:13,,3.019882,1011234,1011230
Climate Change,fmm8JIR9mgM,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:16,,2.792204,1011235,1011230
Climate Change,Xw1oEqL3uAs,OrRb1nH2R6E,4,2021-12-15,26,-1,-1.0,5,2021-12-16 06:08:19,"vkY5ib356L8,o20IK34hnrc,MF1jJy1F-8I,c8qjgmJzNl8,XvbJLZxCSM8",3.080771,1011240,1011200
Climate Change,vkY5ib356L8,Xw1oEqL3uAs,5,2021-12-15,20,-1,-1.0,0,2021-12-16 06:08:22,,2.64412,1011241,1011240
Climate Change,o20IK34hnrc,Xw1oEqL3uAs,5,2021-12-14,-1,-1,-1.0,0,2021-12-16 06:08:25,,3.305674,1011242,1011240
Climate Change,MF1jJy1F-8I,Xw1oEqL3uAs,5,2021-12-05,-1,-1,-1.0,0,2021-12-16 06:08:30,,5.247695,1011243,1011240
Climate Change,c8qjgmJzNl8,Xw1oEqL3uAs,5,2021-06-07,-1,-1,-1.0,0,2021-12-16 06:08:37,,6.988294,1011244,1011240
Climate Change,XvbJLZxCSM8,Xw1oEqL3uAs,5,2021-12-09,-1,-1,-1.0,0,2021-12-16 06:08:41,,3.63865,1011245,1011240
Climate Change,o20IK34hnrc,OrRb1nH2R6E,4,2021-12-14,-1,-1,-1.0,5,2021-12-16 06:08:44,"40afj05WZM4,lsr7mPmSB6E,RgO7U-6pStQ,xOUOmW_PyaQ,RrX83iotEc8",3.007359,1011250,1011200
Climate Change,40afj05WZM4,o20IK34hnrc,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:47,,3.090945,1011251,1011250
Climate Change,lsr7mPmSB6E,o20IK34hnrc,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:50,,3.431652,1011252,1011250
Climate Change,RgO7U-6pStQ,o20IK34hnrc,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:08:53,,2.755635,1011253,1011250
Climate Change,xOUOmW_PyaQ,o20IK34hnrc,5,2021-12-14,-1,-1,-1.0,0,2021-12-16 06:08:56,,3.329064,1011254,1011250
Climate Change,RrX83iotEc8,o20IK34hnrc,5,2021-12-13,-1,-1,-1.0,0,2021-12-16 06:08:59,,2.589998,1011255,1011250
Climate Change,11jerPKO38M,IRJpIwBGT40,3,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:09:02,"IRJpIwBGT40,vKDYxbO8eFk,AeFEadspSyM,MT1ncXNgffQ,40afj05WZM4",2.735989,1011300,1011000
Climate Change,IRJpIwBGT40,11jerPKO38M,4,2021-12-15,-1,-1,-1.0,5,2021-12-16 06:09:05,"dY5n7Bbzb1E,OrRb1nH2R6E,11jerPKO38M,7ivhjD-34kw,fmm8JIR9mgM",2.810652,1011310,1011300
Climate Change,dY5n7Bbzb1E,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:09:07,,2.414398,1011311,1011310
Climate Change,OrRb1nH2R6E,IRJpIwBGT40,5,2021-12-15,51,-1,-1.0,0,2021-12-16 06:09:10,,2.686925,1011312,1011310
Climate Change,11jerPKO38M,IRJpIwBGT40,5,2021-12-15,-1,-1,-1.0,0,2021-12-16 06:09:12,,2.641906,1011313,1011310
