keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Cultural Appropriation,VQgF1f557YY,,0,2019-01-08,-1,-1,-1.0,5,2021-12-16 17:47:01,"EQC13yBJ9dA,yFGwmUCH9aI,-EvvPZFdjyk,meZLctPgV88,Av_3tGceTvs",2.803444,2000000,0
Cultural Appropriation,EQC13yBJ9dA,VQgF1f557YY,1,2018-11-06,-1,-1,-1.0,5,2021-12-16 17:47:04,"VQgF1f557YY,RGfmYsN2bLA,XDQr8ipwrVw,FdXU-Zg9pcM,GQ3oXdhyjYs",2.905902,2010000,2000000
Cultural Appropriation,VQgF1f557YY,EQC13yBJ9dA,2,2019-01-08,-1,-1,-1.0,5,2021-12-16 17:47:07,"EQC13yBJ9dA,meZLctPgV88,fvw7Q2eTR5I,yFGwmUCH9aI,Av_3tGceTvs",2.819221,2011000,2010000
Cultural Appropriation,EQC13yBJ9dA,VQgF1f557YY,3,2018-11-06,-1,-1,-1.0,5,2021-12-16 17:47:10,"VQgF1f557YY,RGfmYsN2bLA,Lj90KC7YxIA,FdXU-Zg9pcM,Sx2ZP4EyYuU",2.79342,2011100,2011000
Cultural Appropriation,VQgF1f557YY,EQC13yBJ9dA,4,2019-01-08,-1,-1,-1.0,5,2021-12-16 17:47:13,"EQC13yBJ9dA,meZLctPgV88,yFGwmUCH9aI,Av_3tGceTvs,fvw7Q2eTR5I",2.768367,2011110,2011100
Cultural Appropriation,EQC13yBJ9dA,VQgF1f557YY,5,2018-11-06,-1,-1,-1.0,0,2021-12-16 17:47:15,,2.818008,2011111,2011110
Cultural Appropriation,meZLctPgV88,VQgF1f557YY,5,2018-11-20,-1,-1,-1.0,0,2021-12-16 17:47:20,,4.543499,2011112,2011110
Cultural Appropriation,yFGwmUCH9aI,VQgF1f557YY,5,2017-12-27,-1,-1,-1.0,0,2021-12-16 17:47:23,,2.668721,2011113,2011110
Cultural Appropriation,Av_3tGceTvs,VQgF1f557YY,5,2019-11-12,-1,-1,-1.0,0,2021-12-16 17:47:25,,2.687977,2011114,2011110
Cultural Appropriation,fvw7Q2eTR5I,VQgF1f557YY,5,2019-02-26,-1,-1,-1.0,0,2021-12-16 17:47:28,,2.835385,2011115,2011110
