keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Donald Trump,0W9OYSuyB3k,,0,2021-12-06,-1,-1,4.7910666,5,2021-12-07 17:57:32,"zt6pyHRAT6w,ki4Fbctwnjs,SIW2-bH84u4,wk6Qr6OO5Xo,cUzklzVXJwo",3.122102,3000000,0
Donald Trump,zt6pyHRAT6w,0W9OYSuyB3k,1,2021-12-07,-1,-1,4.8646936,5,2021-12-07 17:57:35,"MShvpjQlAj4,zG7XZ2JXZqY,3ZIr8gwgY8A,wk6Qr6OO5Xo,_hfMNTnBM4I",3.018764,3010000,3000000
Donald Trump,MShvpjQlAj4,zt6pyHRAT6w,2,2021-12-07,66,-1,4.4736843,5,2021-12-07 17:57:38,"yxcP0iPy17U,RkS01lL8mhg,wk6Qr6OO5Xo,lc0S8ctvlYk,xE5sPPyH5G4",3.124334,3011000,3010000
Donald Trump,yxcP0iPy17U,MShvpjQlAj4,3,2021-12-06,429,-1,4.7304349,5,2021-12-07 17:57:41,"MShvpjQlAj4,erG1Adcy9q0,9wxsAgNBlVc,s-UEnDQBLxw,ki4Fbctwnjs",3.082928,3011100,3011000
Donald Trump,MShvpjQlAj4,yxcP0iPy17U,4,2021-12-07,66,-1,4.4736843,5,2021-12-07 17:57:44,"yxcP0iPy17U,RkS01lL8mhg,wk6Qr6OO5Xo,UM-Q_zpuJGU,lc0S8ctvlYk",2.881544,3011110,3011100
Donald Trump,yxcP0iPy17U,MShvpjQlAj4,5,2021-12-06,429,-1,4.7304349,0,2021-12-07 17:57:47,,3.114732,3011111,3011110
Donald Trump,RkS01lL8mhg,MShvpjQlAj4,5,2021-12-05,-1,-1,-1.0,0,2021-12-07 17:57:53,,5.596039,3011112,3011110
Donald Trump,wk6Qr6OO5Xo,MShvpjQlAj4,5,2020-05-23,-1,-1,4.9170842,0,2021-12-07 17:57:56,,2.798954,3011113,3011110
Donald Trump,UM-Q_zpuJGU,MShvpjQlAj4,5,2015-12-31,-1,-1,4.80198,0,2021-12-07 17:57:58,,2.563795,3011114,3011110
Donald Trump,lc0S8ctvlYk,MShvpjQlAj4,5,2021-12-02,-1,-1,4.9395452,0,2021-12-07 17:58:01,,2.516818,3011115,3011110
