keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Feminism,fXk7I_KUj4Q,,0,2019-09-03,-1,-1,-1.0,5,2021-12-17 04:43:48,"hg3umXU_qWc,3WMuzhQXJoY,LnJwH_PZXnM,v1ojZKWfShQ,4-079YIasck",2.57043,3000000,0
Feminism,hg3umXU_qWc,fXk7I_KUj4Q,1,2013-04-12,-1,-1,-1.0,5,2021-12-17 04:43:51,"OLQzz75yE5A,dpC2jGqu4G0,4-079YIasck,TFbv757kup4,-KysuBl2m_w",2.999566,3010000,3000000
Feminism,OLQzz75yE5A,hg3umXU_qWc,2,2017-12-19,-1,-1,-1.0,5,2021-12-17 04:43:54,"u4dc1axRwE4,7pdqKetNpsM,-aCn72iXO9s,qaeQ_uWBzNE,lo0X2ZdElQ4",2.693565,3011000,3010000
Feminism,u4dc1axRwE4,OLQzz75yE5A,3,2018-05-23,-1,-1,-1.0,5,2021-12-17 04:43:57,"twSvd5bQLDw,u5GCetbP7Fg,gF1fJ_cTcwk,4-079YIasck,rHTBQCpNm5o",2.663604,3011100,3011000
Feminism,twSvd5bQLDw,u4dc1axRwE4,4,2017-02-14,-1,-1,-1.0,5,2021-12-17 04:43:59,"MdZAMSyn_As,vuIlsN32WaE,H2rG4Dg6xyI,g6TUZm5wzLs,-U4Cq-dgNnw",2.600401,3011110,3011100
Feminism,MdZAMSyn_As,twSvd5bQLDw,5,2017-06-13,-1,-1,-1.0,0,2021-12-17 04:44:02,,2.36877,3011111,3011110
Feminism,vuIlsN32WaE,twSvd5bQLDw,5,2013-10-10,-1,-1,-1.0,0,2021-12-17 04:44:04,,2.926537,3011112,3011110
Feminism,H2rG4Dg6xyI,twSvd5bQLDw,5,2016-01-06,-1,-1,-1.0,0,2021-12-17 04:44:09,,4.514831,3011113,3011110
Feminism,g6TUZm5wzLs,twSvd5bQLDw,5,2019-03-14,-1,-1,-1.0,0,2021-12-17 04:44:12,,2.738614,3011114,3011110
Feminism,-U4Cq-dgNnw,twSvd5bQLDw,5,2018-03-06,-1,-1,-1.0,0,2021-12-17 04:44:14,,2.580978,3011115,3011110
Feminism,u5GCetbP7Fg,u4dc1axRwE4,4,2014-11-04,-1,-1,-1.0,5,2021-12-17 04:44:17,"wtV5ev6813I,N-yALPEpV4w,twSvd5bQLDw,_HGksy6OyQ0,4-079YIasck",2.556542,3011120,3011100
Feminism,wtV5ev6813I,u5GCetbP7Fg,5,2017-01-30,-1,-1,-1.0,0,2021-12-17 04:44:20,,2.596388,3011121,3011120
