keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Free Speech,Zeeq0qaEaLw,,0,2015-07-31,-1,-1,-1.0,5,2021-12-17 14:26:04,"Vtpd0EbaFoQ,n068fel-W9I,xAUJYP8tnRE,uT_GcOGEFsk,ntnmNhvnjzY",2.92341,4000000,0
Free Speech,Vtpd0EbaFoQ,Zeeq0qaEaLw,1,2015-08-07,-1,-1,-1.0,5,2021-12-17 14:26:07,"f6LKl4RKIew,kbwsF-A2sTg,-EvvPZFdjyk,-5RCmu-HuTg,j5v8D-alAKE",2.88545,4010000,4000000
Free Speech,f6LKl4RKIew,Vtpd0EbaFoQ,2,2016-01-23,-1,-1,-1.0,5,2021-12-17 14:26:10,"6F0g4N415uw,n068fel-W9I,NxO3s0U5WdY,VEmOUHxessE,6yLY06tTQ1A",2.791007,4011000,4010000
Free Speech,6F0g4N415uw,f6LKl4RKIew,3,2016-01-16,-1,-1,-1.0,5,2021-12-17 14:26:14,"f6LKl4RKIew,IlU-zDU6aQ0,uT_GcOGEFsk,n068fel-W9I,arj7oStGLkU",4.089056,4011100,4011000
Free Speech,f6LKl4RKIew,6F0g4N415uw,4,2016-01-23,-1,-1,-1.0,5,2021-12-17 14:26:17,"6F0g4N415uw,n068fel-W9I,uT_GcOGEFsk,NxO3s0U5WdY,VEmOUHxessE",2.787115,4011110,4011100
Free Speech,6F0g4N415uw,f6LKl4RKIew,5,2016-01-16,-1,-1,-1.0,0,2021-12-17 14:26:20,,2.986252,4011111,4011110
Free Speech,n068fel-W9I,f6LKl4RKIew,5,2021-01-15,-1,-1,-1.0,0,2021-12-17 14:26:22,,2.41609,4011112,4011110
Free Speech,uT_GcOGEFsk,f6LKl4RKIew,5,2018-03-28,-1,-1,-1.0,0,2021-12-17 14:26:27,,4.930372,4011113,4011110
Free Speech,NxO3s0U5WdY,f6LKl4RKIew,5,2013-03-25,557,-1,-1.0,0,2021-12-17 14:26:29,,2.317382,4011114,4011110
Free Speech,VEmOUHxessE,f6LKl4RKIew,5,2015-12-04,-1,-1,-1.0,0,2021-12-17 14:26:32,,2.614801,4011115,4011110
Free Speech,IlU-zDU6aQ0,6F0g4N415uw,4,2011-07-22,-1,-1,-1.0,5,2021-12-17 14:26:35,"vtIzMaLkCaM,64f0T843yQ4,uT_GcOGEFsk,Unzc731iCUY,YJQSuUZdcV4",2.734817,4011120,4011100
Free Speech,vtIzMaLkCaM,IlU-zDU6aQ0,5,2014-06-26,-1,-1,-1.0,0,2021-12-17 14:26:50,,15.433129,4011121,4011120
Free Speech,64f0T843yQ4,IlU-zDU6aQ0,5,2011-07-08,-1,-1,-1.0,0,2021-12-17 14:26:57,,6.832679,4011122,4011120
Free Speech,uT_GcOGEFsk,IlU-zDU6aQ0,5,2018-03-28,-1,-1,-1.0,0,2021-12-17 14:27:02,,4.898474,4011123,4011120
Free Speech,Unzc731iCUY,IlU-zDU6aQ0,5,2019-12-20,-1,-1,-1.0,0,2021-12-17 14:27:04,,2.479417,4011124,4011120
Free Speech,YJQSuUZdcV4,IlU-zDU6aQ0,5,2019-11-14,-1,-1,-1.0,0,2021-12-17 14:27:07,,2.801057,4011125,4011120
Free Speech,uT_GcOGEFsk,6F0g4N415uw,5,2018-03-28,-1,-1,-1.0,0,2021-12-17 14:27:19,,11.840653,4011130,4011100
Free Speech,n068fel-W9I,6F0g4N415uw,4,2021-01-15,-1,-1,-1.0,5,2021-12-17 14:27:22,"u-Ms5v20cVw,lZ3bPUKo5zc,Ijst4g5KFN0,XFJnWp1tAdU,OlQie93CwLY",2.510539,4011140,4011100
Free Speech,u-Ms5v20cVw,n068fel-W9I,5,2021-12-15,121,-1,-1.0,0,2021-12-17 14:27:24,,2.534808,4011141,4011140
Free Speech,lZ3bPUKo5zc,n068fel-W9I,5,2014-06-18,-1,-1,-1.0,0,2021-12-17 14:27:26,,2.295368,4011142,4011140
Free Speech,Ijst4g5KFN0,n068fel-W9I,5,2019-09-20,-1,-1,-1.0,0,2021-12-17 14:27:29,,2.341789,4011143,4011140
Free Speech,XFJnWp1tAdU,n068fel-W9I,5,2021-07-30,-1,-1,-1.0,0,2021-12-17 14:27:32,,2.719273,4011144,4011140
Free Speech,OlQie93CwLY,n068fel-W9I,5,2020-04-27,714,-1,-1.0,0,2021-12-17 14:27:34,,2.303919,4011145,4011140
Free Speech,arj7oStGLkU,6F0g4N415uw,4,2016-04-06,-1,-1,-1.0,5,2021-12-17 14:27:37,"nvkgqt-hkEg,b7id4rzgKIM,pni_kDv9BsU,MfTv8dwGpwI,-EvvPZFdjyk",3.100885,4011150,4011100
Free Speech,nvkgqt-hkEg,arj7oStGLkU,5,2021-12-16,983,-1,-1.0,0,2021-12-17 14:27:40,,2.925748,4011151,4011150
Free Speech,b7id4rzgKIM,arj7oStGLkU,5,2020-01-04,-1,-1,-1.0,0,2021-12-17 14:27:43,,2.841165,4011152,4011150
Free Speech,pni_kDv9BsU,arj7oStGLkU,5,2016-02-09,-1,-1,-1.0,0,2021-12-17 14:27:45,,2.601491,4011153,4011150
Free Speech,MfTv8dwGpwI,arj7oStGLkU,5,2019-11-12,-1,-1,-1.0,0,2021-12-17 14:27:48,,2.705157,4011154,4011150
Free Speech,-EvvPZFdjyk,arj7oStGLkU,5,2017-08-13,-1,-1,-1.0,0,2021-12-17 14:27:51,,2.921539,4011155,4011150
Free Speech,n068fel-W9I,f6LKl4RKIew,3,2021-01-15,-1,-1,-1.0,5,2021-12-17 14:27:53,"u-Ms5v20cVw,Unzc731iCUY,Ijst4g5KFN0,QxXeq_dAyr0,XFJnWp1tAdU",2.371027,4011200,4011000
Free Speech,u-Ms5v20cVw,n068fel-W9I,4,2021-12-15,121,-1,-1.0,5,2021-12-17 14:27:56,"b3szQPSRfjY,I5wt3eE5Q5I,MTo6LpDUBY4,lSD_vpfikbE,-EvvPZFdjyk",2.446722,4011210,4011200
Free Speech,b3szQPSRfjY,u-Ms5v20cVw,5,2021-12-01,247,-1,-1.0,0,2021-12-17 14:27:58,,2.402578,4011211,4011210
Free Speech,I5wt3eE5Q5I,u-Ms5v20cVw,5,2021-12-15,64,-1,-1.0,0,2021-12-17 14:28:03,,4.610172,4011212,4011210
Free Speech,MTo6LpDUBY4,u-Ms5v20cVw,5,2021-12-15,296,-1,-1.0,0,2021-12-17 14:28:10,,6.990743,4011213,4011210
Free Speech,lSD_vpfikbE,u-Ms5v20cVw,5,2021-12-06,-1,-1,-1.0,0,2021-12-17 14:28:13,,2.86715,4011214,4011210
Free Speech,-EvvPZFdjyk,u-Ms5v20cVw,5,2017-08-13,-1,-1,-1.0,0,2021-12-17 14:28:16,,2.924154,4011215,4011210
Free Speech,Unzc731iCUY,n068fel-W9I,4,2019-12-20,-1,-1,-1.0,5,2021-12-17 14:28:18,"Cx5Z-OslNWE,vtIzMaLkCaM,wFTkQmPw2Gk,sJG-rXBbmCc,hFL6qRIJZ_Y",2.381858,4011220,4011200
Free Speech,Cx5Z-OslNWE,Unzc731iCUY,5,2019-05-16,-1,-1,-1.0,0,2021-12-17 14:28:25,,6.485794,4011221,4011220
Free Speech,vtIzMaLkCaM,Unzc731iCUY,5,2014-06-26,-1,-1,-1.0,0,2021-12-17 14:28:33,,8.014697,4011222,4011220
Free Speech,wFTkQmPw2Gk,Unzc731iCUY,5,2017-10-23,-1,-1,-1.0,0,2021-12-17 14:28:35,,2.31136,4011223,4011220
Free Speech,sJG-rXBbmCc,Unzc731iCUY,5,2015-02-11,-1,-1,-1.0,0,2021-12-17 14:28:38,,2.817661,4011224,4011220
Free Speech,hFL6qRIJZ_Y,Unzc731iCUY,5,2021-09-13,-1,-1,-1.0,0,2021-12-17 14:28:41,,3.35589,4011225,4011220
Free Speech,Ijst4g5KFN0,n068fel-W9I,4,2019-09-20,-1,-1,-1.0,5,2021-12-17 14:28:44,"7LyvAVjQUR8,n068fel-W9I,q3d3rzFTrLg,lZ3bPUKo5zc,hbmf0bB38h0",2.407656,4011230,4011200
Free Speech,7LyvAVjQUR8,Ijst4g5KFN0,5,2019-09-20,-1,-1,-1.0,0,2021-12-17 14:28:46,,2.249501,4011231,4011230
Free Speech,n068fel-W9I,Ijst4g5KFN0,5,2021-01-15,-1,-1,-1.0,0,2021-12-17 14:28:48,,2.345415,4011232,4011230
Free Speech,q3d3rzFTrLg,Ijst4g5KFN0,5,2019-06-08,-1,-1,-1.0,0,2021-12-17 14:28:51,,2.82114,4011233,4011230
Free Speech,lZ3bPUKo5zc,Ijst4g5KFN0,5,2014-06-18,-1,-1,-1.0,0,2021-12-17 14:28:53,,2.366327,4011234,4011230
Free Speech,hbmf0bB38h0,Ijst4g5KFN0,5,2009-01-13,-1,-1,-1.0,0,2021-12-17 14:28:59,,6.12791,4011235,4011230
Free Speech,QxXeq_dAyr0,n068fel-W9I,4,2021-11-04,-1,-1,-1.0,5,2021-12-17 14:29:04,"-_tsCrBMue4,JJVrW9UGnrw,Pj2bj2MdDKs,DPHGUQrixWc,v1Nn6rBuK5s",4.784727,4011240,4011200
Free Speech,-_tsCrBMue4,QxXeq_dAyr0,5,2021-10-28,-1,-1,-1.0,0,2021-12-17 14:29:07,,2.515077,4011241,4011240
Free Speech,JJVrW9UGnrw,QxXeq_dAyr0,5,2021-10-31,-1,-1,-1.0,0,2021-12-17 14:29:10,,2.765435,4011242,4011240
Free Speech,Pj2bj2MdDKs,QxXeq_dAyr0,5,2021-04-08,-1,-1,-1.0,0,2021-12-17 14:29:12,,2.628622,4011243,4011240
Free Speech,DPHGUQrixWc,QxXeq_dAyr0,5,2021-07-08,-1,-1,-1.0,0,2021-12-17 14:29:15,,2.973484,4011244,4011240
Free Speech,v1Nn6rBuK5s,QxXeq_dAyr0,5,2021-11-11,-1,-1,-1.0,0,2021-12-17 14:29:22,,7.172685,4011245,4011240
Free Speech,XFJnWp1tAdU,n068fel-W9I,4,2021-07-30,-1,-1,-1.0,5,2021-12-17 14:29:25,"RXXMJAU6vY8,g3Ud6mHdhlQ,p1PgNbgWSyY,wLlL46pYcg4,QlTf5X0MKbg",2.783332,4011250,4011200
Free Speech,RXXMJAU6vY8,XFJnWp1tAdU,5,2020-07-26,-1,-1,-1.0,0,2021-12-17 14:29:30,,5.261629,4011251,4011250
Free Speech,g3Ud6mHdhlQ,XFJnWp1tAdU,5,2021-02-21,-1,-1,-1.0,0,2021-12-17 14:29:33,,3.016868,4011252,4011250
Free Speech,p1PgNbgWSyY,XFJnWp1tAdU,5,2020-05-18,-1,-1,-1.0,0,2021-12-17 14:29:39,,5.236303,4011253,4011250
