keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Gavin Newson,YQfonDWmgi8,,0,2021-12-22,23,-1,-1.0,5,2021-12-23 22:59:36,"hInxzaQFMN0,EseFbug7cMg,84XMFVcLScw,o-LEpiFFoa8,53g5_kh3pvg",2.541901,6000000,0
Gavin Newson,hInxzaQFMN0,YQfonDWmgi8,1,2021-12-20,-1,-1,-1.0,5,2021-12-23 22:59:39,"6T17HEy38tQ,ZkrQjYdNeNk,gOLoF3VpVPM,Rcu7SPgy6-s,5d2J5hkI68Y",2.57038,6010000,6000000
Gavin Newson,6T17HEy38tQ,hInxzaQFMN0,2,2021-12-23,936,-1,-1.0,5,2021-12-23 22:59:41,"ZkrQjYdNeNk,wHkqFPMSrik,sv9XpKAb6nM,hInxzaQFMN0,MqPlncrypVI",2.450773,6011000,6010000
Gavin Newson,ZkrQjYdNeNk,6T17HEy38tQ,3,2021-12-23,-1,-1,-1.0,5,2021-12-23 22:59:44,"9ly-Cp4u3nE,q7K3GFmZ1mE,gOLoF3VpVPM,mFjezy6X9xM,MqPlncrypVI",2.565585,6011100,6011000
Gavin Newson,9ly-Cp4u3nE,ZkrQjYdNeNk,4,2021-12-22,-1,-1,-1.0,5,2021-12-23 22:59:47,"wHkqFPMSrik,ZkrQjYdNeNk,34FjwuYa91o,gOLoF3VpVPM,V5g9AVqRsjo",2.67014,6011110,6011100
Gavin Newson,wHkqFPMSrik,9ly-Cp4u3nE,5,2021-12-23,479,-1,-1.0,0,2021-12-23 22:59:49,,2.496275,6011111,6011110
Gavin Newson,ZkrQjYdNeNk,9ly-Cp4u3nE,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 22:59:52,,2.600244,6011112,6011110
Gavin Newson,34FjwuYa91o,9ly-Cp4u3nE,5,2021-12-21,-1,-1,-1.0,0,2021-12-23 22:59:54,,2.604923,6011113,6011110
Gavin Newson,gOLoF3VpVPM,9ly-Cp4u3nE,5,2021-12-20,-1,-1,-1.0,0,2021-12-23 22:59:57,,2.543756,6011114,6011110
Gavin Newson,V5g9AVqRsjo,9ly-Cp4u3nE,5,2021-11-17,-1,-1,-1.0,0,2021-12-23 23:00:00,,2.720204,6011115,6011110
Gavin Newson,q7K3GFmZ1mE,ZkrQjYdNeNk,4,2021-12-23,-1,-1,-1.0,5,2021-12-23 23:00:03,"6T17HEy38tQ,ZkrQjYdNeNk,gOLoF3VpVPM,pz721a1QHI8,MqPlncrypVI",2.808319,6011120,6011100
Gavin Newson,6T17HEy38tQ,q7K3GFmZ1mE,5,2021-12-23,937,-1,-1.0,0,2021-12-23 23:00:06,,3.035258,6011121,6011120
Gavin Newson,ZkrQjYdNeNk,q7K3GFmZ1mE,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:00:10,,4.52671,6011122,6011120
Gavin Newson,gOLoF3VpVPM,q7K3GFmZ1mE,5,2021-12-20,-1,-1,-1.0,0,2021-12-23 23:00:13,,2.638494,6011123,6011120
Gavin Newson,pz721a1QHI8,q7K3GFmZ1mE,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:00:16,,2.754528,6011124,6011120
Gavin Newson,MqPlncrypVI,q7K3GFmZ1mE,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:00:20,,4.18244,6011125,6011120
Gavin Newson,gOLoF3VpVPM,ZkrQjYdNeNk,4,2021-12-20,-1,-1,-1.0,5,2021-12-23 23:00:22,"wHkqFPMSrik,9ly-Cp4u3nE,sv9XpKAb6nM,ZkrQjYdNeNk,mFjezy6X9xM",2.574077,6011130,6011100
Gavin Newson,wHkqFPMSrik,gOLoF3VpVPM,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:00:27,,5.072016,6011131,6011130
Gavin Newson,9ly-Cp4u3nE,gOLoF3VpVPM,5,2021-12-22,-1,-1,-1.0,0,2021-12-23 23:00:32,,4.57376,6011132,6011130
Gavin Newson,sv9XpKAb6nM,gOLoF3VpVPM,5,2021-12-22,-1,-1,-1.0,0,2021-12-23 23:00:35,,2.77139,6011133,6011130
Gavin Newson,ZkrQjYdNeNk,gOLoF3VpVPM,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:00:37,,2.503204,6011134,6011130
Gavin Newson,mFjezy6X9xM,gOLoF3VpVPM,5,2021-12-20,-1,-1,-1.0,0,2021-12-23 23:00:40,,2.67461,6011135,6011130
Gavin Newson,mFjezy6X9xM,ZkrQjYdNeNk,5,2021-12-20,-1,-1,-1.0,0,2021-12-23 23:00:50,,10.106078,6011140,6011100
Gavin Newson,MqPlncrypVI,ZkrQjYdNeNk,4,2021-12-23,-1,-1,-1.0,5,2021-12-23 23:00:53,"7tYiz2zP42c,ZkrQjYdNeNk,n068fel-W9I,3RkhZgRNC1k,1Llb3kTS2tM",2.634606,6011150,6011100
Gavin Newson,7tYiz2zP42c,MqPlncrypVI,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:00:58,,4.950595,6011151,6011150
Gavin Newson,ZkrQjYdNeNk,MqPlncrypVI,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:01:00,,2.421925,6011152,6011150
Gavin Newson,n068fel-W9I,MqPlncrypVI,5,2021-01-15,-1,-1,-1.0,0,2021-12-23 23:01:03,,2.528707,6011153,6011150
Gavin Newson,3RkhZgRNC1k,MqPlncrypVI,5,2020-03-24,-1,-1,-1.0,0,2021-12-23 23:01:06,,3.190508,6011154,6011150
Gavin Newson,1Llb3kTS2tM,MqPlncrypVI,5,2021-12-21,-1,-1,-1.0,0,2021-12-23 23:01:11,,4.682104,6011155,6011150
Gavin Newson,wHkqFPMSrik,6T17HEy38tQ,3,2021-12-23,486,-1,-1.0,5,2021-12-23 23:01:13,"6T17HEy38tQ,ZkrQjYdNeNk,gOLoF3VpVPM,MqPlncrypVI,9ly-Cp4u3nE",2.527807,6011200,6011000
Gavin Newson,6T17HEy38tQ,wHkqFPMSrik,4,2021-12-23,942,-1,-1.0,5,2021-12-23 23:01:16,"ZkrQjYdNeNk,wHkqFPMSrik,gOLoF3VpVPM,q7K3GFmZ1mE,1Llb3kTS2tM",2.505874,6011210,6011200
Gavin Newson,ZkrQjYdNeNk,6T17HEy38tQ,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:01:18,,2.40046,6011211,6011210
Gavin Newson,wHkqFPMSrik,6T17HEy38tQ,5,2021-12-23,486,-1,-1.0,0,2021-12-23 23:01:20,,2.46951,6011212,6011210
Gavin Newson,gOLoF3VpVPM,6T17HEy38tQ,5,2021-12-20,-1,-1,-1.0,0,2021-12-23 23:01:23,,2.503462,6011213,6011210
Gavin Newson,q7K3GFmZ1mE,6T17HEy38tQ,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:01:26,,2.535673,6011214,6011210
Gavin Newson,1Llb3kTS2tM,6T17HEy38tQ,5,2021-12-21,-1,-1,-1.0,0,2021-12-23 23:01:28,,2.726844,6011215,6011210
Gavin Newson,ZkrQjYdNeNk,wHkqFPMSrik,4,2021-12-23,-1,-1,-1.0,5,2021-12-23 23:01:33,"9ly-Cp4u3nE,MqPlncrypVI,gOLoF3VpVPM,q7K3GFmZ1mE,lJE7Tc8YGsc",4.787573,6011220,6011200
Gavin Newson,9ly-Cp4u3nE,ZkrQjYdNeNk,5,2021-12-22,-1,-1,-1.0,0,2021-12-23 23:01:36,,2.546615,6011221,6011220
Gavin Newson,MqPlncrypVI,ZkrQjYdNeNk,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:01:38,,2.706316,6011222,6011220
Gavin Newson,gOLoF3VpVPM,ZkrQjYdNeNk,5,2021-12-20,-1,-1,-1.0,0,2021-12-23 23:01:41,,2.709318,6011223,6011220
Gavin Newson,q7K3GFmZ1mE,ZkrQjYdNeNk,5,2021-12-23,-1,-1,-1.0,0,2021-12-23 23:01:44,,2.580861,6011224,6011220
Gavin Newson,lJE7Tc8YGsc,ZkrQjYdNeNk,5,2021-12-19,-1,-1,-1.0,0,2021-12-23 23:01:48,,4.715204,6011225,6011220
Gavin Newson,gOLoF3VpVPM,wHkqFPMSrik,4,2021-12-20,-1,-1,-1.0,5,2021-12-23 23:01:51,"wHkqFPMSrik,sv9XpKAb6nM,9ly-Cp4u3nE,mFjezy6X9xM,ZkrQjYdNeNk",2.568111,6011230,6011200
