keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Gun Control,tkHZTHBvhws,,0,2021-03-12,-1,-1,-1.0,5,2021-12-18 04:28:42,"wX2PwXMZ638,HCXx5Eb4FDc,Osbwd6d66wA,ENw2y0ek1Jg,QtsrsQot1Oo",3.239828,5000000,0
Gun Control,wX2PwXMZ638,tkHZTHBvhws,1,2021-12-17,-1,-1,-1.0,5,2021-12-18 04:28:44,"BimRiOcCCp0,04-1q3fjDfY,Wehsz38P74g,W79ctTBoE-4,JC9VgxiYM4I",2.62307,5010000,5000000
Gun Control,BimRiOcCCp0,wX2PwXMZ638,2,2021-12-17,13,-1,-1.0,5,2021-12-18 04:28:47,"wX2PwXMZ638,0CId7LaQiPY,vjPtg_UnRAI,n068fel-W9I,Wehsz38P74g",3.14066,5011000,5010000
Gun Control,wX2PwXMZ638,BimRiOcCCp0,3,2021-12-17,-1,-1,-1.0,5,2021-12-18 04:28:50,"BimRiOcCCp0,0CId7LaQiPY,8A42PYVlkfU,W79ctTBoE-4,900RI970PJo",2.54999,5011100,5011000
Gun Control,BimRiOcCCp0,wX2PwXMZ638,4,2021-12-17,13,-1,-1.0,5,2021-12-18 04:28:53,"wX2PwXMZ638,n068fel-W9I,Wehsz38P74g,vjPtg_UnRAI,8gvX54xuYAY",3.082937,5011110,5011100
Gun Control,wX2PwXMZ638,BimRiOcCCp0,5,2021-12-17,-1,-1,-1.0,0,2021-12-18 04:28:56,,2.565153,5011111,5011110
Gun Control,n068fel-W9I,BimRiOcCCp0,5,2021-01-15,-1,-1,-1.0,0,2021-12-18 04:28:58,,2.496093,5011112,5011110
Gun Control,Wehsz38P74g,BimRiOcCCp0,5,2021-12-15,-1,-1,-1.0,0,2021-12-18 04:29:01,,2.911031,5011113,5011110
Gun Control,vjPtg_UnRAI,BimRiOcCCp0,5,2021-12-16,365,-1,-1.0,0,2021-12-18 04:29:04,,3.248553,5011114,5011110
Gun Control,8gvX54xuYAY,BimRiOcCCp0,5,2021-12-17,727,-1,-1.0,0,2021-12-18 04:29:07,,2.657045,5011115,5011110
Gun Control,0CId7LaQiPY,wX2PwXMZ638,4,2021-12-17,50,-1,-1.0,5,2021-12-18 04:29:10,"BimRiOcCCp0,wX2PwXMZ638,04-1q3fjDfY,n068fel-W9I,8gvX54xuYAY",3.218473,5011120,5011100
Gun Control,BimRiOcCCp0,0CId7LaQiPY,5,2021-12-17,14,-1,-1.0,0,2021-12-18 04:29:13,,3.18206,5011121,5011120
Gun Control,wX2PwXMZ638,0CId7LaQiPY,5,2021-12-17,-1,-1,-1.0,0,2021-12-18 04:29:16,,2.584212,5011122,5011120
