keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Ilhan Omar,AMJuCtlxe0M,,0,2021-12-01,480,-1,4.3982301,5,2021-12-11 07:05:52,"SXMcu939dcQ,BXgQZXQnfhA,shPwW11MEHg,cJJUFIQhZuE,nX31vaGpmzE",2.464859,5000000,0
Ilhan Omar,SXMcu939dcQ,AMJuCtlxe0M,5,2021-09-10,-1,-1,-1.0,0,2021-12-11 07:06:31,,39.651109,5010000,5000000
Ilhan Omar,BXgQZXQnfhA,AMJuCtlxe0M,1,2021-12-10,-1,-1,4.9347739,5,2021-12-11 07:06:34,"10h1VHY8NFM,my9bw0QKlaM,x-WhRhZvR5s,H3cN0LkLEbo,nSZPnwlfnVg",2.70422,5020000,5000000
Ilhan Omar,10h1VHY8NFM,BXgQZXQnfhA,2,2021-12-10,-1,-1,4.9721165,5,2021-12-11 07:06:37,"BXgQZXQnfhA,b08Hi3kBpSs,my9bw0QKlaM,x-WhRhZvR5s,QabAtYBnqro",2.815625,5021000,5020000
Ilhan Omar,BXgQZXQnfhA,10h1VHY8NFM,3,2021-12-10,-1,-1,4.9347739,5,2021-12-11 07:06:39,"10h1VHY8NFM,my9bw0QKlaM,b08Hi3kBpSs,-zkf58UepKM,H3cN0LkLEbo",2.612138,5021100,5021000
Ilhan Omar,10h1VHY8NFM,BXgQZXQnfhA,4,2021-12-10,-1,-1,4.9721341,5,2021-12-11 07:06:42,"BXgQZXQnfhA,my9bw0QKlaM,b08Hi3kBpSs,fRQCCddYjzk,QabAtYBnqro",2.56123,5021110,5021100
Ilhan Omar,BXgQZXQnfhA,10h1VHY8NFM,5,2021-12-10,-1,-1,4.9347739,0,2021-12-11 07:06:45,,2.661047,5021111,5021110
Ilhan Omar,my9bw0QKlaM,10h1VHY8NFM,5,2021-12-10,-1,-1,4.954258,0,2021-12-11 07:06:47,,2.642181,5021112,5021110
Ilhan Omar,b08Hi3kBpSs,10h1VHY8NFM,5,2021-12-08,-1,-1,4.9032588,0,2021-12-11 07:06:54,,7.185419,5021113,5021110
Ilhan Omar,fRQCCddYjzk,10h1VHY8NFM,5,2021-12-10,-1,-1,4.9626994,0,2021-12-11 07:06:57,,2.645394,5021114,5021110
