keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Immigration,u2FnGjboll0,,0,2021-12-18,122,-1,-1.0,5,2021-12-19 03:40:58,"yOexTSd47fc,s75zch_nR0I,4L_hsGqxRV0,IRJpIwBGT40,7rQHlft5jFw",3.016363,2000000,0
Immigration,yOexTSd47fc,u2FnGjboll0,1,2021-12-18,-1,-1,-1.0,5,2021-12-19 03:41:01,"s75zch_nR0I,7yftApd5d84,rl89Y9SoPDQ,djBCEdy6YZQ,4qe4dPxyqxU",2.574794,2010000,2000000
Immigration,s75zch_nR0I,yOexTSd47fc,2,2021-12-18,-1,-1,-1.0,5,2021-12-19 03:41:04,"yOexTSd47fc,MxeC1g_z0Bs,4L_hsGqxRV0,zZ9fTQOp5Z0,vvRr6Ws3fog",2.638696,2011000,2010000
Immigration,yOexTSd47fc,s75zch_nR0I,3,2021-12-18,-1,-1,-1.0,5,2021-12-19 03:41:06,"s75zch_nR0I,7yftApd5d84,rl89Y9SoPDQ,dafdENgzkts,4qe4dPxyqxU",2.540139,2011100,2011000
Immigration,s75zch_nR0I,yOexTSd47fc,4,2021-12-18,-1,-1,-1.0,5,2021-12-19 03:41:09,"yOexTSd47fc,MxeC1g_z0Bs,4L_hsGqxRV0,zZ9fTQOp5Z0,dafdENgzkts",2.807706,2011110,2011100
Immigration,yOexTSd47fc,s75zch_nR0I,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:41:12,,2.679559,2011111,2011110
Immigration,MxeC1g_z0Bs,s75zch_nR0I,5,2021-12-17,984,-1,-1.0,0,2021-12-19 03:41:15,,3.27586,2011112,2011110
Immigration,4L_hsGqxRV0,s75zch_nR0I,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:41:17,,2.345321,2011113,2011110
Immigration,zZ9fTQOp5Z0,s75zch_nR0I,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:41:20,,3.196775,2011114,2011110
Immigration,dafdENgzkts,s75zch_nR0I,5,2021-12-15,-1,-1,-1.0,0,2021-12-19 03:41:23,,2.679552,2011115,2011110
Immigration,7yftApd5d84,yOexTSd47fc,4,2021-12-17,-1,-1,-1.0,5,2021-12-19 03:41:26,"s75zch_nR0I,Wxd9E-jhojw,4L_hsGqxRV0,vvRr6Ws3fog,0uRCVyJ7-0c",3.178687,2011120,2011100
Immigration,s75zch_nR0I,7yftApd5d84,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:41:29,,2.715156,2011121,2011120
Immigration,Wxd9E-jhojw,7yftApd5d84,5,2021-12-17,920,-1,-1.0,0,2021-12-19 03:41:32,,3.055092,2011122,2011120
Immigration,4L_hsGqxRV0,7yftApd5d84,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:41:35,,2.358518,2011123,2011120
Immigration,vvRr6Ws3fog,7yftApd5d84,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:41:38,,3.383124,2011124,2011120
Immigration,0uRCVyJ7-0c,7yftApd5d84,5,2013-12-12,-1,-1,-1.0,0,2021-12-19 03:41:40,,2.494868,2011125,2011120
Immigration,rl89Y9SoPDQ,yOexTSd47fc,4,2021-12-16,-1,-1,-1.0,5,2021-12-19 03:41:43,"s75zch_nR0I,OZXRAQw9kyE,Wehsz38P74g,LnJwH_PZXnM,vvRr6Ws3fog",3.045535,2011130,2011100
Immigration,s75zch_nR0I,rl89Y9SoPDQ,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:41:46,,2.769329,2011131,2011130
Immigration,OZXRAQw9kyE,rl89Y9SoPDQ,5,2015-03-24,-1,-1,-1.0,0,2021-12-19 03:41:49,,2.353579,2011132,2011130
Immigration,Wehsz38P74g,rl89Y9SoPDQ,5,2021-12-15,-1,-1,-1.0,0,2021-12-19 03:41:54,,5.028393,2011133,2011130
Immigration,LnJwH_PZXnM,rl89Y9SoPDQ,5,2020-03-04,-1,-1,-1.0,0,2021-12-19 03:41:56,,2.627521,2011134,2011130
Immigration,vvRr6Ws3fog,rl89Y9SoPDQ,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:41:59,,3.133053,2011135,2011130
Immigration,dafdENgzkts,yOexTSd47fc,4,2021-12-15,-1,-1,-1.0,5,2021-12-19 03:42:02,"R3lnAStPiBU,d0So7evdAl0,Ufuag2Vpa98,MNq5c1Rj0tk,42iygMd88mY",2.720732,2011140,2011100
Immigration,R3lnAStPiBU,dafdENgzkts,5,2021-12-13,-1,-1,-1.0,0,2021-12-19 03:42:05,,2.69224,2011141,2011140
Immigration,d0So7evdAl0,dafdENgzkts,5,2019-12-20,-1,-1,-1.0,0,2021-12-19 03:42:08,,2.68317,2011142,2011140
Immigration,Ufuag2Vpa98,dafdENgzkts,5,2021-12-14,-1,-1,-1.0,0,2021-12-19 03:42:15,,7.047007,2011143,2011140
Immigration,MNq5c1Rj0tk,dafdENgzkts,5,2021-09-15,-1,-1,-1.0,0,2021-12-19 03:42:17,,2.696469,2011144,2011140
Immigration,42iygMd88mY,dafdENgzkts,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:42:23,,5.892924,2011145,2011140
Immigration,4qe4dPxyqxU,yOexTSd47fc,4,2021-12-18,783,-1,-1.0,5,2021-12-19 03:42:26,"7FWV6ASq764,4L_hsGqxRV0,n068fel-W9I,q6i5eMM11G4,rl89Y9SoPDQ",2.640778,2011150,2011100
Immigration,7FWV6ASq764,4qe4dPxyqxU,5,2021-12-18,894,-1,-1.0,0,2021-12-19 03:42:29,,3.329526,2011151,2011150
Immigration,4L_hsGqxRV0,4qe4dPxyqxU,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:42:32,,2.310871,2011152,2011150
Immigration,n068fel-W9I,4qe4dPxyqxU,5,2021-01-15,-1,-1,-1.0,0,2021-12-19 03:42:34,,2.483641,2011153,2011150
Immigration,q6i5eMM11G4,4qe4dPxyqxU,5,2021-12-01,-1,-1,-1.0,0,2021-12-19 03:42:37,,2.688424,2011154,2011150
Immigration,rl89Y9SoPDQ,4qe4dPxyqxU,5,2021-12-16,-1,-1,-1.0,0,2021-12-19 03:42:40,,3.127175,2011155,2011150
Immigration,MxeC1g_z0Bs,s75zch_nR0I,3,2021-12-17,984,-1,-1.0,5,2021-12-19 03:42:43,"zZ9fTQOp5Z0,s75zch_nR0I,4L_hsGqxRV0,vvRr6Ws3fog,CoWYFMGmjEM",3.082478,2011200,2011000
Immigration,zZ9fTQOp5Z0,MxeC1g_z0Bs,4,2021-12-17,-1,-1,-1.0,5,2021-12-19 03:42:46,"djBCEdy6YZQ,MKubYEbPL-Y,4L_hsGqxRV0,o5fdhfVrg1I,WXuK6gekU1Y",3.122883,2011210,2011200
Immigration,djBCEdy6YZQ,zZ9fTQOp5Z0,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:42:49,,3.05508,2011211,2011210
Immigration,MKubYEbPL-Y,zZ9fTQOp5Z0,5,2021-11-17,-1,-1,-1.0,0,2021-12-19 03:42:52,,3.266724,2011212,2011210
Immigration,4L_hsGqxRV0,zZ9fTQOp5Z0,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:42:55,,2.318436,2011213,2011210
Immigration,o5fdhfVrg1I,zZ9fTQOp5Z0,5,2020-03-05,-1,-1,-1.0,0,2021-12-19 03:42:58,,3.147129,2011214,2011210
Immigration,WXuK6gekU1Y,zZ9fTQOp5Z0,5,2020-03-13,-1,-1,-1.0,0,2021-12-19 03:43:00,,2.368685,2011215,2011210
Immigration,s75zch_nR0I,MxeC1g_z0Bs,4,2021-12-18,-1,-1,-1.0,5,2021-12-19 03:43:03,"yOexTSd47fc,MxeC1g_z0Bs,zZ9fTQOp5Z0,V0oaUpmXU24,IygdTw_-Bbs",2.769968,2011220,2011200
Immigration,yOexTSd47fc,s75zch_nR0I,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:43:06,,2.726313,2011221,2011220
Immigration,MxeC1g_z0Bs,s75zch_nR0I,5,2021-12-17,984,-1,-1.0,0,2021-12-19 03:43:09,,3.037438,2011222,2011220
Immigration,zZ9fTQOp5Z0,s75zch_nR0I,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:43:12,,3.058899,2011223,2011220
Immigration,V0oaUpmXU24,s75zch_nR0I,5,2021-12-18,149,-1,-1.0,0,2021-12-19 03:43:14,,2.510014,2011224,2011220
Immigration,IygdTw_-Bbs,s75zch_nR0I,5,2021-12-18,634,-1,-1.0,0,2021-12-19 03:43:17,,2.653362,2011225,2011220
Immigration,4L_hsGqxRV0,MxeC1g_z0Bs,4,2021-12-17,-1,-1,-1.0,5,2021-12-19 03:43:19,"H3RYVXTXUs4,sT7yZkh3d-E,Wehsz38P74g,Unzc731iCUY,3AhSNsBs2Y0",2.355995,2011230,2011200
Immigration,H3RYVXTXUs4,4L_hsGqxRV0,5,2021-12-16,323,-1,-1.0,0,2021-12-19 03:43:22,,2.6304,2011231,2011230
Immigration,sT7yZkh3d-E,4L_hsGqxRV0,5,2021-11-22,-1,-1,-1.0,0,2021-12-19 03:43:24,,2.272299,2011232,2011230
Immigration,Wehsz38P74g,4L_hsGqxRV0,5,2021-12-15,-1,-1,-1.0,0,2021-12-19 03:43:27,,3.003478,2011233,2011230
Immigration,Unzc731iCUY,4L_hsGqxRV0,5,2019-12-20,-1,-1,-1.0,0,2021-12-19 03:43:30,,2.406421,2011234,2011230
Immigration,3AhSNsBs2Y0,4L_hsGqxRV0,5,2013-10-30,-1,-1,-1.0,0,2021-12-19 03:43:32,,2.567677,2011235,2011230
Immigration,vvRr6Ws3fog,MxeC1g_z0Bs,4,2021-12-17,-1,-1,-1.0,5,2021-12-19 03:43:35,"s75zch_nR0I,4L_hsGqxRV0,m-LbbNP58nk,3G1EyvRZmOs,djBCEdy6YZQ",3.151429,2011240,2011200
Immigration,s75zch_nR0I,vvRr6Ws3fog,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:43:38,,2.816654,2011241,2011240
Immigration,4L_hsGqxRV0,vvRr6Ws3fog,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:43:41,,2.38121,2011242,2011240
Immigration,m-LbbNP58nk,vvRr6Ws3fog,5,2021-06-12,-1,-1,-1.0,0,2021-12-19 03:43:47,,6.018416,2011243,2011240
Immigration,3G1EyvRZmOs,vvRr6Ws3fog,5,2012-09-19,-1,-1,-1.0,0,2021-12-19 03:43:54,,7.425176,2011244,2011240
Immigration,djBCEdy6YZQ,vvRr6Ws3fog,5,2021-12-17,-1,-1,-1.0,0,2021-12-19 03:43:57,,3.158004,2011245,2011240
Immigration,CoWYFMGmjEM,MxeC1g_z0Bs,5,2021-12-18,-1,-1,-1.0,0,2021-12-19 03:44:12,,15.103408,2011250,2011200
Immigration,4L_hsGqxRV0,s75zch_nR0I,3,2021-12-17,-1,-1,-1.0,5,2021-12-19 03:44:15,"H3RYVXTXUs4,s75zch_nR0I,2Y47lVes1zM,AsE6c4XkiAc,Wehsz38P74g",2.355362,2011300,2011000
Immigration,H3RYVXTXUs4,4L_hsGqxRV0,4,2021-12-16,323,-1,-1.0,5,2021-12-19 03:44:17,"ldvU4l6i72Q,DpH9qr7ahvw,2Y47lVes1zM,w9h-XQm2qEY,fOGgng71nWE",2.473938,2011310,2011300
Immigration,ldvU4l6i72Q,H3RYVXTXUs4,5,2021-12-15,-1,-1,-1.0,0,2021-12-19 03:44:23,,5.687752,2011311,2011310
