keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Kyle Rittenhouse,5Ub4XqLgZGo,,0,2021-12-09,22,-1,4.6666665,5,2021-12-09 21:39:22,"6cjcBzplAnM,PhMjfsP7opo,AZC7Y_fPiWw,c_UuVV7fhMc,CNVZAQ9SkR8",2.976681,2000000,0
Kyle Rittenhouse,6cjcBzplAnM,5Ub4XqLgZGo,5,2021-12-09,-1,-1,-1.0,0,2021-12-09 21:40:01,,39.448135,2010000,2000000
Kyle Rittenhouse,PhMjfsP7opo,5Ub4XqLgZGo,5,,-1,-1,-1.0,0,2021-12-09 21:40:40,,38.381207,2020000,2000000
Kyle Rittenhouse,AZC7Y_fPiWw,5Ub4XqLgZGo,1,2021-12-02,-1,-1,4.929153,5,2021-12-09 21:40:43,"tvgkrD6kMG0,JNPqqcStfuc,Pw0ypSr1SGY,Bd8_vO5zrjo,6Vs2tdR-9C8",2.929702,2030000,2000000
Kyle Rittenhouse,tvgkrD6kMG0,AZC7Y_fPiWw,2,2021-12-09,711,-1,4.9499998,5,2021-12-09 21:40:45,"RD6rJMgPX0c,juOIYTYZ8CQ,viAzai5DGmU,AZC7Y_fPiWw,cxANxxiO3ZM",2.681555,2031000,2030000
Kyle Rittenhouse,RD6rJMgPX0c,tvgkrD6kMG0,3,2021-12-09,918,-1,4.8734179,5,2021-12-09 21:40:48,"tvgkrD6kMG0,Pw0ypSr1SGY,SR-6VuQaRMo,c_UuVV7fhMc,tawofYhXmYg",2.888518,2031100,2031000
Kyle Rittenhouse,tvgkrD6kMG0,RD6rJMgPX0c,4,2021-12-09,716,-1,4.950345,5,2021-12-09 21:40:51,"RD6rJMgPX0c,juOIYTYZ8CQ,EgJxGH8omno,cxANxxiO3ZM,viAzai5DGmU",2.835247,2031110,2031100
Kyle Rittenhouse,RD6rJMgPX0c,tvgkrD6kMG0,5,2021-12-09,919,30,4.8735509,0,2021-12-09 21:40:54,,2.969215,2031111,2031110
Kyle Rittenhouse,juOIYTYZ8CQ,tvgkrD6kMG0,5,2021-12-09,-1,-1,4.9424615,0,2021-12-09 21:40:57,,2.703205,2031112,2031110
Kyle Rittenhouse,EgJxGH8omno,tvgkrD6kMG0,5,2021-12-09,-1,-1,4.95439,0,2021-12-09 21:41:02,,4.797059,2031113,2031110
Kyle Rittenhouse,cxANxxiO3ZM,tvgkrD6kMG0,5,2021-12-08,-1,-1,4.9261761,0,2021-12-09 21:41:05,,3.069717,2031114,2031110
Kyle Rittenhouse,viAzai5DGmU,tvgkrD6kMG0,5,2021-12-09,-1,-1,4.9044652,0,2021-12-09 21:41:07,,2.560124,2031115,2031110
Kyle Rittenhouse,Pw0ypSr1SGY,RD6rJMgPX0c,4,2021-12-07,-1,-1,4.8915706,5,2021-12-09 21:41:10,"viAzai5DGmU,tvgkrD6kMG0,AZC7Y_fPiWw,jzM93bOSWNc,shPwW11MEHg",3.002813,2031120,2031100
Kyle Rittenhouse,viAzai5DGmU,Pw0ypSr1SGY,5,2021-12-09,-1,-1,4.9044652,0,2021-12-09 21:41:13,,2.576792,2031121,2031120
Kyle Rittenhouse,tvgkrD6kMG0,Pw0ypSr1SGY,5,2021-12-09,735,10,4.9463086,0,2021-12-09 21:41:16,,2.793102,2031122,2031120
Kyle Rittenhouse,AZC7Y_fPiWw,Pw0ypSr1SGY,5,2021-12-02,-1,-1,4.9291563,0,2021-12-09 21:41:19,,2.910835,2031123,2031120
Kyle Rittenhouse,jzM93bOSWNc,Pw0ypSr1SGY,5,2021-12-08,-1,-1,4.9374523,0,2021-12-09 21:41:22,,3.060553,2031124,2031120
