keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Lets go Brandon,cxCtJpPaU7Q,,2,2021-10-28,-1,-1,4.8138151,5,2021-12-09 14:36:33,"RV7oI_Z68Pk,5qap5aO4i9A,nhVfuacsLDw,H7inaTiDKaU,qod03PVTLqk",19.176969,1000000,0
Lets go Brandon,RV7oI_Z68Pk,cxCtJpPaU7Q,3,2021-10-01,-1,-1,4.8713565,5,2021-12-09 14:36:36,"fCMwlorNEZk,zCBNwGHPZ2M,lpOnPbIp-kk,9y4IAdZ8srA,nlM02ypeTRY",2.743328,1000100,1000000
Lets go Brandon,fCMwlorNEZk,RV7oI_Z68Pk,4,2021-06-04,-1,-1,4.7848053,5,2021-12-09 14:36:38,"2l6JUNFAJ9o,zCBNwGHPZ2M,RV7oI_Z68Pk,rQRww_yhVpQ,rvnE6IJZugA",2.725113,1000110,1000100
Lets go Brandon,2l6JUNFAJ9o,fCMwlorNEZk,5,2021-01-29,-1,-1,4.8491287,0,2021-12-09 14:36:41,,2.74261,1000111,1000110
Lets go Brandon,zCBNwGHPZ2M,fCMwlorNEZk,5,2021-08-13,-1,-1,4.9303546,0,2021-12-09 14:36:44,,2.972016,1000112,1000110
Lets go Brandon,RV7oI_Z68Pk,fCMwlorNEZk,5,2021-10-01,-1,-1,4.8713565,0,2021-12-09 14:36:47,,2.886082,1000113,1000110
Lets go Brandon,rQRww_yhVpQ,fCMwlorNEZk,5,2021-07-02,-1,-1,4.8261771,0,2021-12-09 14:36:55,,8.147552,1000114,1000110
Lets go Brandon,rvnE6IJZugA,fCMwlorNEZk,5,2021-11-09,-1,-1,4.8794303,0,2021-12-09 14:36:59,,3.340837,1000115,1000110
Lets go Brandon,zCBNwGHPZ2M,RV7oI_Z68Pk,4,2021-08-13,-1,-1,4.9303546,5,2021-12-09 14:37:03,"2l6JUNFAJ9o,AQXXh9dnqlA,-Ql8FdDtato,ZqHsHk0yG20,rvnE6IJZugA",4.759038,1000120,1000100
Lets go Brandon,2l6JUNFAJ9o,zCBNwGHPZ2M,5,2021-01-29,-1,-1,4.8491287,0,2021-12-09 14:37:12,,9.051683,1000121,1000120
