keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Nancy Pelosi,zF_ni85BV_Q,,5,2021-12-12,-1,-1,-1.0,0,2021-12-13 23:58:39,,50.863747,3000000,0
Nancy Pelosi,xxfSNhSrqLU,,0,2021-12-10,-1,-1,4.7514,5,2021-12-13 23:58:42,"wtxw5pzGeCY,uJ72C9eGdIU,6ok3BGYbrlc,ENe89j89tBA,j-9RyIJn0rA",2.819098,3000000,0
Nancy Pelosi,wtxw5pzGeCY,xxfSNhSrqLU,1,2021-12-10,596,-1,4.9535656,5,2021-12-13 23:58:45,"GfTCKA1elUw,yLBcM2SiKag,V8-djNylMSk,iqB30bK-uV0,jEQdoCHE0Gw",2.684488,3010000,3000000
Nancy Pelosi,GfTCKA1elUw,wtxw5pzGeCY,2,2021-12-10,838,-1,-1.0,5,2021-12-13 23:58:48,"zbsukaF3OvA,V8-djNylMSk,v9az2UhsXc0,jEQdoCHE0Gw,Yp_hIxT5wUA",2.626597,3011000,3010000
Nancy Pelosi,zbsukaF3OvA,GfTCKA1elUw,3,2021-12-13,-1,-1,4.8931131,5,2021-12-13 23:58:51,"qUuF9h3qkBI,Pei06JElI78,LKLcJ7Ss4qI,QEgalcH_-b4,0yHUSxVlbSE",3.490947,3011100,3011000
Nancy Pelosi,qUuF9h3qkBI,zbsukaF3OvA,4,2021-12-13,911,-1,4.935205,5,2021-12-13 23:58:54,"6-Vn1_Y_FBQ,b08Hi3kBpSs,kzeILI657xo,c_UuVV7fhMc,a8jcNBVWJyE",2.63238,3011110,3011100
Nancy Pelosi,6-Vn1_Y_FBQ,qUuF9h3qkBI,5,2021-12-13,284,-1,5.0,0,2021-12-13 23:59:05,,11.207222,3011111,3011110
Nancy Pelosi,b08Hi3kBpSs,qUuF9h3qkBI,5,2021-12-08,-1,-1,-1.0,0,2021-12-13 23:59:08,,2.771878,3011112,3011110
Nancy Pelosi,kzeILI657xo,qUuF9h3qkBI,5,2021-12-03,-1,-1,-1.0,0,2021-12-13 23:59:15,,6.807724,3011113,3011110
Nancy Pelosi,c_UuVV7fhMc,qUuF9h3qkBI,5,2021-12-04,-1,-1,-1.0,0,2021-12-13 23:59:17,,2.911415,3011114,3011110
Nancy Pelosi,a8jcNBVWJyE,qUuF9h3qkBI,5,2020-05-27,-1,-1,-1.0,0,2021-12-13 23:59:20,,2.639449,3011115,3011110
Nancy Pelosi,Pei06JElI78,zbsukaF3OvA,4,2021-12-13,493,-1,4.3941479,5,2021-12-13 23:59:27,"zbsukaF3OvA,qUuF9h3qkBI,Aj1Ap228DJU,0yHUSxVlbSE,uJ72C9eGdIU",7.007395,3011120,3011100
Nancy Pelosi,zbsukaF3OvA,Pei06JElI78,5,2021-12-13,-1,-1,4.8923373,0,2021-12-13 23:59:30,,2.666407,3011121,3011120
Nancy Pelosi,qUuF9h3qkBI,Pei06JElI78,5,2021-12-13,914,-1,-1.0,0,2021-12-13 23:59:33,,2.663795,3011122,3011120
Nancy Pelosi,Aj1Ap228DJU,Pei06JElI78,5,2021-12-12,-1,-1,-1.0,0,2021-12-13 23:59:37,,4.836197,3011123,3011120
Nancy Pelosi,0yHUSxVlbSE,Pei06JElI78,5,2021-12-12,-1,-1,4.8342948,0,2021-12-13 23:59:40,,2.581166,3011124,3011120
Nancy Pelosi,uJ72C9eGdIU,Pei06JElI78,5,2021-12-13,-1,-1,4.9394236,0,2021-12-13 23:59:42,,2.447374,3011125,3011120
Nancy Pelosi,LKLcJ7Ss4qI,zbsukaF3OvA,4,2021-12-10,-1,-1,4.8960032,5,2021-12-13 23:59:45,"gPgF9giAphU,sp-_3HDZay8,viwXUmXTyBI,OeHh5rskvFw,fGkwhVbUHMA",2.941421,3011130,3011100
Nancy Pelosi,gPgF9giAphU,LKLcJ7Ss4qI,5,2021-11-17,-1,-1,-1.0,0,2021-12-13 23:59:50,,4.844691,3011131,3011130
Nancy Pelosi,sp-_3HDZay8,LKLcJ7Ss4qI,5,2020-12-18,-1,-1,-1.0,0,2021-12-13 23:59:53,,3.101453,3011132,3011130
Nancy Pelosi,viwXUmXTyBI,LKLcJ7Ss4qI,5,2021-11-12,-1,-1,-1.0,0,2021-12-13 23:59:56,,3.033086,3011133,3011130
Nancy Pelosi,OeHh5rskvFw,LKLcJ7Ss4qI,5,2021-11-26,-1,-1,4.9095144,0,2021-12-13 23:59:59,,3.124294,3011134,3011130
Nancy Pelosi,fGkwhVbUHMA,LKLcJ7Ss4qI,5,2021-05-07,-1,-1,4.8439755,0,2021-12-14 00:00:02,,2.883271,3011135,3011130
Nancy Pelosi,QEgalcH_-b4,zbsukaF3OvA,4,2021-08-19,-1,-1,4.9694943,5,2021-12-14 00:00:05,"7tz0fSMmrUM,kjqSBU0v6TU,efRQh2vspVc,UiAvdZmFX3I,aqHePc6Yu7w",3.110049,3011140,3011100
Nancy Pelosi,7tz0fSMmrUM,QEgalcH_-b4,5,2020-09-10,-1,-1,4.9576244,0,2021-12-14 00:00:08,,2.736797,3011141,3011140
Nancy Pelosi,kjqSBU0v6TU,QEgalcH_-b4,5,2020-05-15,-1,-1,4.9206142,0,2021-12-14 00:00:11,,2.774676,3011142,3011140
Nancy Pelosi,efRQh2vspVc,QEgalcH_-b4,5,2021-11-18,-1,-1,-1.0,0,2021-12-14 00:00:16,,4.853889,3011143,3011140
Nancy Pelosi,UiAvdZmFX3I,QEgalcH_-b4,5,2021-12-13,175,-1,-1.0,0,2021-12-14 00:00:20,,4.570306,3011144,3011140
Nancy Pelosi,aqHePc6Yu7w,QEgalcH_-b4,5,2021-12-13,-1,-1,-1.0,0,2021-12-14 00:00:34,,13.734716,3011145,3011140
Nancy Pelosi,0yHUSxVlbSE,zbsukaF3OvA,4,2021-12-12,-1,-1,-1.0,5,2021-12-14 00:00:37,"qUuF9h3qkBI,8esfwhcuePU,El85BYG75RY,0X8pmPHyKFQ,6-Vn1_Y_FBQ",2.64247,3011150,3011100
Nancy Pelosi,qUuF9h3qkBI,0yHUSxVlbSE,5,2021-12-13,917,-1,4.9356222,0,2021-12-14 00:00:40,,2.700343,3011151,3011150
Nancy Pelosi,8esfwhcuePU,0yHUSxVlbSE,5,2021-12-08,-1,-1,-1.0,0,2021-12-14 00:00:42,,2.803416,3011152,3011150
Nancy Pelosi,El85BYG75RY,0yHUSxVlbSE,5,2021-12-13,-1,-1,-1.0,0,2021-12-14 00:00:45,,2.666985,3011153,3011150
Nancy Pelosi,0X8pmPHyKFQ,0yHUSxVlbSE,5,2021-11-26,-1,-1,4.9177008,0,2021-12-14 00:00:48,,2.968359,3011154,3011150
Nancy Pelosi,6-Vn1_Y_FBQ,0yHUSxVlbSE,5,2021-12-13,292,-1,5.0,0,2021-12-14 00:00:51,,2.595171,3011155,3011150
Nancy Pelosi,V8-djNylMSk,GfTCKA1elUw,3,2021-12-13,878,-1,-1.0,5,2021-12-14 00:00:53,"0yHUSxVlbSE,ku-25xkQmC4,fqqhHO2cV3A,O_dnLay8q4g,zpIBpdv1qK8",2.698195,3011200,3011000
Nancy Pelosi,0yHUSxVlbSE,V8-djNylMSk,4,2021-12-12,-1,-1,4.8344684,5,2021-12-14 00:00:56,"qUuF9h3qkBI,Hu29pjKiu7k,El85BYG75RY,8esfwhcuePU,b08Hi3kBpSs",2.610465,3011210,3011200
Nancy Pelosi,qUuF9h3qkBI,0yHUSxVlbSE,5,2021-12-13,921,-1,4.9358974,0,2021-12-14 00:01:01,,5.487646,3011211,3011210
Nancy Pelosi,Hu29pjKiu7k,0yHUSxVlbSE,5,2021-12-09,-1,-1,4.9284406,0,2021-12-14 00:01:08,,6.941428,3011212,3011210
Nancy Pelosi,El85BYG75RY,0yHUSxVlbSE,5,2021-12-13,-1,-1,4.8630991,0,2021-12-14 00:01:11,,2.686814,3011213,3011210
Nancy Pelosi,8esfwhcuePU,0yHUSxVlbSE,5,2021-12-08,-1,-1,4.9355879,0,2021-12-14 00:01:16,,4.674309,3011214,3011210
