keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
Planned Parenthood,p8-vBbRU5mU,,0,2017-07-12,270,-1,-1.0,5,2021-12-21 06:51:40,"KP4FYkVKrGU,ki4Fbctwnjs,JHDkALRz5Rk,B5ytcg5pYEA,-FkkaIygir8",2.279863,7000000,0
Planned Parenthood,KP4FYkVKrGU,p8-vBbRU5mU,1,2013-08-01,-1,-1,-1.0,5,2021-12-21 06:51:43,"DHBgTFHjPXI,HL5ThApf0IA,em9zqyEPtHg,wngB9_6Vqbc,w_Ma8oQLmSM",2.968608,7010000,7000000
Planned Parenthood,DHBgTFHjPXI,KP4FYkVKrGU,2,2020-09-10,-1,-1,-1.0,5,2021-12-21 06:51:45,"QZlpfmSDt4k,xO8OqQkXEfQ,KR4ifeGxdQw,1i-TvqmjsBw,nc3nHrDEWs4",2.763458,7011000,7010000
Planned Parenthood,QZlpfmSDt4k,DHBgTFHjPXI,3,2018-01-28,95,-1,-1.0,5,2021-12-21 06:51:48,"zN7VSeja1dw,4mCVS20gj_8,XFJnWp1tAdU,7jgu7EJ9A8A,sHEwTKEDVM0",2.701782,7011100,7011000
Planned Parenthood,zN7VSeja1dw,QZlpfmSDt4k,4,2015-06-10,-1,-1,-1.0,5,2021-12-21 06:51:51,"LMGfaa_OMX4,4oDywexZT9U,DHBgTFHjPXI,Wehsz38P74g,3RkhZgRNC1k",2.687493,7011110,7011100
Planned Parenthood,LMGfaa_OMX4,zN7VSeja1dw,5,2021-11-05,-1,-1,-1.0,0,2021-12-21 06:51:54,,3.427373,7011111,7011110
Planned Parenthood,4oDywexZT9U,zN7VSeja1dw,5,2021-12-17,250,-1,-1.0,0,2021-12-21 06:51:57,,2.667455,7011112,7011110
Planned Parenthood,DHBgTFHjPXI,zN7VSeja1dw,5,2020-09-10,-1,-1,-1.0,0,2021-12-21 06:52:00,,2.755653,7011113,7011110
Planned Parenthood,Wehsz38P74g,zN7VSeja1dw,5,2021-12-15,-1,-1,-1.0,0,2021-12-21 06:52:03,,3.288661,7011114,7011110
Planned Parenthood,3RkhZgRNC1k,zN7VSeja1dw,5,2020-03-24,-1,-1,-1.0,0,2021-12-21 06:52:06,,2.999166,7011115,7011110
Planned Parenthood,4mCVS20gj_8,QZlpfmSDt4k,4,2020-02-12,-1,-1,-1.0,5,2021-12-21 06:52:09,"0TzPugfFmD8,KWJ3gm3tiDA,QarOjjKfseo,u4orQ0p788k,DHBgTFHjPXI",3.110481,7011120,7011100
Planned Parenthood,0TzPugfFmD8,4mCVS20gj_8,5,2018-06-24,-1,-1,-1.0,0,2021-12-21 06:52:14,,4.710566,7011121,7011120
Planned Parenthood,KWJ3gm3tiDA,4mCVS20gj_8,5,2018-02-22,-1,-1,-1.0,0,2021-12-21 06:52:16,,2.456525,7011122,7011120
Planned Parenthood,QarOjjKfseo,4mCVS20gj_8,5,2015-12-02,-1,-1,-1.0,0,2021-12-21 06:52:19,,2.48023,7011123,7011120
Planned Parenthood,u4orQ0p788k,4mCVS20gj_8,5,2018-06-29,-1,-1,-1.0,0,2021-12-21 06:52:21,,2.573438,7011124,7011120
Planned Parenthood,DHBgTFHjPXI,4mCVS20gj_8,5,2020-09-10,-1,-1,-1.0,0,2021-12-21 06:52:24,,2.670589,7011125,7011120
Planned Parenthood,XFJnWp1tAdU,QZlpfmSDt4k,4,2021-07-30,-1,-1,-1.0,5,2021-12-21 06:52:27,"RXXMJAU6vY8,o0fG_lnVhHw,g3Ud6mHdhlQ,aICaAEXDJQQ,7pSqk-XV2QM",2.614799,7011130,7011100
Planned Parenthood,RXXMJAU6vY8,XFJnWp1tAdU,5,2020-07-26,-1,-1,-1.0,0,2021-12-21 06:52:32,,5.139358,7011131,7011130
Planned Parenthood,o0fG_lnVhHw,XFJnWp1tAdU,5,2020-02-29,-1,-1,-1.0,0,2021-12-21 06:52:37,,5.256106,7011132,7011130
Planned Parenthood,g3Ud6mHdhlQ,XFJnWp1tAdU,5,2021-02-21,-1,-1,-1.0,0,2021-12-21 06:52:42,,4.552796,7011133,7011130
Planned Parenthood,aICaAEXDJQQ,XFJnWp1tAdU,5,2021-12-18,-1,-1,-1.0,0,2021-12-21 06:52:46,,4.188933,7011134,7011130
Planned Parenthood,7pSqk-XV2QM,XFJnWp1tAdU,5,2020-09-16,-1,-1,-1.0,0,2021-12-21 06:52:48,,2.571421,7011135,7011130
Planned Parenthood,7jgu7EJ9A8A,QZlpfmSDt4k,5,2018-02-17,-1,-1,-1.0,0,2021-12-21 06:53:01,,12.514907,7011140,7011100
Planned Parenthood,sHEwTKEDVM0,QZlpfmSDt4k,5,2021-11-28,-1,-1,-1.0,0,2021-12-21 06:53:14,,13.3974,7011150,7011100
Planned Parenthood,xO8OqQkXEfQ,DHBgTFHjPXI,3,2016-08-30,-1,-1,-1.0,5,2021-12-21 06:53:17,"SbV8_U6iycw,DHBgTFHjPXI,-pbOxn0o-m4,K1GJfZSlhX0,lRkb-SCiqvg",2.571241,7011200,7011000
Planned Parenthood,SbV8_U6iycw,xO8OqQkXEfQ,4,2015-07-15,390,-1,-1.0,5,2021-12-21 06:53:22,"-sIu4uB5_iU,rfeqVGf_PB0,kU0kSwyx4t0,BI-CnsKyOuk,AnXOZh7mZUk",5.223137,7011210,7011200
Planned Parenthood,-sIu4uB5_iU,SbV8_U6iycw,5,2017-01-09,46,-1,-1.0,0,2021-12-21 06:53:25,,2.554212,7011211,7011210
Planned Parenthood,rfeqVGf_PB0,SbV8_U6iycw,5,2019-11-21,540,-1,-1.0,0,2021-12-21 06:53:27,,2.350818,7011212,7011210
Planned Parenthood,kU0kSwyx4t0,SbV8_U6iycw,5,2018-11-02,110,-1,-1.0,0,2021-12-21 06:53:30,,2.680062,7011213,7011210
Planned Parenthood,BI-CnsKyOuk,SbV8_U6iycw,5,2013-09-09,891,-1,-1.0,0,2021-12-21 06:53:32,,2.614251,7011214,7011210
Planned Parenthood,AnXOZh7mZUk,SbV8_U6iycw,5,2015-04-21,-1,-1,-1.0,0,2021-12-21 06:53:35,,2.545045,7011215,7011210
Planned Parenthood,DHBgTFHjPXI,xO8OqQkXEfQ,4,2020-09-10,-1,-1,-1.0,5,2021-12-21 06:53:37,"QZlpfmSDt4k,xO8OqQkXEfQ,ouZrZa5pLXk,w-Ji1e2NVQA,WXuK6gekU1Y",2.609025,7011220,7011200
Planned Parenthood,QZlpfmSDt4k,DHBgTFHjPXI,5,2018-01-28,95,-1,-1.0,0,2021-12-21 06:53:40,,2.603965,7011221,7011220
Planned Parenthood,xO8OqQkXEfQ,DHBgTFHjPXI,5,2016-08-30,-1,-1,-1.0,0,2021-12-21 06:53:43,,2.556345,7011222,7011220
Planned Parenthood,ouZrZa5pLXk,DHBgTFHjPXI,5,2016-05-04,-1,-1,-1.0,0,2021-12-21 06:53:45,,2.590399,7011223,7011220
Planned Parenthood,w-Ji1e2NVQA,DHBgTFHjPXI,5,2016-09-09,-1,-1,-1.0,0,2021-12-21 06:53:48,,2.417573,7011224,7011220
Planned Parenthood,WXuK6gekU1Y,DHBgTFHjPXI,5,2020-03-13,-1,-1,-1.0,0,2021-12-21 06:53:50,,2.413785,7011225,7011220
Planned Parenthood,-pbOxn0o-m4,xO8OqQkXEfQ,4,2016-04-16,-1,-1,-1.0,5,2021-12-21 06:53:53,"la4SNHbGseA,EU7vC3wUtMo,s0mKndUkWik,ZrYuSAgkcec,ymcNhAgO7Pw",2.440022,7011230,7011200
Planned Parenthood,la4SNHbGseA,-pbOxn0o-m4,5,2021-12-19,188,-1,-1.0,0,2021-12-21 06:53:55,,2.676254,7011231,7011230
Planned Parenthood,EU7vC3wUtMo,-pbOxn0o-m4,5,2017-04-05,-1,-1,-1.0,0,2021-12-21 06:53:58,,2.703689,7011232,7011230
Planned Parenthood,s0mKndUkWik,-pbOxn0o-m4,5,2017-06-02,-1,-1,-1.0,0,2021-12-21 06:54:01,,2.652125,7011233,7011230
Planned Parenthood,ZrYuSAgkcec,-pbOxn0o-m4,5,2021-04-26,-1,-1,-1.0,0,2021-12-21 06:54:04,,2.952287,7011234,7011230
Planned Parenthood,ymcNhAgO7Pw,-pbOxn0o-m4,5,2021-11-14,-1,-1,-1.0,0,2021-12-21 06:54:06,,2.712601,7011235,7011230
Planned Parenthood,K1GJfZSlhX0,xO8OqQkXEfQ,4,2014-07-02,-1,-1,-1.0,5,2021-12-21 06:54:09,"xlUPlxSpDRo,DHBgTFHjPXI,kHfZuUnaQpw,ouZrZa5pLXk,7jGNLnX65Y8",2.567069,7011240,7011200
Planned Parenthood,xlUPlxSpDRo,K1GJfZSlhX0,5,2017-03-24,-1,-1,-1.0,0,2021-12-21 06:54:14,,4.666694,7011241,7011240
Planned Parenthood,DHBgTFHjPXI,K1GJfZSlhX0,5,2020-09-10,-1,-1,-1.0,0,2021-12-21 06:54:17,,3.010143,7011242,7011240
Planned Parenthood,kHfZuUnaQpw,K1GJfZSlhX0,5,2014-01-28,-1,-1,-1.0,0,2021-12-21 06:54:19,,2.601735,7011243,7011240
Planned Parenthood,ouZrZa5pLXk,K1GJfZSlhX0,5,2016-05-04,-1,-1,-1.0,0,2021-12-21 06:54:22,,2.664884,7011244,7011240
