keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
andrew cuomo,piGwrqx-ixU,,0,New York Gov. Andrew Cuomo Holds Covid-19 Briefing | NBC News - YouTube,1280,720,2589,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,189,127,19872,3.392405,5,2021-05-27 14:24:25,"hMzlGLiO3ZA,CJIpMAoAFMY,EM2M2O8kWdk,qyVAG-Ib3hA,bIixFZdRVqY",3.663681
andrew cuomo,hMzlGLiO3ZA,piGwrqx-ixU,1,Live: Ohio Governor Holds Briefing With Vaccine Lottery Winners | NBC News - YouTube,1280,720,0,2021-05-27,UCeY0bbntWzzVIaj2z3QigXg,30,16,380,3.6086957,5,2021-05-27 14:24:28,"mhGA3WTs5zg,RZ47E3AyEho,uL4f2qZZYGU,qyVAG-Ib3hA,RFfepK34UEA",3.238696
andrew cuomo,mhGA3WTs5zg,hMzlGLiO3ZA,2,California Police Give Update On San Jose Shooting | NBC News - YouTube,1280,720,2101,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,815,89,106057,4.6061945,5,2021-05-27 14:24:32,"t3tSiF4JgIU,RZ47E3AyEho,1bGjHuI5fUo,CJIpMAoAFMY,hMzlGLiO3ZA",3.272773
andrew cuomo,t3tSiF4JgIU,mhGA3WTs5zg,4,"NBC Nightly News Broadcast (Full) - May 26th, 2021 - YouTube",1920,1080,1179,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,-1,360,446154,4.7463894,5,2021-05-27 14:24:45,"GFimJvwleZQ,IaoWrC2eGC8,RFfepK34UEA,vMWScGHfo0M,sIi_QS1tdFM",13.545954
andrew cuomo,GFimJvwleZQ,t3tSiF4JgIU,5,"NBC News NOW Full Broadcast - May 26th, 2021 - YouTube",1920,1080,2941,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,583,73,119731,4.5548782,0,2021-05-27 14:24:49,,4.047544
andrew cuomo,IaoWrC2eGC8,t3tSiF4JgIU,5,Howard University To Rename A College After Chadwick Boseman - YouTube,1920,1080,50,2021-05-27,UCeY0bbntWzzVIaj2z3QigXg,11,5,169,3.75,0,2021-05-27 14:24:53,,4.078187
andrew cuomo,RFfepK34UEA,t3tSiF4JgIU,5,'Trifecta Of Trouble For Trump': 3 Witnesses Drop 'Significant Criminal Exposure' Bomb - YouTube,480,360,741,2021-05-24,UCaXkIU1QidjPwiAYu6GcHjg,-1,-1,1361048,4.7807317,0,2021-05-27 14:24:58,,4.170717
andrew cuomo,vMWScGHfo0M,t3tSiF4JgIU,5,No. 45 Sweats As Cable News Speculates About Criminal Charges And A Flipping CFO - YouTube,1920,1080,701,2021-05-26,UCMtFAi84ehTSYSE9XoHefig,-1,391,660281,4.9118676,0,2021-05-27 14:25:02,,4.020084
andrew cuomo,sIi_QS1tdFM,t3tSiF4JgIU,5,Sponsored Content: Last Week Tonight with John Oliver (HBO) - YouTube,1920,1080,1282,2021-05-23,UC3XTzVzaHQEd30rQbuvCtTQ,-1,-1,3519703,4.9376879,0,2021-05-27 14:25:10,,8.56099
andrew cuomo,RZ47E3AyEho,mhGA3WTs5zg,3,Live: NBC News NOW - May 27 - YouTube,1280,720,0,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,824,129,55703,4.4585519,5,2021-05-27 14:25:14,"t3tSiF4JgIU,hMzlGLiO3ZA,_kt1imQlwuY,_Y12G5b0iK0,wx5vY5iMZq0",3.280891
andrew cuomo,t3tSiF4JgIU,RZ47E3AyEho,5,"NBC Nightly News Broadcast (Full) - May 26th, 2021 - YouTube",1920,1080,1179,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,-1,360,446154,4.746479,0,2021-05-27 14:25:27,,13.473433
andrew cuomo,hMzlGLiO3ZA,RZ47E3AyEho,4,Live: Ohio Governor Holds Briefing With Vaccine Lottery Winners | NBC News - YouTube,1280,720,0,2021-05-27,UCeY0bbntWzzVIaj2z3QigXg,31,16,394,3.6382978,5,2021-05-27 14:25:30,"mhGA3WTs5zg,RFfepK34UEA,wx5vY5iMZq0,uL4f2qZZYGU,ecRH6R57Y7c",3.371285
andrew cuomo,mhGA3WTs5zg,hMzlGLiO3ZA,5,California Police Give Update On San Jose Shooting | NBC News - YouTube,1280,720,2101,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,815,89,106057,4.6061945,0,2021-05-27 14:25:34,,3.286691
andrew cuomo,RFfepK34UEA,hMzlGLiO3ZA,5,'Trifecta Of Trouble For Trump': 3 Witnesses Drop 'Significant Criminal Exposure' Bomb - YouTube,480,360,741,2021-05-24,UCaXkIU1QidjPwiAYu6GcHjg,-1,-1,1361048,4.7807417,0,2021-05-27 14:25:38,,4.078749
andrew cuomo,wx5vY5iMZq0,hMzlGLiO3ZA,5,Trump â€˜No Longer Has Power To Pardonâ€™ To Protect Himself - YouTube,1920,1080,381,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,232,356510,4.8781991,0,2021-05-27 14:25:44,,6.197466
andrew cuomo,uL4f2qZZYGU,hMzlGLiO3ZA,5,White House Holds Press Briefing: May 25 | NBC News - YouTube,1280,720,2560,2021-05-25,UCeY0bbntWzzVIaj2z3QigXg,-1,465,114286,3.956229,0,2021-05-27 14:25:47,,3.360375
andrew cuomo,ecRH6R57Y7c,hMzlGLiO3ZA,5,Jon Stewart Promotes Bill To Help Veterans Exposed To Toxic Burn Pits - YouTube,1920,1080,176,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,141,3,4890,4.9166665,0,2021-05-27 14:25:51,,4.154625
andrew cuomo,_kt1imQlwuY,RZ47E3AyEho,4,"The Universe: The Strangest Phenomena Ever Seen (S3, E10) | Full Episode | History - YouTube",1920,1080,2668,2021-02-08,UC9MAhZQQd9egwWCxrwSIsJQ,-1,802,1359018,4.6693125,5,2021-05-27 14:26:04,"R0J6lUH4dsw,lb2YqBegRxk,6Q9OKh6jZEI,HeQX2HjkcNo,bZdELQOmap4",12.824446
andrew cuomo,R0J6lUH4dsw,_kt1imQlwuY,5,"The Universe: Massive Asteroid Attack Threatens Earth (S5, E6) | Full Episode | History - YouTube",1920,1080,2662,2021-01-25,UC9MAhZQQd9egwWCxrwSIsJQ,-1,244,342118,4.722333,0,2021-05-27 14:26:08,,3.583091
andrew cuomo,lb2YqBegRxk,_kt1imQlwuY,5,"The Universe: Mysterious Dark Matter Explained (S2, E6) | Full Episode | History - YouTube",1920,1080,2687,2020-12-14,UC9MAhZQQd9egwWCxrwSIsJQ,-1,215,269489,4.6972895,0,2021-05-27 14:26:21,,12.726257
andrew cuomo,6Q9OKh6jZEI,_kt1imQlwuY,5,"The Universe: Life-Altering Consequences of Time Travel (S5, E4) | Full Episode | History - YouTube",1920,1080,2662,2021-04-05,UC9MAhZQQd9egwWCxrwSIsJQ,-1,420,566442,4.717124,0,2021-05-27 14:26:34,,12.932739
andrew cuomo,HeQX2HjkcNo,_kt1imQlwuY,5,There's a Hole at the Bottom of Math - YouTube,1920,1080,2040,2021-05-22,UCHnyfMqiRRG1u-2MsSQLbXA,-1,-1,3213939,4.9509864,0,2021-05-27 14:26:37,,3.492285
andrew cuomo,bZdELQOmap4,_kt1imQlwuY,5,"Mysteries of Machu Pichu Revealed | Modern Marvels (S10, E56) | Full Episode | History - YouTube",1920,1080,2689,2020-09-17,UC9MAhZQQd9egwWCxrwSIsJQ,-1,398,673753,4.7052941,0,2021-05-27 14:26:41,,3.529142
andrew cuomo,_Y12G5b0iK0,RZ47E3AyEho,4,How Will GOP Respond If Trump Gets The Book Thrown At Him? - YouTube,1920,1080,101,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,105,165108,4.8989658,5,2021-05-27 14:26:45,"bfxcVk-iVWg,2jeLiMuMAkI,EM2M2O8kWdk,wx5vY5iMZq0,HeQX2HjkcNo",4.120982
andrew cuomo,bfxcVk-iVWg,_Y12G5b0iK0,5,What's Lost If Biden And GOP Reach A Deal On Infrastructure? - YouTube,1920,1080,132,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,745,875,52432,2.8395061,0,2021-05-27 14:26:49,,4.226646
andrew cuomo,2jeLiMuMAkI,_Y12G5b0iK0,5,Why Trump Should Be Worried Over NY's Criminal Investigation - YouTube,480,360,425,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,473,136023,4.5641556,0,2021-05-27 14:26:53,,4.356436
andrew cuomo,EM2M2O8kWdk,_Y12G5b0iK0,5,Laurence Tribe: Trump Acting Like A Dictator With ‘Absolute Immunity’ Defense - YouTube,1920,1080,436,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,109,137999,4.8941746,0,2021-05-27 14:26:57,,4.005199
andrew cuomo,wx5vY5iMZq0,_Y12G5b0iK0,5,Trump â€˜No Longer Has Power To Pardonâ€™ To Protect Himself - YouTube,1920,1080,381,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,232,356510,4.8782473,0,2021-05-27 14:27:04,,6.329324
andrew cuomo,HeQX2HjkcNo,_Y12G5b0iK0,5,There's a Hole at the Bottom of Math - YouTube,1920,1080,2040,2021-05-22,UCHnyfMqiRRG1u-2MsSQLbXA,-1,-1,3213939,4.9509883,0,2021-05-27 14:27:07,,3.428278
andrew cuomo,wx5vY5iMZq0,RZ47E3AyEho,4,Trump ‘No Longer Has Power To Pardon’ To Protect Himself - YouTube,1920,1080,381,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,232,356510,4.878263,5,2021-05-27 14:27:11,"2jeLiMuMAkI,EM2M2O8kWdk,nIxOMyTRWlo,gPHgRp70H8o,vMWScGHfo0M",4.158577
andrew cuomo,2jeLiMuMAkI,wx5vY5iMZq0,5,Why Trump Should Be Worried Over NY's Criminal Investigation - YouTube,480,360,425,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,474,136023,4.5634356,0,2021-05-27 14:27:15,,4.129158
andrew cuomo,EM2M2O8kWdk,wx5vY5iMZq0,5,Laurence Tribe: Trump Acting Like A Dictator With ‘Absolute Immunity’ Defense - YouTube,1920,1080,436,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,109,137999,4.8942518,0,2021-05-27 14:27:20,,3.996098
andrew cuomo,nIxOMyTRWlo,wx5vY5iMZq0,5,Closing In On Trump? Vet Of Office Pursuing Trump Org Says DA 'Going For Indictments' - YouTube,480,360,585,2021-05-25,UCaXkIU1QidjPwiAYu6GcHjg,-1,254,452289,4.8696766,0,2021-05-27 14:27:23,,3.930562
andrew cuomo,gPHgRp70H8o,wx5vY5iMZq0,5,Covid Vaccines: Last Week Tonight with John Oliver (HBO) - YouTube,1920,1080,1468,2021-05-02,UC3XTzVzaHQEd30rQbuvCtTQ,-1,-1,6402640,4.7545228,0,2021-05-27 14:27:27,,3.410259
andrew cuomo,vMWScGHfo0M,wx5vY5iMZq0,5,No. 45 Sweats As Cable News Speculates About Criminal Charges And A Flipping CFO - YouTube,1920,1080,701,2021-05-26,UCMtFAi84ehTSYSE9XoHefig,-1,393,660281,4.9116111,0,2021-05-27 14:27:31,,4.396577
andrew cuomo,1bGjHuI5fUo,mhGA3WTs5zg,3,California Police Hold Briefing On San Jose Shooting | NBC News - YouTube,1280,720,2006,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,259,34,37469,4.5358362,5,2021-05-27 14:27:35,"mhGA3WTs5zg,RZ47E3AyEho,t3tSiF4JgIU,GFimJvwleZQ,hMzlGLiO3ZA",3.280048
andrew cuomo,mhGA3WTs5zg,1bGjHuI5fUo,4,California Police Give Update On San Jose Shooting | NBC News - YouTube,1280,720,2101,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,815,89,106164,4.6061945,5,2021-05-27 14:27:38,"t3tSiF4JgIU,RZ47E3AyEho,8oPWy891HAc,02D_aNS5NSc,GQbNnUW_xqw",3.281953
andrew cuomo,t3tSiF4JgIU,mhGA3WTs5zg,5,"NBC Nightly News Broadcast (Full) - May 26th, 2021 - YouTube",-1,-1,1179,2021-05-26,,-1,-1,-1,-1.0,0,2021-05-27 14:27:45,,7.40455
andrew cuomo,RZ47E3AyEho,mhGA3WTs5zg,5,Live: NBC News NOW - May 27 - YouTube,1280,720,0,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,827,130,55703,4.4566355,0,2021-05-27 14:27:49,,3.281651
andrew cuomo,8oPWy891HAc,mhGA3WTs5zg,5,Authorities Identify VTA Yard Shooting Gunman as Employee - YouTube,1920,1080,876,2021-05-26,UCmKKVuZrBfSGiuvtOuipoDA,677,63,81535,4.6594596,0,2021-05-27 14:27:52,,3.340771
andrew cuomo,02D_aNS5NSc,mhGA3WTs5zg,5,How these Aussie neighbours became billionaires by outsmarting the big banks | 60 Minutes Australia - YouTube,1920,1080,1109,2021-05-23,UC0L1suV8pVgO4pCAIBNGx5w,-1,125,266745,4.8831229,0,2021-05-27 14:27:55,,3.514127
andrew cuomo,GQbNnUW_xqw,mhGA3WTs5zg,5,How con-artist Anna Sorokin ripped off the New York elite and became a star  | 60 Minutes Australia - YouTube,1920,1080,1554,2021-04-18,UC0L1suV8pVgO4pCAIBNGx5w,-1,-1,1037524,4.6650972,0,2021-05-27 14:28:02,,7.01646
andrew cuomo,RZ47E3AyEho,1bGjHuI5fUo,4,Live: NBC News NOW - May 27 - YouTube,1280,720,0,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,827,130,58551,4.4566355,5,2021-05-27 14:28:06,"hMzlGLiO3ZA,_Y12G5b0iK0,mhGA3WTs5zg,wx5vY5iMZq0,ZXTy_dKwMa0",3.316362
andrew cuomo,hMzlGLiO3ZA,RZ47E3AyEho,5,Live: Ohio Governor Holds Briefing With Vaccine Lottery Winners | NBC News - YouTube,1280,720,0,2021-05-27,UCeY0bbntWzzVIaj2z3QigXg,34,18,436,3.6153846,0,2021-05-27 14:28:09,,3.254656
andrew cuomo,_Y12G5b0iK0,RZ47E3AyEho,5,How Will GOP Respond If Trump Gets The Book Thrown At Him? - YouTube,1920,1080,101,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,105,167765,4.8992081,0,2021-05-27 14:28:13,,4.132595
andrew cuomo,mhGA3WTs5zg,RZ47E3AyEho,5,California Police Give Update On San Jose Shooting | NBC News - YouTube,1280,720,2101,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,815,89,106164,4.6061945,0,2021-05-27 14:28:16,,3.246773
andrew cuomo,wx5vY5iMZq0,RZ47E3AyEho,5,Trump â€˜No Longer Has Power To Pardonâ€™ To Protect Himself - YouTube,1920,1080,381,2021-05-26,UCaXkIU1QidjPwiAYu6GcHjg,-1,232,356510,4.8783112,0,2021-05-27 14:28:23,,6.473736
andrew cuomo,ZXTy_dKwMa0,RZ47E3AyEho,5,21 Tiny Habits to Improve Your Life in 2021 Effortlessly - YouTube,-1,-1,795,2021-04-25,,-1,-1,-1,-1.0,0,2021-05-27 14:28:31,,8.314504
andrew cuomo,t3tSiF4JgIU,1bGjHuI5fUo,5,"NBC Nightly News Broadcast (Full) - May 26th, 2021 - YouTube",-1,-1,1179,2021-05-26,,-1,-1,-1,-1.0,0,2021-05-27 14:28:50,,19.136705
andrew cuomo,GFimJvwleZQ,1bGjHuI5fUo,4,"NBC News NOW Full Broadcast - May 26th, 2021 - YouTube",1920,1080,2941,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,583,73,120245,4.5548782,5,2021-05-27 14:28:54,"t3tSiF4JgIU,U73BLCXmXDs,pIAQV0u72iI,RZ47E3AyEho,vMWScGHfo0M",4.064186
andrew cuomo,t3tSiF4JgIU,GFimJvwleZQ,5,"NBC Nightly News Broadcast (Full) - May 26th, 2021 - YouTube",-1,-1,1179,2021-05-26,,-1,-1,-1,-1.0,0,2021-05-27 14:29:02,,7.330127
andrew cuomo,U73BLCXmXDs,GFimJvwleZQ,5,2020 Nostradamus - YouTube,1920,1080,4025,2020-04-03,UClgRkhTL3_hImCAmdLfDE4g,-1,-1,1038217,4.2029796,0,2021-05-27 14:29:02,,0.333136
andrew cuomo,pIAQV0u72iI,GFimJvwleZQ,5,"Rajpal Yadav best comedy scene part 3, || Rajpal comedy video - YouTube",480,360,2098,2020-04-22,UC87GeMqLLIIP9D6-6kug11A,-1,-1,63764813,4.4246917,0,2021-05-27 14:29:06,,3.36577
andrew cuomo,RZ47E3AyEho,GFimJvwleZQ,5,Live: NBC News NOW - May 27 - YouTube,1280,720,0,2021-05-26,UCeY0bbntWzzVIaj2z3QigXg,828,130,58559,4.4572024,0,2021-05-27 14:29:09,,3.557854
