keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
cultural appropriation,VQgF1f557YY,,0,What is Cultural Appropriation? - YouTube,1920,1080,616,2019-01-08,UCiB8h9jD2Mlxx96ZFnGDSJw,-1,-1,350663,4.6517782,5,2021-05-04 03:05:55,"EQC13yBJ9dA,8ysHIQQweoE,CVxAlmAPHec,E1AY95Z64gg,YG_hloEVFGY",2.239775
cultural appropriation,EQC13yBJ9dA,VQgF1f557YY,1,Can Tattoos Be Taboo? - YouTube,1920,1080,518,2018-11-06,UCiB8h9jD2Mlxx96ZFnGDSJw,-1,44,31111,4.8725562,5,2021-05-04 03:05:57,"VQgF1f557YY,jcdvcS7qZa8,elJW0S5JLg8,mapNINtApX8,MYn15yDBvxM",2.78472
cultural appropriation,VQgF1f557YY,EQC13yBJ9dA,2,What is Cultural Appropriation? - YouTube,1920,1080,616,2019-01-08,UCiB8h9jD2Mlxx96ZFnGDSJw,-1,-1,350663,4.6517782,5,2021-05-04 03:06:00,"EQC13yBJ9dA,8ysHIQQweoE,CVxAlmAPHec,E1AY95Z64gg,YG_hloEVFGY",2.370752
cultural appropriation,EQC13yBJ9dA,VQgF1f557YY,3,Can Tattoos Be Taboo? - YouTube,1920,1080,518,2018-11-06,UCiB8h9jD2Mlxx96ZFnGDSJw,-1,44,31111,4.8725562,5,2021-05-04 03:06:05,"VQgF1f557YY,w1KgN4kLP7o,MYn15yDBvxM,Wix20uEChpU,jcdvcS7qZa8",4.92073
cultural appropriation,VQgF1f557YY,EQC13yBJ9dA,5,What is Cultural Appropriation? - YouTube,1920,1080,616,2019-01-08,UCiB8h9jD2Mlxx96ZFnGDSJw,-1,-1,350663,4.6517782,0,2021-05-04 03:06:13,,8.522506
cultural appropriation,w1KgN4kLP7o,EQC13yBJ9dA,4,Museum Tour: Ötzi the Iceman - YouTube,1280,720,2513,2020-04-09,UC8wZzNSXUHzv3QijdOzeELA,-1,432,755595,4.8565497,5,2021-05-04 03:06:15,"5yq4hZtIuLc,UaM1TdwJYyY,NuL0Q0tsid4,pkLCAJAirvE,g0agm6awGvc",2.134406
cultural appropriation,5yq4hZtIuLc,w1KgN4kLP7o,5,DNA Learning Center in-person and virtual summer science camps - YouTube,1920,1080,37,2021-03-19,UC8wZzNSXUHzv3QijdOzeELA,10,-1,607,5.0,0,2021-05-04 03:06:18,,2.395784
cultural appropriation,UaM1TdwJYyY,w1KgN4kLP7o,5,Pollen Tells a Story - YouTube,1280,720,1173,2020-05-18,UC8wZzNSXUHzv3QijdOzeELA,75,1,1885,4.9473686,0,2021-05-04 03:06:20,,2.110443
cultural appropriation,NuL0Q0tsid4,w1KgN4kLP7o,5,Vikings Live: a tour from the British Museum - YouTube,1280,720,5333,2020-05-27,UCvpQ-l09fCVxJd3urZbxzHg,-1,-1,3931798,4.7230663,0,2021-05-04 03:06:22,,2.408157
cultural appropriation,pkLCAJAirvE,w1KgN4kLP7o,5,"What DNA Says About Our Human Family Episode II, Ancient Relatives: Neanderthals and Denisovans - YouTube",1280,720,3458,2020-04-01,UC8wZzNSXUHzv3QijdOzeELA,-1,172,156269,4.7002177,0,2021-05-04 03:06:25,,2.563761
cultural appropriation,g0agm6awGvc,w1KgN4kLP7o,5,Ötzi: The Frozen Man from the Alps - YouTube,1920,1080,1173,2019-12-09,UClnDI2sdehVm1zm_LmUHsjQ,-1,-1,1666139,4.9070516,0,2021-05-04 03:06:29,,4.134428
cultural appropriation,MYn15yDBvxM,EQC13yBJ9dA,4,The history of tattoos - Addison Anderson - YouTube,1920,1080,317,2014-09-18,UCsooa4yRKGN_zEE8iknghZA,-1,571,1936924,4.9194045,5,2021-05-04 03:06:32,"DMuBif1mJz0,ZZZ6QB5TSfk,Tm9GjI02CNo,KXsg1bmjVAY,4CGFPbFqdJ4",2.643327
cultural appropriation,DMuBif1mJz0,MYn15yDBvxM,5,What makes tattoos permanent? - Claudia Aguirre - YouTube,1920,1080,266,2014-07-10,UCsooa4yRKGN_zEE8iknghZA,-1,822,4951219,4.9466763,0,2021-05-04 03:06:34,,2.404052
cultural appropriation,ZZZ6QB5TSfk,MYn15yDBvxM,5,The history of marriage - Alex Gendler - YouTube,1920,1080,284,2014-02-13,UCsooa4yRKGN_zEE8iknghZA,-1,-1,3407484,4.8155642,0,2021-05-04 03:06:36,,2.351489
cultural appropriation,Tm9GjI02CNo,MYn15yDBvxM,5,Ed Hardy: the Godfather of Tattooing - YouTube,1920,1080,2645,2020-07-15,UC8ZyfGD_qP-v75DGCzYQw6g,-1,459,1624434,4.9396925,0,2021-05-04 03:06:39,,2.543002
cultural appropriation,KXsg1bmjVAY,MYn15yDBvxM,5,Tattoo History: What Artists Really Know | Tattoo Artists Answer - YouTube,1920,1080,909,2019-05-03,UC-AqLLFKh8QoCsXaPAg4aRQ,-1,141,531390,4.9170589,0,2021-05-04 03:06:42,,2.578764
cultural appropriation,4CGFPbFqdJ4,MYn15yDBvxM,5,Could a tattoo help you stay healthy? | Carson Bruns - YouTube,1920,1080,659,2019-06-04,UCAuUUnT6oDeKwE6v1NGQxug,-1,175,107345,4.873692,0,2021-05-04 03:06:44,,2.376044
cultural appropriation,Wix20uEChpU,EQC13yBJ9dA,4,Tattoo Acceptance: Understanding Identity and Personal Expression | Amanda Leu | TEDxKentState - YouTube,1920,1080,867,2018-08-21,UCsT0YIqwnpJCM-mx7-gSA4Q,220,7,8128,4.8766518,5,2021-05-04 03:06:46,"vGdHMPjQPik,ce-MtUNc9i8,aqnOU-nRW2U,ati3O3-iZls,rifKQaQbED0",2.2899
cultural appropriation,vGdHMPjQPik,Wix20uEChpU,5,Tattooing: Outlaw or Indigenous? | Dean Schubert | TEDxHumboldtBay - YouTube,1920,1080,632,2015-06-12,UCsT0YIqwnpJCM-mx7-gSA4Q,277,5,20213,4.9290781,0,2021-05-04 03:06:49,,2.284214
cultural appropriation,ce-MtUNc9i8,Wix20uEChpU,5,Tattoo and Tapa: Reclaiming Pacific Symbols | Frances C. Koya Vaka'uta | TEDxSuva - YouTube,1920,1080,1233,2016-07-06,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,23,65336,4.9411764,0,2021-05-04 03:06:51,,2.447692
cultural appropriation,aqnOU-nRW2U,Wix20uEChpU,5,Tattoos: women's revolutionary aesthetic | Christine Braunberger | TEDxOnondagaCommunityCollege - YouTube,1920,1080,812,2016-01-14,UCsT0YIqwnpJCM-mx7-gSA4Q,152,15,10313,4.6407185,0,2021-05-04 03:06:53,,2.278682
cultural appropriation,ati3O3-iZls,Wix20uEChpU,5,Authentic self expression: Sarah Hernholm at TEDxSDSU - YouTube,1920,1080,1147,2014-02-21,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,34,61392,4.874423,0,2021-05-04 03:06:56,,2.24444
cultural appropriation,rifKQaQbED0,Wix20uEChpU,5,"Hurts so good: Tattoos, Earning Power and Mental Health | Friday Jones | TEDxPodgorica - YouTube",1920,1080,868,2017-11-02,UCsT0YIqwnpJCM-mx7-gSA4Q,88,28,15044,4.034483,0,2021-05-04 03:07:01,,5.222119
cultural appropriation,jcdvcS7qZa8,EQC13yBJ9dA,4,Modern Warfare and Alien Conspiracies - YouTube,1920,1080,653,2019-01-15,UCiB8h9jD2Mlxx96ZFnGDSJw,-1,254,160540,4.5825801,5,2021-05-04 03:07:04,"PTqLPvBz8xc,BmUrJaOo1Lw,FnnzUh7eVHs,jkLRith2wcc,g_gKl_x5d0A",3.149698
cultural appropriation,PTqLPvBz8xc,jcdvcS7qZa8,5,Alien Contact: What Happens Next? - YouTube,1280,720,3611,2019-05-17,UCShHFwKyhcDo3g7hr4f1R8A,-1,999,859629,4.4999375,0,2021-05-04 03:07:06,,2.339619
cultural appropriation,BmUrJaOo1Lw,jcdvcS7qZa8,5,3 Creepy Cases For Ancient Aliens - YouTube,1920,1080,752,2017-04-21,UCKijjvu6bN1c-ZHVwR7-5WA,-1,-1,13783043,4.7916312,0,2021-05-04 03:07:09,,2.411414
cultural appropriation,FnnzUh7eVHs,jcdvcS7qZa8,5,Creating Creative Industries | Richard Georges | TEDxRoadTown - YouTube,1920,1080,1480,2017-08-11,UCsT0YIqwnpJCM-mx7-gSA4Q,145,4,9682,4.8926172,0,2021-05-04 03:07:11,,2.312306
