keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
immigration,hNj5Dfnh6jY,,0,"Democrats Consider Reforming Immigration Laws Through Infrastructure Bill, Reconciliation - YouTube",1920,1080,163,2021-05-04,UCaXkIU1QidjPwiAYu6GcHjg,477,28,11571,4.7782178,5,2021-05-05 19:39:47,"Yea7J435-n0,RvJrwOs1dg4,T0E333MX714,00U1ikfKQ2c,na-pnFubT48",2.403467
immigration,Yea7J435-n0,hNj5Dfnh6jY,1,Former Ukraine Advisor To Zelensky Says Giuliani Wanted A Smear Campaign Against Biden | MSNBC - YouTube,1920,1080,483,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,-1,74,31880,4.9073844,5,2021-05-05 19:39:51,"01pTudkWJ14,WL_VizeS7co,1n9lEyCReiA,x-2NvA_v9aw,10sQTXxgLKg",3.357097
immigration,01pTudkWJ14,Yea7J435-n0,2,"New York Dolls, LL Cool J And More Are Rock & Roll Hall of Fame Nominees | Morning Joe | MSNBC - YouTube",1920,1080,526,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,85,7,3450,4.695652,5,2021-05-05 19:39:53,"1n9lEyCReiA,Yea7J435-n0,OhT82Ph8jbg,Fz-tvhP30ek,2Zax1rDO_w8",2.823795
immigration,1n9lEyCReiA,01pTudkWJ14,3,Michael Steele: Liz Cheney Will Be The Tip Of The Spear That Will Be The GOP's Undoing | Morning Joe - YouTube,1920,1080,522,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,-1,86,39011,4.8597064,5,2021-05-05 19:39:56,"Yea7J435-n0,OhT82Ph8jbg,maIOQwPZ7-E,453mpKHVaBs,A5Tt4wobkB4",3.033516
immigration,Yea7J435-n0,1n9lEyCReiA,4,Former Ukraine Advisor To Zelensky Says Giuliani Wanted A Smear Campaign Against Biden | MSNBC - YouTube,1920,1080,483,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,-1,74,31880,4.9073844,5,2021-05-05 19:39:59,"01pTudkWJ14,T0E333MX714,WL_VizeS7co,1n9lEyCReiA,m-0nZ7ka2F8",2.855212
immigration,01pTudkWJ14,Yea7J435-n0,5,"New York Dolls, LL Cool J And More Are Rock & Roll Hall of Fame Nominees | Morning Joe | MSNBC - YouTube",1920,1080,526,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,85,7,3450,4.695652,0,2021-05-05 19:40:03,,3.294343
immigration,T0E333MX714,Yea7J435-n0,5,Federal Judge Calls Out Bill Barr For Lying | Rachel Maddow | MSNBC - YouTube,1920,1080,738,2021-05-04,UCaXkIU1QidjPwiAYu6GcHjg,-1,570,610151,4.8825951,0,2021-05-05 19:40:05,,2.721197
immigration,WL_VizeS7co,Yea7J435-n0,5,'Deep sh**': Giuliani Criminal Raid Has Trump Worried | The Beat With Ari Melber | MSNBC - YouTube,1920,1080,253,2021-05-04,UCaXkIU1QidjPwiAYu6GcHjg,-1,475,631156,4.8514581,0,2021-05-05 19:40:08,,2.97716
immigration,1n9lEyCReiA,Yea7J435-n0,5,Michael Steele: Liz Cheney Will Be The Tip Of The Spear That Will Be The GOP's Undoing | Morning Joe - YouTube,1920,1080,522,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,-1,86,39011,4.8597636,0,2021-05-05 19:40:11,,3.130316
immigration,m-0nZ7ka2F8,Yea7J435-n0,5,Schiff Discusses Importance Of Ukraine’s Fight To Keep Corruption Out Of System | MSNBC - YouTube,1920,1080,412,2021-05-05,UCaXkIU1QidjPwiAYu6GcHjg,347,9,2840,4.8988762,0,2021-05-05 19:40:14,,2.809288
