keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
 mask,-tiqoH1iKG0,,0,The Mask - YouTube,480,360,6075,2021-04-30,UClgRkhTL3_hImCAmdLfDE4g,-1,-1,2373700,4.8859148,5,2021-05-09 09:55:33,"aKgH2ijiHE4,vMA6TwCVZUM,z4u72-xqTq4,z-6sIhJGqAQ,Kv-3fhiUmzY",2.531304
 mask,aKgH2ijiHE4,-tiqoH1iKG0,1,The Truman Show - YouTube,1920,1080,6175,2021-04-01,UClgRkhTL3_hImCAmdLfDE4g,-1,819,1944349,4.9048696,5,2021-05-09 09:55:36,"jgOT-TJQ5AE,GuE0Mtr-w6g,qP0hYoLeFP8,uBjRM0Jo5xs,H61SHRJxrZ4",2.513033
 mask,jgOT-TJQ5AE,aKgH2ijiHE4,2,Zookeeper - YouTube,480,360,6111,2018-10-01,UClgRkhTL3_hImCAmdLfDE4g,-1,-1,5230624,4.7454081,5,2021-05-09 09:55:38,"-tiqoH1iKG0,qP0hYoLeFP8,LqM5d4Bx0Vs,v_lYz3LKKgM,uBjRM0Jo5xs",2.198053
 mask,-tiqoH1iKG0,jgOT-TJQ5AE,3,The Mask - YouTube,480,360,6075,2021-04-30,UClgRkhTL3_hImCAmdLfDE4g,-1,-1,2373700,4.8859172,5,2021-05-09 09:55:40,"jgOT-TJQ5AE,mqe8A_dAEs4,LqM5d4Bx0Vs,qP0hYoLeFP8,ldJANt-SFuE",2.491051
 mask,jgOT-TJQ5AE,-tiqoH1iKG0,4,Zookeeper - YouTube,480,360,6111,2018-10-01,UClgRkhTL3_hImCAmdLfDE4g,-1,-1,5230624,4.7454081,5,2021-05-09 09:55:43,"-tiqoH1iKG0,qP0hYoLeFP8,7ykX81Hm0dY,v_lYz3LKKgM,uBjRM0Jo5xs",2.420881
 mask,-tiqoH1iKG0,jgOT-TJQ5AE,5,The Mask - YouTube,480,360,6075,2021-04-30,UClgRkhTL3_hImCAmdLfDE4g,-1,-1,2373700,4.8859172,0,2021-05-09 09:55:45,,2.47107
 mask,qP0hYoLeFP8,jgOT-TJQ5AE,5,Dragon Ball Super: Broly - YouTube,480,360,6082,2019-04-23,UClgRkhTL3_hImCAmdLfDE4g,-1,302,686402,4.9486589,0,2021-05-09 09:55:47,,1.683306
 mask,7ykX81Hm0dY,jgOT-TJQ5AE,5,Judas and the Black Messiah - YouTube,480,360,7525,2021-04-01,UClgRkhTL3_hImCAmdLfDE4g,-1,19,10004,4.9341421,0,2021-05-09 09:55:49,,1.792987
 mask,v_lYz3LKKgM,jgOT-TJQ5AE,5,John Wick - YouTube,480,360,6073,2020-03-19,UClgRkhTL3_hImCAmdLfDE4g,-1,162,293447,4.9126801,0,2021-05-09 09:55:51,,1.741898
 mask,uBjRM0Jo5xs,jgOT-TJQ5AE,5,Zombieland: Double Tap - YouTube,480,360,5941,2020-04-30,UClgRkhTL3_hImCAmdLfDE4g,-1,33,76853,4.9189191,0,2021-05-09 09:55:52,,1.826287
 mask,mqe8A_dAEs4,-tiqoH1iKG0,4,Charlie's Angels - YouTube,1920,1080,5903,2014-06-11,UClgRkhTL3_hImCAmdLfDE4g,-1,69,19199,4.8075314,5,2021-05-09 09:55:54,"l7RIMBeOSXA,0lsgQsZLgsM,QBPRTmpRmkQ,HY6UCkM4074,52yY89ehySQ",1.750762
 mask,l7RIMBeOSXA,mqe8A_dAEs4,5,Duplex - YouTube,1920,1080,5355,2012-07-31,UClgRkhTL3_hImCAmdLfDE4g,142,31,5987,4.283237,0,2021-05-09 09:55:56,,1.741156
