keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
 obama,yVZaUtnvJKs,,0,10 Years Later: President Obama and Admiral Bill McRaven reflect on the bin Laden Raid - YouTube,1920,1080,865,2021-04-30,UCiaba-DmYJacphj7r7Knrwg,-1,165,180584,4.8470454,5,2021-05-15 02:27:59,"pxBQLFLei70,9LRvYTk83mM,eLIlOQuzTnU,xnLx3RnS38M,X2ATVUS23KM",3.181203
 obama,pxBQLFLei70,yVZaUtnvJKs,1,University of Texas at Austin 2014 Commencement Address - Admiral William H. McRaven - YouTube,1920,1080,1167,2014-05-19,UCYVb99H41VIb3n8U1-cHhvw,-1,-1,13388994,4.8990784,5,2021-05-15 02:28:02,"TBuIGBCF9jc,mfjGmBVAL-o,BXlnrFpCu0c,S2FoPdg9a24,t1XCzWlYWeA",3.139852
 obama,TBuIGBCF9jc,pxBQLFLei70,5,Admiral McRaven Leaves the Audience SPEECHLESS | One of the Best Motivational Speeches - YouTube,-1,-1,960,2018-07-17,,-1,-1,-1,-1.0,0,2021-05-15 02:28:36,,34.412244
 obama,mfjGmBVAL-o,pxBQLFLei70,2,Will Ferrell | USC Commencement Speech 2017 - YouTube,480,360,1544,2017-05-12,UCJDGYVOYi13IqD3CYfETe0w,-1,-1,3942941,4.7884011,5,2021-05-15 02:28:39,"ELC_e2QBQMk,guc-8R1bYVg,BmCTQ_mkzHU,m6tiaooiIo0,TBuIGBCF9jc",3.013935
 obama,ELC_e2QBQMk,mfjGmBVAL-o,3,Conan O'Brien Delivers Dartmouth's Commencement Address - YouTube,480,360,1473,2011-06-12,UCmzAvLjPYUfY0ELVz-TOPbw,-1,-1,3024005,4.8824568,5,2021-05-15 02:28:42,"m6tiaooiIo0,mfjGmBVAL-o,V80-gPkpH6M,gCVZIpxUEhg,wHGqp8lz36c",3.137617
 obama,m6tiaooiIo0,ELC_e2QBQMk,4,Stephen Colbert 2011 Commencement Speech at Northwestern University - YouTube,480,360,1226,2011-06-17,UCB8-Iy5EL0dXkkQpwmjUAjQ,-1,115,1158537,4.9410787,5,2021-05-15 02:28:43,"VbzrmIqstd8,kNkxQKGex28,BMucdS3Etko,ajPvjKFFIAo,3BPBFaDMyqo",0.754009
 obama,VbzrmIqstd8,m6tiaooiIo0,5,Stephen Colbert gives a funny farewell to Wake Forest University class of 2015 - YouTube,480,360,828,2015-05-18,UC2tg0g4H9h9bDfvuyBGxeRA,-1,164,619965,4.8236561,0,2021-05-15 02:28:50,,6.271894
 obama,kNkxQKGex28,m6tiaooiIo0,5,Stephen Colbert Salutes UVA's Class of 2013 - YouTube,480,360,1033,2013-05-18,UCZBPr0phbzka_f5I-bbh69A,-1,76,543737,4.9001312,0,2021-05-15 02:28:53,,3.647649
 obama,BMucdS3Etko,m6tiaooiIo0,5,Seth Meyers delivers Northwestern Commencement address - YouTube,480,360,1026,2016-06-17,UCJEiIxcZVfCpQ9zWQxPJWbA,312,13,52549,4.8400002,0,2021-05-15 02:28:56,,2.998015
 obama,ajPvjKFFIAo,m6tiaooiIo0,5,[Archive] Jon Stewart Commencement Address - YouTube,480,360,927,2010-10-29,UCWowVAyo3Rll32I5S4Wf2YA,-1,43,346619,4.8982849,0,2021-05-15 02:28:59,,2.988552
 obama,3BPBFaDMyqo,m6tiaooiIo0,5,My First Week at Northwestern University | Wildcat Welcome ~ freshman year ~ - YouTube,480,360,625,2020-03-29,UCNnDRXqF5Gr-AJ_mVvtj_oQ,93,-1,3662,5.0,0,2021-05-15 02:29:06,,6.309016
 obama,mfjGmBVAL-o,ELC_e2QBQMk,4,Will Ferrell | USC Commencement Speech 2017 - YouTube,480,360,1544,2017-05-12,UCJDGYVOYi13IqD3CYfETe0w,-1,-1,3942941,4.7884011,5,2021-05-15 02:29:09,"ELC_e2QBQMk,guc-8R1bYVg,JEFbfwg9dek,TBuIGBCF9jc,yPl3X6whm3A",3.067303
 obama,ELC_e2QBQMk,mfjGmBVAL-o,5,Conan O'Brien Delivers Dartmouth's Commencement Address - YouTube,480,360,1473,2011-06-12,UCmzAvLjPYUfY0ELVz-TOPbw,-1,-1,3024005,4.8824568,0,2021-05-15 02:29:12,,3.15417
 obama,guc-8R1bYVg,mfjGmBVAL-o,5,Will Ferrell Hilarious Acceptance Speech At The Mark Twain Comedy Award 2011 - YouTube,480,360,627,2011-11-01,UCF8NW4lCGKj9dEH9InMx6Cg,-1,-1,16164635,4.795476,0,2021-05-15 02:29:15,,3.033754
 obama,JEFbfwg9dek,mfjGmBVAL-o,5,Denzel Washington - University of Pennsylvania - YouTube,1920,1080,1363,2016-06-14,UCLmcgctfCDGLWOY7B4FkxOw,-1,128,413622,4.8714857,0,2021-05-15 02:29:18,,3.006308
 obama,TBuIGBCF9jc,mfjGmBVAL-o,5,Admiral McRaven Leaves the Audience SPEECHLESS | One of the Best Motivational Speeches - YouTube,-1,-1,960,2018-07-17,,-1,-1,-1,-1.0,0,2021-05-15 02:29:24,,5.723577
 obama,yPl3X6whm3A,mfjGmBVAL-o,5,Harvard Class Day June 4 2003 Will Ferrell SNL 352nd Commencement part 1 of 3 - YouTube,480,360,591,2009-04-22,UCwmg_dOxuHKwz4KKNUhbAYA,-1,80,1286178,4.8471093,0,2021-05-15 02:29:27,,3.441737
