keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
trump,8I4gS61JNTM,,0,Republicans Refuse to Move On from Donald Trump: A Closer Look - YouTube,1920,1080,688,2021-05-13,UCVTyTA7-g9nopHeHbeuvpRA,-1,257,180288,4.9065962,5,2021-05-14 05:26:58,"Yf9A7eiRPJg,Wx_djXdTrxg,M3N11FtJc7k,q8aLMOBoUIM,P3UbVNfJ_vU",4.667818
trump,Yf9A7eiRPJg,8I4gS61JNTM,1,Republicans Oust Liz Cheney for Rejecting Trump's Big Lie: A Closer Look - YouTube,1920,1080,657,2021-05-12,UCVTyTA7-g9nopHeHbeuvpRA,-1,572,1079077,4.9067149,5,2021-05-14 05:27:03,"Wx_djXdTrxg,HZUy-NjcoAc,M3N11FtJc7k,8I4gS61JNTM,PLVhJevF-10",4.845068
trump,Wx_djXdTrxg,Yf9A7eiRPJg,2,Republicans Are Purging Anyone Who Won't Embrace Trump's Election Lies: A Closer Look - YouTube,1920,1080,828,2021-05-10,UCVTyTA7-g9nopHeHbeuvpRA,-1,966,1598631,4.8817334,5,2021-05-14 05:27:07,"HZUy-NjcoAc,xFGGLvbXRLw,Yf9A7eiRPJg,8I4gS61JNTM,3JvFvkT_unc",4.339253
trump,HZUy-NjcoAc,Wx_djXdTrxg,3,Biden Takes on Big Pharma; DeSantis Signs Voter Suppression Law on Fox: A Closer Look - YouTube,1920,1080,707,2021-05-06,UCVTyTA7-g9nopHeHbeuvpRA,-1,740,1427773,4.8941422,5,2021-05-14 05:27:11,"xFGGLvbXRLw,go3mY5vikxc,Yf9A7eiRPJg,P3UbVNfJ_vU,GOfb1X5okcw",4.492588
trump,xFGGLvbXRLw,HZUy-NjcoAc,4,Republicans Lash Out at Liz Cheney for Not Supporting Trump's Big Lie: A Closer Look - YouTube,1920,1080,695,2021-05-05,UCVTyTA7-g9nopHeHbeuvpRA,-1,783,1573795,4.9035149,5,2021-05-14 05:27:16,"go3mY5vikxc,ZkjPc1LsWCg,Yf9A7eiRPJg,Wx_djXdTrxg,PLVhJevF-10",4.450201
trump,go3mY5vikxc,xFGGLvbXRLw,5,Rudy Giuliani Claims Trump's DOJ Searched His iCloud Account in 2019: A Closer Look - YouTube,1920,1080,626,2021-05-03,UCVTyTA7-g9nopHeHbeuvpRA,-1,-1,2023993,4.8718863,0,2021-05-14 05:27:20,,4.456302
trump,ZkjPc1LsWCg,xFGGLvbXRLw,5,"FBI Raids Rudy Giuliani's Home and Office, Seizes Phones and Computers: A Closer Look - YouTube",1920,1080,815,2021-04-29,UCVTyTA7-g9nopHeHbeuvpRA,-1,-1,2305824,4.8573923,0,2021-05-14 05:27:25,,4.208134
trump,Yf9A7eiRPJg,xFGGLvbXRLw,5,Republicans Oust Liz Cheney for Rejecting Trump's Big Lie: A Closer Look - YouTube,1920,1080,657,2021-05-12,UCVTyTA7-g9nopHeHbeuvpRA,-1,572,1079077,4.9067149,0,2021-05-14 05:27:29,,4.115957
trump,Wx_djXdTrxg,xFGGLvbXRLw,5,Republicans Are Purging Anyone Who Won't Embrace Trump's Election Lies: A Closer Look - YouTube,1920,1080,828,2021-05-10,UCVTyTA7-g9nopHeHbeuvpRA,-1,966,1598631,4.8817334,0,2021-05-14 05:27:33,,4.423815
trump,PLVhJevF-10,xFGGLvbXRLw,5,Juicy Book Alleges The Former First Family Got Extra Cozy With Secret Service Agents - YouTube,1920,1080,671,2021-05-11,UCMtFAi84ehTSYSE9XoHefig,-1,-1,1666482,4.8586135,0,2021-05-14 05:27:37,,4.217304
