keyword,video,parent_video,current_depth,pubdate,likes,dislikes,rating,reco_count,fetch_time,reco_list,elapsed,trace,parent_trace
trump was the worst president ever,7ngsZuhZMM0,,0,2021-07-01,-1,-1,-1.0,5,2021-12-25 10:52:18,"bZW-n9Q4ceY,-1jAOJHvll0,B52G56dHMBc,AW_Bdf_jGaA,dumbL6RPJIc",3.199895,9000000,0
trump was the worst president ever,bZW-n9Q4ceY,7ngsZuhZMM0,1,2021-12-23,-1,-1,-1.0,5,2021-12-25 10:52:21,"q5fd6NuUQ44,-1jAOJHvll0,aICaAEXDJQQ,n30zO0ABFqc,lapFQl6RezA",3.060752,9010000,9000000
trump was the worst president ever,q5fd6NuUQ44,bZW-n9Q4ceY,2,2021-12-23,-1,-1,-1.0,5,2021-12-25 10:52:24,"bZW-n9Q4ceY,C_DJfw7t7YY,5rARTOhbLDg,aFd7-AbwwBA,njlGLMYopLo",3.007731,9011000,9010000
trump was the worst president ever,bZW-n9Q4ceY,q5fd6NuUQ44,3,2021-12-23,-1,-1,-1.0,5,2021-12-25 10:52:27,"q5fd6NuUQ44,-1jAOJHvll0,aICaAEXDJQQ,5rARTOhbLDg,C_DJfw7t7YY",3.040621,9011100,9011000
trump was the worst president ever,q5fd6NuUQ44,bZW-n9Q4ceY,4,2021-12-23,-1,-1,-1.0,5,2021-12-25 10:52:30,"bZW-n9Q4ceY,C_DJfw7t7YY,njlGLMYopLo,n30zO0ABFqc,cWGvPjNPo1U",3.144428,9011110,9011100
trump was the worst president ever,bZW-n9Q4ceY,q5fd6NuUQ44,5,2021-12-23,-1,-1,-1.0,0,2021-12-25 10:52:33,,3.13785,9011111,9011110
trump was the worst president ever,C_DJfw7t7YY,q5fd6NuUQ44,5,2021-12-24,-1,-1,-1.0,0,2021-12-25 10:52:39,,5.327878,9011112,9011110
trump was the worst president ever,njlGLMYopLo,q5fd6NuUQ44,5,2021-02-04,-1,-1,-1.0,0,2021-12-25 10:52:42,,3.066179,9011113,9011110
trump was the worst president ever,n30zO0ABFqc,q5fd6NuUQ44,5,2010-10-20,-1,-1,-1.0,0,2021-12-25 10:52:44,,2.636459,9011114,9011110
trump was the worst president ever,cWGvPjNPo1U,q5fd6NuUQ44,5,2020-05-22,-1,-1,-1.0,0,2021-12-25 10:52:47,,2.652548,9011115,9011110
