keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
Border,7VBYt_FBsqI,,0,Trump's Border Wall Has Left a Complicated Legacy - YouTube,1920,1080,587,2021-05-03,UCZaT_X_mc0BI-djXOlfhqWQ,570,57,6230,4.6363635,5,2021-05-03 13:45:25,"ZjBKBE3BMss,j-wOroHTdtc,gPHgRp70H8o,Fgvdl87lqc8,aOa32j0xqYM",3.264725
Border,ZjBKBE3BMss,7VBYt_FBsqI,1,I Was Kidnapped at the US-Mexico Border - YouTube,1920,1080,343,2021-03-11,UCZaT_X_mc0BI-djXOlfhqWQ,-1,377,379726,4.8176322,5,2021-05-03 13:45:27,"KNSi5v-BLNg,FbvbhoBgQxE,_2ItJ8SDlEk,rqIVjYTJE5E,Oku_uWCysSw",2.557372
Border,KNSi5v-BLNg,ZjBKBE3BMss,2,"Mexico City Is Running Low On Oxygen, and Gangs Are Making a Profit - YouTube",1920,1080,712,2021-03-04,UCZaT_X_mc0BI-djXOlfhqWQ,-1,436,809834,4.8737969,5,2021-05-03 13:45:31,"rqIVjYTJE5E,Oku_uWCysSw,_2ItJ8SDlEk,k7uK850h5Xc,I5h8GfxIWVY",3.457113
Border,rqIVjYTJE5E,KNSi5v-BLNg,3,On the Front Line With Mexico’s Warring Cartels - YouTube,1920,1080,1495,2021-02-25,UCZaT_X_mc0BI-djXOlfhqWQ,-1,781,1482224,4.9108677,5,2021-05-03 13:45:33,"afDI5Uco-O0,LkRm1UJ2yqE,lp5zc5ROtzE,Y3tFwndUrQc,EEtNvHHz4sk",2.15285
Border,afDI5Uco-O0,rqIVjYTJE5E,4,Mexico's Cartels Are Deadlier Than Ever Despite the Pandemic - YouTube,1920,1080,810,2020-09-16,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3549332,4.8990607,5,2021-05-03 13:45:35,"LkRm1UJ2yqE,GayRUAGLcxI,N8PRske_j80,qdXdLjpS_BM,U3vhYvW6RPI",2.343634
Border,LkRm1UJ2yqE,afDI5Uco-O0,5,Mexican Cartels Are Arming Themselves With Powerful US Sniper Rifles - YouTube,1920,1080,301,2020-08-20,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,2231571,4.0028195,0,2021-05-03 13:45:37,,2.190484
Border,GayRUAGLcxI,afDI5Uco-O0,5,Mother Screams for Lost Baby as Migrant Boat Sinks - YouTube,1920,1080,125,2020-11-16,UCZaT_X_mc0BI-djXOlfhqWQ,-1,712,93540,3.7849829,0,2021-05-03 13:45:40,,2.5134
Border,N8PRske_j80,afDI5Uco-O0,5,Inside the Sinaloa Cartel’s Fentanyl Smuggling Operations - YouTube,1920,1080,474,2020-06-29,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,2034935,4.8633208,0,2021-05-03 13:45:41,,1.054579
Border,qdXdLjpS_BM,afDI5Uco-O0,5,Inside Mexico’s Warring Cartels and the Millions of People They’ve Displaced - YouTube,1920,1080,862,2020-03-06,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3448047,4.8549695,0,2021-05-03 13:45:43,,2.166799
Border,U3vhYvW6RPI,afDI5Uco-O0,5,The Kids Being Trained and Armed to Fight Mexican Cartels - YouTube,1920,1080,354,2020-02-07,UCZaT_X_mc0BI-djXOlfhqWQ,-1,348,741439,4.9161091,0,2021-05-03 13:45:45,,2.135882
Border,LkRm1UJ2yqE,rqIVjYTJE5E,4,Mexican Cartels Are Arming Themselves With Powerful US Sniper Rifles - YouTube,1920,1080,301,2020-08-20,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,2231571,4.0028195,5,2021-05-03 13:45:48,"N8PRske_j80,afDI5Uco-O0,NO3uj81X7O8,qjaBQigAzy0,kbPlnRJQGrc",2.216187
Border,N8PRske_j80,LkRm1UJ2yqE,5,Inside the Sinaloa Cartel’s Fentanyl Smuggling Operations - YouTube,1920,1080,474,2020-06-29,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,2034944,4.8633208,0,2021-05-03 13:45:49,,1.114428
Border,afDI5Uco-O0,LkRm1UJ2yqE,5,Mexico's Cartels Are Deadlier Than Ever Despite the Pandemic - YouTube,1920,1080,810,2020-09-16,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3549332,4.8990607,0,2021-05-03 13:45:51,,2.211896
Border,NO3uj81X7O8,LkRm1UJ2yqE,5,Women Are Being Killed With Impunity in Mexico - YouTube,1920,1080,889,2020-08-17,UCZaT_X_mc0BI-djXOlfhqWQ,-1,344,273804,4.8318877,0,2021-05-03 13:45:53,,2.211388
Border,qjaBQigAzy0,LkRm1UJ2yqE,5,Vigilante Groups in Mexico Are Enforcing Lockdown to Stop Coronavirus - YouTube,1920,1080,305,2020-07-23,UCZaT_X_mc0BI-djXOlfhqWQ,-1,982,339520,4.3779888,0,2021-05-03 13:45:56,,2.49606
Border,kbPlnRJQGrc,LkRm1UJ2yqE,5,How Fentanyl Gets To The U.S. From China (HBO) - YouTube,1920,1080,352,2017-12-21,UCZaT_X_mc0BI-djXOlfhqWQ,-1,785,1723994,4.7341685,0,2021-05-03 13:45:58,,2.116876
Border,lp5zc5ROtzE,rqIVjYTJE5E,4,"Haiti Has Had Enough of Gangs, Kidnappings and Its President - YouTube",1920,1080,836,2021-03-12,UCZaT_X_mc0BI-djXOlfhqWQ,-1,442,659973,4.9124231,5,2021-05-03 13:46:00,"juEYOHvdG1Q,znKa6hOMbb0,3eNzEGEsxr0,fH_JZzSvUWs,6DD9-W9z62o",2.22798
Border,juEYOHvdG1Q,lp5zc5ROtzE,5,Biden Is Deporting Hundreds of Haitians While the Country Is in Chaos - YouTube,1920,1080,276,2021-03-01,UCZaT_X_mc0BI-djXOlfhqWQ,-1,259,213574,4.8366961,0,2021-05-03 13:46:03,,2.557266
Border,znKa6hOMbb0,lp5zc5ROtzE,5,Haiti Is Rising Up And It's Getting Violent - YouTube,1920,1080,198,2019-10-09,UCZaT_X_mc0BI-djXOlfhqWQ,-1,89,150815,4.8499789,0,2021-05-03 13:46:05,,2.174752
Border,3eNzEGEsxr0,lp5zc5ROtzE,5,Protestors In Haiti Are Demanding The President Step Down (HBO) - YouTube,1920,1080,396,2019-02-23,UCZaT_X_mc0BI-djXOlfhqWQ,-1,97,141069,4.6495032,0,2021-05-03 13:46:08,,3.281309
Border,fH_JZzSvUWs,lp5zc5ROtzE,5,Haiti’s Army Is Making A Comeback 20 Years After Disbanding (HBO) - YouTube,1920,1080,432,2018-07-09,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,1468201,4.5746937,0,2021-05-03 13:46:11,,2.7367
Border,6DD9-W9z62o,lp5zc5ROtzE,5,Inside the US War On Terror in Somalia - YouTube,1920,1080,924,2021-03-10,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3167479,4.740788,0,2021-05-03 13:46:13,,2.303441
Border,Y3tFwndUrQc,rqIVjYTJE5E,4,Inside Iraq's Underground Fight Against ISIS - YouTube,1920,1080,961,2021-04-30,UCZaT_X_mc0BI-djXOlfhqWQ,-1,213,265079,4.9246483,5,2021-05-03 13:46:15,"7q5a5sjyxQs,UffpKy0CCOg,5EUachAFhEA,rqIVjYTJE5E,pYfBeeUzVME",2.119688
Border,7q5a5sjyxQs,Y3tFwndUrQc,5,The Reality of the US Withdrawal From Afghanistan - YouTube,1920,1080,614,2021-04-25,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,1291520,4.7566404,0,2021-05-03 13:46:20,,5.020117
Border,UffpKy0CCOg,Y3tFwndUrQc,5,An ISIS Fighter Explains How He Was Radicalized | VICE on SHOWTIME - YouTube,1920,1080,117,2021-04-22,UCZaT_X_mc0BI-djXOlfhqWQ,-1,283,112593,4.4635072,0,2021-05-03 13:46:22,,2.085676
Border,5EUachAFhEA,Y3tFwndUrQc,5,Fighting ISIS: Emmy-Nominated VICE on HBO (Full Episode) - YouTube,1920,1080,2837,2016-08-15,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3143482,4.8459587,0,2021-05-03 13:46:25,,2.332675
Border,rqIVjYTJE5E,Y3tFwndUrQc,5,On the Front Line With Mexico’s Warring Cartels - YouTube,1920,1080,1495,2021-02-25,UCZaT_X_mc0BI-djXOlfhqWQ,-1,781,1482224,4.9108677,0,2021-05-03 13:46:27,,2.06051
Border,pYfBeeUzVME,Y3tFwndUrQc,5,ISIL and the Taliban | Featured Documentary - YouTube,1920,1080,2865,2015-11-01,UCNye-wNBqNL5ZzHSJj3l8Bg,-1,-1,5227834,4.3283291,0,2021-05-03 13:46:31,,4.458111
Border,EEtNvHHz4sk,rqIVjYTJE5E,4,"La guerra entre cárteles en el Aguaje, Michoacán - YouTube",480,360,1495,2021-03-17,UCYB6UxeSTHJyEMq-clobnrg,-1,-1,6945889,4.8098679,5,2021-05-03 13:46:33,"TyBh8gDH4U4,9pWgKBM7Rtg,g4U_jqphjhE,Ke9aJaHH8HM,DWjsCts1Jpg",2.125229
Border,TyBh8gDH4U4,EEtNvHHz4sk,5,Así fue la primera y casi última gira de Radiohead en México - YouTube,480,360,590,2021-02-18,UCYB6UxeSTHJyEMq-clobnrg,-1,179,186069,4.9466429,0,2021-05-03 13:46:36,,2.57854
Border,9pWgKBM7Rtg,EEtNvHHz4sk,5,La realeza del taco en el Este de L.A. - YouTube,-1,-1,-1,,,-1,-1,-1,-1.0,0,2021-05-03 13:46:41,,4.988616
Border,g4U_jqphjhE,EEtNvHHz4sk,5,"Proceso TV - Caro Quintero: ""No estoy en guerra con El Chapo; ya no soy narco"" - YouTube",1920,1080,2850,2016-07-25,UC6xQBbqwKjgLnhKhLHoIgMw,-1,-1,12426252,4.6778202,0,2021-05-03 13:46:44,,2.61945
Border,Ke9aJaHH8HM,EEtNvHHz4sk,5,The Insider: Violent Mexican Drug Cartels In Acapulco (Reggie Yates Documentary) | Real Stories - YouTube,1920,1080,3028,2021-02-23,UCu4XcDBdnZkV6-5z2f16M0g,-1,333,512970,4.7999101,0,2021-05-03 13:46:46,,2.481142
Border,DWjsCts1Jpg,EEtNvHHz4sk,5,Life in the Deportee Slums of Mexico - YouTube,1920,1080,1929,2013-06-05,UCn8zNIfYAQNdrFRrr8oibKw,-1,-1,7957020,4.7278771,0,2021-05-03 13:46:49,,2.769396
Border,Oku_uWCysSw,KNSi5v-BLNg,3,Unemployed Americans Are Smuggling Drugs to Survive the Pandemic - YouTube,1920,1080,721,2021-02-11,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3614616,4.7775154,5,2021-05-03 13:46:52,"35XGfnmTm8E,eLiNkiJqjGc,qdXdLjpS_BM,8my7n1QZsxA,N8PRske_j80",2.791687
Border,35XGfnmTm8E,Oku_uWCysSw,4,Why Drugs Are So Expensive - YouTube,1920,1080,938,2020-01-03,UCZaT_X_mc0BI-djXOlfhqWQ,-1,865,2175949,4.8965249,5,2021-05-03 13:46:54,"lANVlSvXrYk,5JiNedvN4U8,Uutlec-NVj4,yUEVbF7u5Rk,WyMTSvVAtWM",2.678452
Border,lANVlSvXrYk,35XGfnmTm8E,5,There's a Lot We Don’t Know About Pfizer's COVID Vaccine - YouTube,1920,1080,249,2020-12-15,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,280907,4.1205931,0,2021-05-03 13:46:57,,2.717623
Border,5JiNedvN4U8,35XGfnmTm8E,5,The Biohacking Company Testing Drugs On Itself (HBO) - YouTube,1920,1080,617,2018-04-11,UCZaT_X_mc0BI-djXOlfhqWQ,-1,83,97931,4.7280917,0,2021-05-03 13:47:00,,2.660446
Border,Uutlec-NVj4,35XGfnmTm8E,5,How The World's Deadliest Pandemics Are Born - YouTube,1920,1080,681,2018-03-29,UCZaT_X_mc0BI-djXOlfhqWQ,-1,82,206956,4.8944321,0,2021-05-03 13:47:02,,2.143571
Border,yUEVbF7u5Rk,35XGfnmTm8E,5,Tehran Promises 'Forceful Revenge' After U.S. Killing of Iranian General - YouTube,1920,1080,71,2020-01-03,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,702417,4.135334,0,2021-05-03 13:47:04,,2.25443
Border,WyMTSvVAtWM,35XGfnmTm8E,5,American Fast Food Took Over Kuwait And Made Its People Obese | VICE on HBO - YouTube,1920,1080,770,2018-02-08,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3687646,4.5052505,0,2021-05-03 13:47:07,,2.594395
Border,eLiNkiJqjGc,Oku_uWCysSw,5,Security Forces Finally Captured Infamous Cartel Boss 'The Sledgehammer' - YouTube,1920,1080,231,2020-08-08,UCZaT_X_mc0BI-djXOlfhqWQ,-1,418,209203,4.6669984,0,2021-05-03 13:47:09,,2.72715
Border,qdXdLjpS_BM,Oku_uWCysSw,4,Inside Mexico’s Warring Cartels and the Millions of People They’ve Displaced - YouTube,1920,1080,862,2020-03-06,UCZaT_X_mc0BI-djXOlfhqWQ,-1,-1,3448061,4.8549695,5,2021-05-03 13:47:12,"JQ5RnnCsWt8,U3vhYvW6RPI,4mi0YGnIEAQ,afDI5Uco-O0,rqIVjYTJE5E",2.307177
Border,JQ5RnnCsWt8,qdXdLjpS_BM,5,"30,000 Kids in Puerto Rico are Going Back to School Monday — in Tents - YouTube",1920,1080,324,2020-03-07,UCZaT_X_mc0BI-djXOlfhqWQ,-1,53,70237,4.8525729,0,2021-05-03 13:47:14,,2.563182
