keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
China,a9f4e7UUKJ4,,0,Watch: Asian American Couple Told ‘Go Back To China’ In New York City | NBC News NOW - YouTube,1920,1080,285,2021-03-16,UCeY0bbntWzzVIaj2z3QigXg,409,48,26685,4.5798688,5,2021-03-17 08:31:39,"4heY9nRVYdA,Sm2DKoOOmzo,7w09KIONsUU,XMGxxRRtmHc,oizhVJstxC4",2.211361
China,4heY9nRVYdA,a9f4e7UUKJ4,1,"NBC Nightly News Broadcast (Full) - March 16th, 2021 | NBC Nightly News - YouTube",1920,1080,1236,2021-03-16,UCeY0bbntWzzVIaj2z3QigXg,-1,181,133697,4.7496543,5,2021-03-17 08:31:42,"y2BFVAX6PUM,7w09KIONsUU,uhtTcjrR_30,Sm2DKoOOmzo,JvEas_zZ4fM",3.137309
China,y2BFVAX6PUM,4heY9nRVYdA,2,"NBC Nightly News Broadcast (Full) - March 15th, 2021 | NBC Nightly News - YouTube",1920,1080,1046,2021-03-15,UCeY0bbntWzzVIaj2z3QigXg,-1,726,1023726,4.6852374,5,2021-03-17 08:31:45,"NJpB-FlSDEA,7w09KIONsUU,4heY9nRVYdA,XMGxxRRtmHc,0UkYENiM9sE",3.266849
China,NJpB-FlSDEA,y2BFVAX6PUM,3,"NBC Nightly News Broadcast (Full) - March 14th, 2021 - YouTube",1920,1080,1298,2021-03-14,UCeY0bbntWzzVIaj2z3QigXg,-1,499,751698,4.7341857,5,2021-03-17 08:31:48,"4heY9nRVYdA,0UkYENiM9sE,XMGxxRRtmHc,1kJlIMgYDA4,C_JiP-j2FwM",2.700491
China,4heY9nRVYdA,NJpB-FlSDEA,4,"NBC Nightly News Broadcast (Full) - March 16th, 2021 | NBC Nightly News - YouTube",1920,1080,1236,2021-03-16,UCeY0bbntWzzVIaj2z3QigXg,-1,181,134925,4.7497406,5,2021-03-17 08:31:51,"y2BFVAX6PUM,7w09KIONsUU,0UkYENiM9sE,1wruFwoyCbE,Sm2DKoOOmzo",2.843126
China,y2BFVAX6PUM,4heY9nRVYdA,5,"NBC Nightly News Broadcast (Full) - March 15th, 2021 | NBC Nightly News - YouTube",1920,1080,1046,2021-03-15,UCeY0bbntWzzVIaj2z3QigXg,-1,726,1023726,4.6852374,0,2021-03-17 08:31:54,,2.924188
China,7w09KIONsUU,4heY9nRVYdA,5,"NBC News NOW Full Broadcast - March 16th, 2021 | NBC News NOW - YouTube",1920,1080,3069,2021-03-16,UCeY0bbntWzzVIaj2z3QigXg,-1,160,143215,4.448751,0,2021-03-17 08:31:57,,2.789513
China,0UkYENiM9sE,4heY9nRVYdA,5,NBC News NOW Live - March 17 - YouTube,1280,720,0,2021-03-15,UCeY0bbntWzzVIaj2z3QigXg,-1,528,410880,4.3499537,0,2021-03-17 08:31:59,,2.266993
China,1wruFwoyCbE,4heY9nRVYdA,5,"NBC Nightly News Broadcast (Full) - March 10th, 2021 | NBC Nightly News - YouTube",1920,1080,1279,2021-03-10,UCeY0bbntWzzVIaj2z3QigXg,-1,-1,1687072,4.4674988,0,2021-03-17 08:32:02,,2.913579
China,Sm2DKoOOmzo,4heY9nRVYdA,5,The Racism Virus: Anti-Asian Attacks Surge | NBC News NOW - YouTube,1920,1080,3125,2021-03-10,UCeY0bbntWzzVIaj2z3QigXg,-1,-1,572112,4.1513243,0,2021-03-17 08:32:05,,2.768098
