keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
Ted Cruz,779lDDReOwc,,0,Ted Cruz DEMANDS Democratic Senator apologize for calling him a liar - YouTube,1920,1080,868,2021-03-18,UCPWXiRWZ29zrxPFIQT7eHSA,62,59,4288,3.0495868,5,2021-03-19 13:52:35,"lnbFvu_pJuU,nFobj-oQFVM,UZMIbo_DxJk,ni5b5lkKQI4,uhtTcjrR_30",2.310954
Ted Cruz,lnbFvu_pJuU,779lDDReOwc,1,GOP Senator PRESSES Dr. Fauci on COVID-19 hypocrisy at the border - YouTube,1920,1080,182,2021-03-18,UCPWXiRWZ29zrxPFIQT7eHSA,185,23,7578,4.5576925,5,2021-03-19 13:52:38,"UTY0qgmdyHk,_NgiK7uf7D8,do0PKIr0YbQ,UZMIbo_DxJk,dUhv2UFhtLs",2.508645
Ted Cruz,UTY0qgmdyHk,lnbFvu_pJuU,2,Kevin McCarthy has FIERY exchange with CNN reporter - YouTube,480,360,287,2021-03-18,UCPWXiRWZ29zrxPFIQT7eHSA,289,36,11501,4.5569229,5,2021-03-19 13:52:40,"ZAtKgV7HKao,aC1dI0JzLYQ,dUhv2UFhtLs,KvygsndeL0Q,yz0bjLk9rUo",2.285961
Ted Cruz,ZAtKgV7HKao,UTY0qgmdyHk,3,Kevin McCarthy unveils resolution calling for REMOVAL of Eric Swalwell from Intelligence Committee - YouTube,1920,1080,123,2021-03-18,UCPWXiRWZ29zrxPFIQT7eHSA,325,40,8980,4.5616436,5,2021-03-19 13:52:43,"UTY0qgmdyHk,5KqlDeXab0M,4OI4YQ105Cw,U9eDYJCK5Ag,b3waibCUoKo",2.513602
Ted Cruz,UTY0qgmdyHk,ZAtKgV7HKao,4,Kevin McCarthy has FIERY exchange with CNN reporter - YouTube,480,360,287,2021-03-18,UCPWXiRWZ29zrxPFIQT7eHSA,289,36,11501,4.5569229,5,2021-03-19 13:52:45,"ZAtKgV7HKao,RrpEOg1cFj0,T8mCT1iYuu0,dUhv2UFhtLs,XMGxxRRtmHc",2.527272
Ted Cruz,ZAtKgV7HKao,UTY0qgmdyHk,5,Kevin McCarthy unveils resolution calling for REMOVAL of Eric Swalwell from Intelligence Committee - YouTube,1920,1080,123,2021-03-18,UCPWXiRWZ29zrxPFIQT7eHSA,325,40,8980,4.5616436,0,2021-03-19 13:52:51,,5.40544
Ted Cruz,RrpEOg1cFj0,UTY0qgmdyHk,5,Rand Paul challenges Dr. Fauci (again). Watch his response - YouTube,1920,1080,567,2021-03-18,UCupvZG-5ko_eiXAupbDfxWw,-1,-1,690945,4.4496946,0,2021-03-19 13:52:53,,2.376002
Ted Cruz,T8mCT1iYuu0,UTY0qgmdyHk,5,Ted Cruz fires back at Dick Durbin for calling him a liar - YouTube,1920,1080,868,2021-03-18,UCg40OxZ1GYh3u3jBntB6DLg,-1,242,229556,4.8952608,0,2021-03-19 13:52:56,,2.550483
Ted Cruz,dUhv2UFhtLs,UTY0qgmdyHk,5,Hannity: Should we start taking Biden's 'Harris administration' flubs seriously? - YouTube,1920,1080,435,2021-03-18,UCXIJgqnII2ZOINSWNOGFThA,-1,254,107959,4.8410015,0,2021-03-19 13:52:58,,2.508067
Ted Cruz,XMGxxRRtmHc,UTY0qgmdyHk,5,Tucker Carlson: Last Week Tonight with John Oliver (HBO) - YouTube,1920,1080,1493,2021-03-15,UC3XTzVzaHQEd30rQbuvCtTQ,-1,-1,5739480,4.6304893,0,2021-03-19 13:53:00,,2.096606
