keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
feminism,fXk7I_KUj4Q,,0,Feminism is changing... for the worse! | Nina Gibson | TEDxYouth@AISCT - YouTube,1920,1080,298,2019-09-03,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,412,63431,4.2299066,5,2021-05-07 13:36:20,"lgIgytWyo_A,LnJwH_PZXnM,3WMuzhQXJoY,xyIQFI865_w,paBsyBY_-dA",2.467958
feminism,lgIgytWyo_A,fXk7I_KUj4Q,1,Is Modern Feminism starting to undermine Itself? | Jess Butcher | TEDxAstonUniversity - YouTube,1920,1080,1000,2018-09-05,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,1032902,4.8726506,5,2021-05-07 13:36:23,"Qi1oN1icAYc,RlSwsE22nX0,pLCiAXluZsY,-TqrahnSJCs,dl2MQq4qO4Y",2.252544
feminism,Qi1oN1icAYc,lgIgytWyo_A,2,The Boy Crisis: A Sobering look at the State of our Boys | Warren Farrell Ph.D. | TEDxMarin - YouTube,480,360,771,2015-10-19,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,1498853,4.8898964,5,2021-05-07 13:36:25,"wnLmKmTdAgM,tLWEr_kdXl4,BnC6IABJXOI,xyIQFI865_w,sgAu1i6aChs",2.367129
feminism,wnLmKmTdAgM,Qi1oN1icAYc,3,Tackling The Boy Crisis | Michael Kimmel | TEDxSydney - YouTube,1920,1080,1018,2016-06-14,UCsT0YIqwnpJCM-mx7-gSA4Q,765,743,47570,3.0291777,5,2021-05-07 13:36:27,"sgAu1i6aChs,fmkFdAMFGXo,tLWEr_kdXl4,LBdnjqEoiXA,n9u-TITxwoM",2.221744
feminism,sgAu1i6aChs,wnLmKmTdAgM,4,Why boys are failing? | Philip Zimbardo | TEDxRawaRiverSalon - YouTube,1920,1080,1466,2015-07-30,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,928118,4.6898069,5,2021-05-07 13:36:30,"tLWEr_kdXl4,36m1o-tM05g,gmC4Rm5cpOI,Qi1oN1icAYc,4-079YIasck",3.108438
feminism,tLWEr_kdXl4,sgAu1i6aChs,5,Why big boys don't cry | Gareth Griffith | TEDxUniversityofBristol - YouTube,1920,1080,1074,2018-08-15,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,23,48193,4.9552093,0,2021-05-07 13:36:33,,2.838002
feminism,36m1o-tM05g,sgAu1i6aChs,5,My philosophy for a happy life | Sam Berns | TEDxMidAtlantic - YouTube,1920,1080,765,2013-12-13,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,45691214,4.9201407,0,2021-05-07 13:36:36,,2.569601
feminism,gmC4Rm5cpOI,sgAu1i6aChs,5,Sugar -- the elephant in the kitchen: Robert Lustig at TEDxBermuda 2013 - YouTube,1920,1080,1344,2013-12-17,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,872,1468930,4.8100944,0,2021-05-07 13:36:43,,7.114551
feminism,Qi1oN1icAYc,sgAu1i6aChs,5,The Boy Crisis: A Sobering look at the State of our Boys | Warren Farrell Ph.D. | TEDxMarin - YouTube,480,360,771,2015-10-19,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,1498853,4.8898964,0,2021-05-07 13:36:45,,2.52876
feminism,4-079YIasck,sgAu1i6aChs,5,Master Shi Heng Yi – 5 hindrances to self-mastery | Shi Heng YI | TEDxVitosha - YouTube,1920,1080,1117,2020-02-13,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,9675956,4.9253221,0,2021-05-07 13:36:50,,4.287714
feminism,fmkFdAMFGXo,wnLmKmTdAgM,4,The Mask of Masculinity - the traditional role of men is evolving | Connor Beaton | TEDxStanleyPark - YouTube,1920,1080,1088,2016-06-16,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,349,180929,4.6702881,5,2021-05-07 13:36:52,"LBdnjqEoiXA,TGo_dl0qgqA,n9u-TITxwoM,xuM7ZS7nodk,lvxJoUuG018",2.350842
feminism,LBdnjqEoiXA,fmkFdAMFGXo,5,Unmasking masculinity -- helping boys become connected men | Ryan McKelley | TEDxUWLaCrosse - YouTube,1920,1080,1101,2013-11-26,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,190,212466,4.7601008,0,2021-05-07 13:36:55,,2.49168
feminism,TGo_dl0qgqA,fmkFdAMFGXo,5,When My Masculine Met My Feminine | Tijana Tamburic | TEDxBucharest - YouTube,1920,1080,1054,2020-06-30,UCsT0YIqwnpJCM-mx7-gSA4Q,434,14,10954,4.875,0,2021-05-07 13:36:57,,2.542867
feminism,n9u-TITxwoM,fmkFdAMFGXo,5,The six degrees | Kevin Bacon | TEDxMidwest - YouTube,1920,1080,1013,2012-06-27,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,2789789,4.8100467,0,2021-05-07 13:37:00,,2.443854
feminism,xuM7ZS7nodk,fmkFdAMFGXo,5,"Mars brain, Venus brain: John Gray at TEDxBend - YouTube",1920,1080,1475,2014-06-20,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,2184280,4.8592553,0,2021-05-07 13:37:02,,2.424678
feminism,lvxJoUuG018,fmkFdAMFGXo,5,Reading Body Language  | Janine Driver | TEDxDeerPark - YouTube,1920,1080,1655,2019-09-13,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,1972120,4.8793812,0,2021-05-07 13:37:06,,4.430847
feminism,tLWEr_kdXl4,wnLmKmTdAgM,4,Why big boys don't cry | Gareth Griffith | TEDxUniversityofBristol - YouTube,1920,1080,1074,2018-08-15,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,23,48193,4.9552093,5,2021-05-07 13:37:09,"VGrCz_fI4kk,WkCq6BWFBAM,LBdnjqEoiXA,IDPDEKtd2yM,Jb_1IklnhaU",2.418074
feminism,VGrCz_fI4kk,tLWEr_kdXl4,5,My boyfriend isn’t allowed to cry unfortunately. | Sophia Thakur | TEDxClapham - YouTube,1920,1080,625,2015-02-19,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,35,45155,4.9096775,0,2021-05-07 13:37:11,,2.413341
