keyword,video,parent_video,current_depth,title,width,height,duration,pubdate,channel,likes,dislikes,viewes,rating,reco_count,fetch_time,reco_list,elapsed
welfare state,Jv3hMfTTCfY,,0,Welfare State and Social Democracy - YouTube,1920,1080,229,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,158,169848,4.7181087,5,2021-05-05 05:47:42,"OvJ8YDma7Wk,s_9Kix4tFzk,n0zkOFzkpeY,G_g-QDKsXk0,YKuRiigagkU",2.54381
welfare state,OvJ8YDma7Wk,Jv3hMfTTCfY,1,What is Social Democracy? - YouTube,1920,1080,229,2012-07-23,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,369,324577,4.7325602,5,2021-05-05 05:47:44,"s_9Kix4tFzk,Jv3hMfTTCfY,aCgkLICTskQ,j_k_k-bHigM,H3r9bOkYW9s",2.106659
welfare state,s_9Kix4tFzk,OvJ8YDma7Wk,2,Economics and Social Democracy - YouTube,1920,1080,223,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,60,64483,4.8119121,5,2021-05-05 05:47:47,"Jv3hMfTTCfY,OvJ8YDma7Wk,qtAeINU3FKM,arj7oStGLkU,YKuRiigagkU",3.323261
welfare state,Jv3hMfTTCfY,s_9Kix4tFzk,3,Welfare State and Social Democracy - YouTube,1920,1080,229,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,158,169848,4.7181087,5,2021-05-05 05:47:49,"OvJ8YDma7Wk,s_9Kix4tFzk,n0zkOFzkpeY,G_g-QDKsXk0,YKuRiigagkU",2.362538
welfare state,OvJ8YDma7Wk,Jv3hMfTTCfY,4,What is Social Democracy? - YouTube,1920,1080,229,2012-07-23,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,369,324578,4.7325602,5,2021-05-05 05:47:52,"s_9Kix4tFzk,Jv3hMfTTCfY,arj7oStGLkU,YKuRiigagkU,LnJwH_PZXnM",2.130492
welfare state,s_9Kix4tFzk,OvJ8YDma7Wk,5,Economics and Social Democracy - YouTube,1920,1080,223,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,60,64483,4.8119121,0,2021-05-05 05:47:54,,2.626563
welfare state,Jv3hMfTTCfY,OvJ8YDma7Wk,5,Welfare State and Social Democracy - YouTube,1920,1080,229,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,158,169848,4.7181087,0,2021-05-05 05:47:57,,2.348434
welfare state,arj7oStGLkU,OvJ8YDma7Wk,5,Inside the mind of a master procrastinator | Tim Urban - YouTube,1920,1080,844,2016-04-06,UCAuUUnT6oDeKwE6v1NGQxug,-1,-1,38907414,4.9592528,0,2021-05-05 05:47:59,,2.874543
welfare state,YKuRiigagkU,OvJ8YDma7Wk,5,People in Denmark Are Much Happier Than People in the United States. Hereâ€™s Why. - YouTube,1920,1080,397,2017-07-17,UCDGECor7yw2AkrgAcHkcJxQ,-1,68,61093,4.8299999,0,2021-05-05 05:48:04,,4.4096
welfare state,LnJwH_PZXnM,OvJ8YDma7Wk,5,How not to take things personally? | Frederik Imbo | TEDxMechelen - YouTube,1920,1080,1057,2020-03-04,UCsT0YIqwnpJCM-mx7-gSA4Q,-1,-1,7823123,4.933744,0,2021-05-05 05:48:08,,4.254858
welfare state,s_9Kix4tFzk,Jv3hMfTTCfY,4,Economics and Social Democracy - YouTube,1920,1080,223,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,60,64483,4.8119121,5,2021-05-05 05:48:11,"Jv3hMfTTCfY,OvJ8YDma7Wk,qtAeINU3FKM,YKuRiigagkU,arj7oStGLkU",2.3742
welfare state,Jv3hMfTTCfY,s_9Kix4tFzk,5,Welfare State and Social Democracy - YouTube,1920,1080,229,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,158,169848,4.7181087,0,2021-05-05 05:48:13,,2.458539
welfare state,OvJ8YDma7Wk,s_9Kix4tFzk,5,What is Social Democracy? - YouTube,1920,1080,229,2012-07-23,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,369,324578,4.7325602,0,2021-05-05 05:48:15,,2.487833
welfare state,qtAeINU3FKM,s_9Kix4tFzk,5,POLITICAL THEORY - John Maynard Keynes - YouTube,1920,1080,678,2017-06-23,UC7IcJI8PUf5Z3zKxnZvTBog,-1,637,939426,4.87117,0,2021-05-05 05:48:18,,2.490074
welfare state,YKuRiigagkU,s_9Kix4tFzk,5,People in Denmark Are Much Happier Than People in the United States. Here’s Why. - YouTube,1920,1080,397,2017-07-17,UCDGECor7yw2AkrgAcHkcJxQ,-1,68,61091,4.8299999,0,2021-05-05 05:48:20,,2.465778
welfare state,arj7oStGLkU,s_9Kix4tFzk,5,Inside the mind of a master procrastinator | Tim Urban - YouTube,1920,1080,844,2016-04-06,UCAuUUnT6oDeKwE6v1NGQxug,-1,-1,38907525,4.9592528,0,2021-05-05 05:48:23,,2.716068
welfare state,n0zkOFzkpeY,Jv3hMfTTCfY,4,What is the Welfare State? A Sociological Restatement - YouTube,1920,1080,5226,2014-11-12,UCK08_B5SZwoEUk2hDPMOijQ,234,16,26523,4.744,5,2021-05-05 05:48:25,"wJtfWZGxnGI,UmbU2x_WErM,m_q_Y0U1QcI,f1x9lgX8GaE,0Fy6oiIRwJc",2.115008
welfare state,wJtfWZGxnGI,n0zkOFzkpeY,5,Surviving the 21st Century by Professor Noam Chomsky - YouTube,1920,1080,5567,2014-05-28,UCmY_l-JTJH-ztouzuc9pDMg,-1,-1,1105321,4.463141,0,2021-05-05 05:48:26,,0.403434
welfare state,UmbU2x_WErM,n0zkOFzkpeY,5,Good Times Bad Times: the welfare myth of them and us - YouTube,1920,1080,5813,2014-11-24,UCK08_B5SZwoEUk2hDPMOijQ,15,-1,2696,5.0,0,2021-05-05 05:48:28,,1.993629
welfare state,m_q_Y0U1QcI,n0zkOFzkpeY,5,Milton Friedman - Whats wrong with welfare? - YouTube,480,360,3575,2012-04-26,UCmhrSpM3ZeJJFm_MssuueYA,-1,107,256230,4.8698692,0,2021-05-05 05:48:28,,0.425922
welfare state,f1x9lgX8GaE,n0zkOFzkpeY,5,Neil Turok Public Lecture: The Astonishing Simplicity of Everything - YouTube,1920,1080,5954,2015-10-08,UCpHvNclapYpq8b0ZnGRoMeg,-1,-1,2408581,4.6308031,0,2021-05-05 05:48:36,,7.68715
welfare state,0Fy6oiIRwJc,n0zkOFzkpeY,5,Tara Shears - Antimatter: Why the anti-world matters - YouTube,1920,1080,3582,2013-10-18,UCYeF244yNGuFefuFKqxIAXw,-1,473,772892,4.7828779,0,2021-05-05 05:48:38,,2.544039
welfare state,G_g-QDKsXk0,Jv3hMfTTCfY,4,What is the Welfare State? - YouTube,1920,1080,897,2015-01-05,UCfU7oqx18NI7FuZGfp33cyA,-1,-1,34724,4.8740158,5,2021-05-05 05:48:39,"n0zkOFzkpeY,7HcIlfkZ-4I,r30XDrcIqOY,FHwpJT-Tsgs,mlxLX8Fto_A",0.38756
welfare state,n0zkOFzkpeY,G_g-QDKsXk0,5,What is the Welfare State? A Sociological Restatement - YouTube,1920,1080,5226,2014-11-12,UCK08_B5SZwoEUk2hDPMOijQ,234,16,26523,4.744,0,2021-05-05 05:48:41,,2.075451
welfare state,7HcIlfkZ-4I,G_g-QDKsXk0,5,How do the American and Swedish Welfare States Differ? - YouTube,1920,1080,983,2015-01-05,UCfU7oqx18NI7FuZGfp33cyA,-1,-1,8770,4.8688526,0,2021-05-05 05:48:43,,2.262148
welfare state,r30XDrcIqOY,G_g-QDKsXk0,5,Britain in 1945 and the creation of the welfare state - YouTube,1920,1080,720,2016-04-15,UC1a0vxC2K63uV1kEg_aU1hA,459,7,31438,4.9399142,0,2021-05-05 05:48:45,,2.07489
welfare state,FHwpJT-Tsgs,G_g-QDKsXk0,5,What's the future of the welfare state? - YouTube,1920,1080,1966,2018-02-09,UCK08_B5SZwoEUk2hDPMOijQ,62,-1,3729,5.0,0,2021-05-05 05:48:47,,2.137061
welfare state,mlxLX8Fto_A,G_g-QDKsXk0,5,Social Policy: Crash Course Government and Politics #49 - YouTube,1920,1080,534,2016-02-27,UCX6b17PVsYBQ0ip5gyeme-Q,-1,137,383860,4.8883681,0,2021-05-05 05:48:50,,2.640684
welfare state,YKuRiigagkU,Jv3hMfTTCfY,4,People in Denmark Are Much Happier Than People in the United States. Here’s Why. - YouTube,1920,1080,397,2017-07-17,UCDGECor7yw2AkrgAcHkcJxQ,-1,68,61091,4.8299999,5,2021-05-05 05:48:53,"KzvV3CfaPgU,hKGwGAHznFQ,H3r9bOkYW9s,NNhZ7vRcCBM,ejoAG5n19iE",2.469317
welfare state,KzvV3CfaPgU,YKuRiigagkU,5,New York City Mayor's Race: The Nation Forum - YouTube,1920,1080,4207,2021-04-08,UCDGECor7yw2AkrgAcHkcJxQ,3,-1,298,5.0,0,2021-05-05 05:48:55,,2.407382
welfare state,hKGwGAHznFQ,YKuRiigagkU,5,Norway: Is It The Perfect Economy? - YouTube,-1,-1,-1,,,-1,-1,-1,-1.0,0,2021-05-05 05:48:59,,3.788496
welfare state,H3r9bOkYW9s,YKuRiigagkU,5,The history of English (combined) - YouTube,1920,1080,681,2011-11-08,UCXsH4hSV_kEdAOsupMMm4Qw,-1,530,2328784,4.9161096,0,2021-05-05 05:49:01,,2.206751
welfare state,NNhZ7vRcCBM,YKuRiigagkU,5,Persona 5 The Days When My Mother Was There [Extended Lo-Fi Edit] - YouTube,-1,-1,1837,2018-07-30,,-1,-1,-1,-1.0,0,2021-05-05 05:49:05,,4.301563
welfare state,ejoAG5n19iE,YKuRiigagkU,5,America's Overwork Obsession - YouTube,1920,1080,677,2020-08-07,UCJm2TgUqtK1_NLBrjNQ1P-w,-1,-1,597319,4.8591228,0,2021-05-05 05:49:10,,4.264816
welfare state,OvJ8YDma7Wk,s_9Kix4tFzk,3,What is Social Democracy? - YouTube,1920,1080,229,2012-07-23,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,369,324577,4.7325602,5,2021-05-05 05:49:12,"s_9Kix4tFzk,Jv3hMfTTCfY,j_k_k-bHigM,XRiE0ib-sjM,arj7oStGLkU",2.054662
welfare state,s_9Kix4tFzk,OvJ8YDma7Wk,4,Economics and Social Democracy - YouTube,1920,1080,223,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,60,64483,4.8119121,5,2021-05-05 05:49:14,"Jv3hMfTTCfY,OvJ8YDma7Wk,XRiE0ib-sjM,qtAeINU3FKM,YKuRiigagkU",2.381233
welfare state,Jv3hMfTTCfY,s_9Kix4tFzk,5,Welfare State and Social Democracy - YouTube,1920,1080,229,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,158,169848,4.7181087,0,2021-05-05 05:49:17,,2.690703
welfare state,OvJ8YDma7Wk,s_9Kix4tFzk,5,What is Social Democracy? - YouTube,1920,1080,229,2012-07-23,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,369,324578,4.7325602,0,2021-05-05 05:49:19,,2.062105
welfare state,XRiE0ib-sjM,s_9Kix4tFzk,5,The Nordic Model of Social Democracy: A Conversation with Swedish Prime Minister Stefan Löfven - YouTube,1920,1080,2960,2014-11-21,UCPIj95W1bHT9NSpNMm2oVbQ,680,85,50505,4.5555553,0,2021-05-05 05:49:21,,2.313887
welfare state,qtAeINU3FKM,s_9Kix4tFzk,5,POLITICAL THEORY - John Maynard Keynes - YouTube,1920,1080,678,2017-06-23,UC7IcJI8PUf5Z3zKxnZvTBog,-1,637,939426,4.87117,0,2021-05-05 05:49:24,,2.982303
welfare state,YKuRiigagkU,s_9Kix4tFzk,5,People in Denmark Are Much Happier Than People in the United States. Here’s Why. - YouTube,1920,1080,397,2017-07-17,UCDGECor7yw2AkrgAcHkcJxQ,-1,68,61091,4.8299999,0,2021-05-05 05:49:27,,2.408142
welfare state,Jv3hMfTTCfY,OvJ8YDma7Wk,4,Welfare State and Social Democracy - YouTube,1920,1080,229,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,158,169848,4.7181087,5,2021-05-05 05:49:29,"OvJ8YDma7Wk,s_9Kix4tFzk,n0zkOFzkpeY,r30XDrcIqOY,G_g-QDKsXk0",2.355927
welfare state,OvJ8YDma7Wk,Jv3hMfTTCfY,5,What is Social Democracy? - YouTube,1920,1080,229,2012-07-23,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,369,324578,4.7325602,0,2021-05-05 05:49:31,,2.057083
welfare state,s_9Kix4tFzk,Jv3hMfTTCfY,5,Economics and Social Democracy - YouTube,1920,1080,223,2014-11-14,UCfXAoHg7L9Y_RmiUqMcZr7A,-1,60,64484,4.8119121,0,2021-05-05 05:49:33,,2.464522
welfare state,n0zkOFzkpeY,Jv3hMfTTCfY,5,What is the Welfare State? A Sociological Restatement - YouTube,1920,1080,5226,2014-11-12,UCK08_B5SZwoEUk2hDPMOijQ,234,16,26523,4.744,0,2021-05-05 05:49:35,,2.04946
welfare state,r30XDrcIqOY,Jv3hMfTTCfY,5,Britain in 1945 and the creation of the welfare state - YouTube,1920,1080,720,2016-04-15,UC1a0vxC2K63uV1kEg_aU1hA,459,7,31438,4.9399142,0,2021-05-05 05:49:38,,2.038282
